,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,196.91,141.69,171.33,122.09,178.51,119.49,118.58,108.63,147.44,182.19,118.11,161.1,228.13,160.21,154.34,161.02,198.25,167.74,126.12,115.85
1,Other Revenue,-,-2.26,2.26,-,8.27,-5.27,5.27,-,3.82,-2.59,2.59,-,10.08,-2.75,2.75,-,4.51,-1.99,1.99,-
2,Revenue,196.91,139.43,173.6,122.09,186.78,114.22,123.85,108.63,151.26,179.6,120.7,161.1,238.21,157.47,157.08,161.02,202.76,165.75,128.11,115.85
3,Revenue Growth (YoY),5.42%,22.07%,40.17%,12.39%,23.48%,-36.40%,2.61%,-32.57%,-36.50%,14.05%,-23.16%,0.05%,17.49%,-4.99%,22.61%,38.99%,-,-,-,-
4,Cost of Revenue,-290.8,89.23,115.14,86.44,136.62,84.3,92.26,73.63,114.73,125.53,99.63,113.02,165,103.94,108.84,97.77,143.69,97.05,80.39,68.1
5,Gross Profit,487.71,50.2,58.46,35.65,50.16,29.92,31.59,35,36.53,54.07,21.07,48.08,73.21,53.53,48.24,63.25,59.07,68.7,47.72,47.75
6,"Selling, General & Admin",-67.28,24.9,21.62,20.77,23.31,22.59,21.68,23.06,18.53,26.05,26.23,20.64,7.38,30.2,27.68,21.53,11.11,26.72,19.5,21.12
7,Research & Development,-42.85,18.72,12.7,11.43,21.31,14.78,12.12,15.55,9.96,13.78,16.62,14.02,8.55,8.61,7.27,7.67,8.21,5.86,6.48,6.02
8,Other Operating Expenses,582.49,-20.48,13.61,-12.43,10.91,-3.03,0.35,-6.59,9.87,-0.85,-6.59,0.18,1.42,0.7,-3.7,-1.19,27.23,-2.84,-18.08,-1.89
