,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,561.87,331.22,525.79,625.83,484.94,475.61,541.08,713.09,538.2,276.52
1,Short-Term Investments,69.33,2.88,28.13,3.05,24.01,3.1,35.43,2.82,40.27,2.62
2,Trading Asset Securities,194.96,395.46,305.2,416.59,395.61,365.53,238.91,188.4,337.83,217.39
3,Cash & Short-Term Investments,826.16,729.55,859.12,1045,904.56,844.23,815.42,904.31,916.3,496.53
4,Cash Growth,-3.84%,-30.22%,-5.02%,23.84%,10.93%,-6.64%,-11.01%,82.13%,77.71%,8.24%
5,Accounts Receivable,610.33,530.18,699.02,545.35,468.14,530.45,591.63,552.49,420.45,355.91
6,Other Receivables,-,58.06,-,7.35,-,12.87,-,12.75,-,18.53
7,Receivables,610.33,588.24,699.02,552.71,468.14,543.32,591.63,565.24,420.45,374.44
8,Inventory,599.11,595.51,538.85,402.33,347.12,423.07,418.73,360.71,315.44,229.33
9,Other Current Assets,38.49,61.52,30.3,64.85,229.24,123.75,112.52,72.56,187.69,17.76
10,Total Current Assets,2074,1975,2127,2065,1949,1934,1938,1903,1840,1118
11,"Property, Plant & Equipment",643.73,574.97,516.19,435.63,423.27,382.4,364.24,364.34,333.2,284.38
12,Goodwill,113.41,113.41,113.41,113.41,131.41,132.45,133.24,133.08,141.36,29.35
13,Other Intangible Assets,83.4,87.97,80.75,85.28,91,79.99,86.17,76.05,78.11,35.58
14,Long-Term Deferred Tax Assets,68.93,67.26,78.44,74.82,61.65,76.07,54.93,50.63,47.54,14.86
15,Other Long-Term Assets,190.03,184.6,183.7,-,-,-,-,-,-,-
16,Total Assets,3174,3003,3100,2774,2656,2605,2577,2527,2440,1482
17,Accounts Payable,138.83,174.92,277.64,155.17,95.16,92.77,105.09,145.77,114.74,79
18,Accrued Expenses,272.89,74.5,225.06,88.2,223.25,93.45,196.03,115.82,255.5,120.65
19,Short-Term Debt,-,-,-,-,-,-,-,-,-,1.7
20,Current Portion of Long-Term Debt,30.38,21.39,11.08,-,-,-,-,-,-,-
21,Current Portion of Leases,13.95,14.24,15.58,13.5,13.04,10.95,9.21,11.41,17.5,3.94
22,Current Income Taxes Payable,20.76,17.6,24.66,22.77,28.95,51.52,48.13,42.08,34.69,31.71
23,Current Unearned Revenue,95.08,85.3,85.55,79.85,58.07,167.41,52.63,46.4,40.75,40.95
24,Other Current Liabilities,-,110.22,-,76.9,-,73.33,-,56.36,-,49.93
25,Total Current Liabilities,571.88,498.17,639.57,436.38,418.47,489.44,411.1,417.84,463.18,327.88
26,Long-Term Debt,33.04,32.26,22,-,-,-,-,-,-,-
27,Long-Term Leases,13.49,16.31,23.44,25.28,32.21,30.61,14.48,15.44,6.33,6.3
28,Long-Term Unearned Revenue,16.37,10.43,13.67,13.33,12.51,12.35,12.3,12.03,11.66,13.19
29,Long-Term Deferred Tax Liabilities,45.91,48.03,50.29,47.41,44.36,41.34,42.27,38.83,34.85,18.85
30,Other Long-Term Liabilities,2.83,5.93,5.79,8.32,8.7,-,-,-,-,-
31,Total Liabilities,683.52,611.12,754.75,530.73,516.24,573.73,480.14,484.13,516.01,366.22
32,Common Stock,9.51,9.51,9.5,9.45,9.45,9.45,9.45,9.45,9.44,8.89
33,Additional Paid-In Capital,963.99,960.98,958.61,1009,1008,1032,1031,1068,1065,426.38
34,Retained Earnings,1488,1395,1346,1213,1134,1008,1027,915.73,764.59,601.72
35,Comprehensive Income & Other,28.09,26.19,31.22,12.55,-11.92,-18.46,28.71,49.41,85.27,79.02
36,Shareholders' Equity,2490,2392,2345,2244,2140,2032,2097,2043,1924,1116
37,Total Liabilities & Equity,3174,3003,3100,2774,2656,2605,2577,2527,2440,1482
38,Total Debt,90.86,84.2,72.09,38.78,45.25,41.56,23.69,26.85,23.83,11.94
39,Net Cash (Debt),735.31,645.35,787.03,1007,859.31,802.67,791.73,877.46,892.47,484.6
40,Net Cash Growth,-6.57%,-35.89%,-8.41%,25.42%,8.54%,-8.52%,-11.29%,81.07%,77.45%,5.86%
41,Net Cash Per Share,0.66,0.58,0.70,0.90,0.77,0.71,0.71,0.79,0.81,0.45
42,Filing Date Shares Outstanding,1122,1122,1121,1116,1116,1116,1116,1116,1114,1053
43,Total Common Shares Outstanding,1122,1122,1121,1116,1116,1116,1116,1116,1114,1053
44,Working Capital,1502,1477,1488,1629,1531,1445,1527,1485,1377,790.18
45,Book Value Per Share,2.22,2.13,2.09,2.01,1.92,1.82,1.88,1.83,1.73,1.06
46,Tangible Book Value,2293,2191,2151,2045,1918,1819,1877,1834,1705,1051
47,Tangible Book Value Per Share,2.04,1.95,1.92,1.83,1.72,1.63,1.68,1.64,1.53,1.00
48,Land,-,72.72,-,72.72,-,21.41,-,21.41,-,21.41
49,Machinery,-,434.91,-,353.99,-,308.62,-,251.93,-,179.84
50,Construction In Progress,-,145.25,-,19.48,-,12.41,-,31.39,-,13.56
51,Leasehold Improvements,-,88.85,-,82.52,-,77.93,-,-,-,-
