,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2125,1244,1291,1236,1116,1465,1463,1433,1471,1474,1565,2019,2737,3589,-,-,-,-,-,-,-
1,Market Cap Growth,-15.05%,-15.05%,-11.74%,-13.79%,-24.17%,-0.67%,-6.51%,-28.99%,-46.24%,-58.92%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1995,1114,1196,1110,971,1320,1274,1276,1254,1257,1315,1744,2769,3622,-,-,-,-,-,-,-
3,Last Close Price,27.96,16.37,16.99,16.26,14.68,19.27,19.25,18.86,19.36,19.40,20.59,26.45,35.86,47.04,-,-,-,-,-,-,-
4,PE Ratio,164.47,98.23,-69.63,-31.09,-15.98,-,-,-,-,-,-,-,-,46.96,-,-,-,-,-,-,-
5,PS Ratio,6.67,3.98,4.17,4.42,4.38,7.00,7.60,8.28,11.59,13.30,10.99,10.54,10.00,11.29,-,-,-,-,-,-,-
6,PB Ratio,4.23,2.48,2.57,2.46,2.23,2.98,-,2.66,2.61,2.53,2.58,3.22,4.13,5.29,-,-,-,-,-,-,-
7,P/TBV Ratio,2.49,2.49,2.58,2.47,2.25,3.00,-,2.68,2.62,2.54,2.59,3.22,4.14,5.30,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,123.61,-,-,-285.00,-,-35.57,-,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,23.55,-43.38,-,54.35,-,-96.94,-,-,-,-,-,-,-,-,-,-,-,-,-
