,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,81.96,73.27,80.75,76.37,67.74,47.39,51.43,30.91,55.19,22.79,10.38,14.9,85.31,70.7,93.88,59.03,110.48,95.39,97.39,23.76
1,Other Revenue,-,-3.4,3.4,-,11.87,-7.82,7.82,-,7.64,-2.57,2.57,-,9,-1.32,1.32,-,0.94,-0.79,0.16,-
2,Revenue,81.96,69.86,84.16,76.37,79.6,39.58,59.25,30.91,62.83,20.21,12.95,14.9,94.32,69.38,95.2,59.03,111.41,94.6,97.55,23.76
3,Revenue Growth (YoY),2.97%,76.52%,42.05%,147.11%,26.69%,95.79%,357.61%,107.45%,-33.38%,-70.86%,-86.40%,-74.76%,-15.35%,-26.66%,-2.41%,148.49%,-,-,-,-
4,Cost of Revenue,-134.94,36.9,60.77,37.27,80.36,10.33,60.58,24.63,52.35,9.85,10.69,9.33,42.29,30.88,47.04,34.76,48.64,53.57,54.14,-
5,Gross Profit,216.9,32.97,23.39,39.1,-0.76,29.25,-1.33,6.28,10.48,10.37,2.26,5.57,52.03,38.5,48.16,24.27,62.78,41.03,43.42,23.76
6,"Selling, General & Admin",-39.96,12.63,13.6,13.73,19.84,15.71,17.59,14.85,15.86,13.91,13.28,14.89,12.74,15.23,11.16,9.34,12.63,12.48,6.51,-
7,Research & Development,-36.1,10.73,9.71,15.66,21.92,16.51,17.6,16.59,7.67,12.3,18.92,9.54,13.09,6.43,9.72,9.2,10.92,8.57,7.06,-
8,Other Operating Expenses,305.51,-1.29,-0.09,-0.5,-0.1,-0.35,-0.3,-2.72,1.35,-1.15,-1.09,0.17,-0.04,-3.13,-1.2,-0.14,-5,-0.22,-2.66,23.45
