,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,228.64,188.65,196.52,238.86,-,264.76,248.69,285.24,309.84,337.14,350.4,374.25,35.21,101.89,-,111.16,96.97,-,-
1,Cash & Short-Term Investments,228.64,228.64,188.65,196.52,238.86,-,264.76,248.69,285.24,309.84,337.14,350.4,374.25,35.21,101.89,111.16,111.16,96.97,-,21.39
2,Cash Growth,-4.28%,-,-28.75%,-20.98%,-16.26%,-,-21.47%,-29.03%,-23.79%,779.93%,230.90%,215.23%,236.69%,-63.69%,-,419.73%,-,-,-,-
3,Accounts Receivable,-,254.64,264.29,234.04,176.89,-,157.01,175.28,195.57,160.18,165.01,181.49,190.01,116.45,74.43,-,79.74,73.67,-,-
4,Other Receivables,-,3.09,3.29,4.16,1.79,-,5.86,6.95,5.79,4.83,4.66,2.97,2.63,2.69,0.28,-,1.94,1.85,-,-
5,Receivables,-,257.73,267.59,238.2,178.68,-,162.87,182.23,201.36,165.01,169.68,184.46,192.64,119.14,74.71,-,81.67,75.52,-,-
6,Inventory,-,147.33,155.84,166.66,170.36,-,164.4,190.21,201.64,221.03,193,175.13,166.09,163.56,154.02,-,157.03,145.64,-,-
7,Other Current Assets,-,7.72,8.94,10.96,13.54,-,15.74,33.97,12.17,17.44,21.81,18.82,16.95,20.9,14.8,-,16.81,11.63,-,-
8,Total Current Assets,-,641.42,621.01,612.33,601.45,-,607.78,655.1,700.41,713.33,721.63,728.81,749.93,338.81,345.42,-,366.67,329.76,-,-
9,"Property, Plant & Equipment",-,66.65,61.34,47.84,46.91,-,40.5,36.8,37.96,31.65,33.02,34.52,35.74,37.03,37.83,-,5.31,4.7,-,-
10,Other Intangible Assets,-,1.88,2.08,2.28,2.51,-,2.99,3.03,3.28,3.49,1.24,1.39,1.54,1.55,1.7,-,0.87,0.95,-,-
11,Long-Term Accounts Receivable,-,-,2.55,-,2.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,Long-Term Deferred Tax Assets,-,0.56,0.34,0.02,0.02,-,-,-,-,4.41,3.9,3.82,3.54,2.2,1.82,-,2,2.42,-,-
13,Long-Term Deferred Charges,-,30.51,27.28,10.64,11.24,-,6.41,4.59,3.35,3.48,3.72,3.63,3.88,4.12,2.61,-,1.49,1.58,-,-
14,Other Long-Term Assets,-,13.7,12.11,19.05,4.68,-,13.44,14.26,3.95,1.1,3.06,0.67,0.63,0.02,1.47,-,0.98,-,-,-
15,Total Assets,-,754.73,726.71,692.16,669.73,-,671.11,713.79,748.96,757.45,766.57,772.84,795.25,383.73,390.84,-,377.32,339.41,-,-
