,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2017,Q1 2017,Q2 2015,Q1 2015
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Operating Revenue,12934,11650,10337,9721,6705,6459,4186,6328,7582,7976,7641,1611,1611,1802,1802
1,Other Revenue,-294.3,294.3,-,114.27,-154.39,154.39,-,62.64,87.39,-,-,131.05,131.05,-,-
2,Revenue,12640,11944,10337,9835,6550,6614,4186,6391,7670,7976,7641,1742,1742,1802,1802
3,Revenue Growth (YoY),92.97%,80.60%,146.95%,53.91%,-14.60%,-17.08%,-45.22%,266.83%,340.27%,342.59%,324.00%,-,-,-,-
4,Cost of Revenue,11872,11309,9612,9227,5775,5957,3590,5829,6926,7808,7512,1620,1620,1696,1696
5,Gross Profit,768.26,635.55,724.46,607.94,775.59,657.12,595.86,561.2,743.44,168.34,129.46,122.28,122.28,105.72,105.72
6,"Selling, General & Admin",120.86,136.79,124.02,155.74,117.88,116.61,99.3,134.39,117.61,-,-,117,117,83.61,83.61
7,Research & Development,538.7,455.79,478.43,513.62,394.72,403.13,362.55,414.17,431.77,-,-,-,-,-,-
8,Other Operating Expenses,-151.37,-33.75,-60.3,70.57,9.82,-19.94,-4.19,88.68,15.4,-,-,1.12,1.12,2.13,2.13
9,Operating Expenses,509.48,555.56,544.01,742.48,521.35,502.64,455.17,635.22,565.67,-,-,118.46,118.46,77.16,77.16
10,Operating Income,258.78,79.98,180.46,-134.54,254.24,154.49,140.69,-74.03,177.77,168.34,129.46,3.82,3.82,28.56,28.56
11,Interest Expense,-17.81,-38.47,-,-10.32,-10.76,-18.82,-,-9.43,-10.89,-,-,-,-,-0.53,-0.53
12,Interest & Investment Income,43.98,87.09,3.26,60.8,24.79,72.49,1.44,36.26,32.2,-,-,15.07,15.07,41.47,41.47
13,Currency Exchange Gain (Loss),21.93,-21.93,-,-7.36,10.68,-10.68,-,0.99,-,-,-,-0.2,-0.2,3.25,3.25
14,Other Non Operating Income (Expenses),-66.85,-11.85,13.37,21.99,-23.01,-5.18,12.67,-11.38,19.57,-,-2.48,-0.36,-0.36,-1.6,-1.6
15,EBT Excluding Unusual Items,240.03,94.83,197.09,-69.43,255.94,192.29,154.8,-57.58,218.65,168.34,126.98,18.33,18.33,71.16,71.16
16,Merger & Restructuring Charges,-,-,-,-6.75,6.75,-6.75,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Investments,6.47,1.42,-18.76,-15.84,8.4,40.98,-2.85,-5.71,-13.41,-,-,-,-,-,-
18,Gain (Loss) on Sale of Assets,1.56,-1.81,0.04,-7,1.13,-6.62,0.08,-10.72,0.09,-,-,-0.1,-0.1,4.55,4.55
19,Asset Writedown,-67.35,38.91,-38.91,99.93,-99.93,46.61,-46.61,97.03,-20.5,-,-,-0,-0,0,0
20,Other Unusual Items,-93.16,96.89,-1.18,105.93,-,-,-,126.51,-,-1.31,-,-3.51,-3.51,1.14,1.14
21,Pretax Income,87.55,230.24,138.27,106.84,172.29,266.52,105.43,149.53,184.83,167.03,126.98,14.73,14.73,76.84,76.84
22,Income Tax Expense,-2.73,21.61,11.75,9.98,0.23,17.98,20.17,-9.87,30.32,-17.05,3.28,2.17,2.17,6.23,6.23
23,Earnings From Continuing Operations,90.28,208.63,126.52,96.86,172.06,248.54,85.26,159.39,154.51,184.08,123.7,12.56,12.56,70.61,70.61
24,Minority Interest in Earnings,1.94,1.91,1.57,1.41,0.85,0.34,-,-,-,-,-,-1.45,-1.45,-,-
25,Net Income,92.22,210.54,128.09,98.27,172.91,248.88,85.26,159.39,154.51,184.08,123.7,11.11,11.11,70.61,70.61
26,Net Income to Common,92.22,210.54,128.09,98.27,172.91,248.88,85.26,159.39,154.51,184.08,123.7,11.11,11.11,70.61,70.61
27,Net Income Growth,-46.66%,-15.40%,50.24%,-38.35%,11.91%,35.20%,-31.08%,1335.12%,1291.11%,160.69%,75.18%,-,-,-,-
28,Shares Outstanding (Basic),469,491,400,408,402,409,406,397,407,-,-,360,360,362,362
29,Shares Outstanding (Diluted),469,491,400,408,402,409,406,397,407,-,-,360,360,362,362
30,Shares Change (YoY),16.80%,20.02%,-1.40%,2.70%,-1.14%,-,-,10.37%,12.94%,-,-,-,-,-,-
31,EPS (Basic),0.20,0.43,0.32,0.24,0.43,0.61,0.21,0.40,0.38,-,-,0.03,0.03,0.20,0.20
32,EPS (Diluted),0.20,0.43,0.32,0.24,0.43,0.61,0.21,0.40,0.38,-,-,0.03,0.03,0.20,0.20
33,EPS Growth,-54.33%,-29.51%,52.38%,-39.97%,13.21%,-,-,1200.28%,1131.77%,-,-,-,-,-,-
34,Free Cash Flow,-24.96,-60.37,501.62,262.02,253.29,-281.36,552.9,-587.89,652.67,-347.31,349.6,-324.88,-324.88,-210.28,-210.28
35,Free Cash Flow Per Share,-0.05,-0.12,1.25,0.64,0.63,-0.69,1.36,-1.48,1.61,-,-,-0.90,-0.90,-0.58,-0.58
36,Dividend Per Share,-,-,-,0.500,-,-,-,-,-,0.723,0.361,-,-,-,-
37,Gross Margin,6.08%,5.32%,7.01%,6.18%,11.84%,9.94%,14.24%,8.78%,9.69%,2.11%,1.69%,7.02%,7.02%,5.87%,5.87%
38,Operating Margin,2.05%,0.67%,1.75%,-1.37%,3.88%,2.34%,3.36%,-1.16%,2.32%,2.11%,1.69%,0.22%,0.22%,1.58%,1.58%
39,Profit Margin,0.73%,1.76%,1.24%,1.00%,2.64%,3.76%,2.04%,2.49%,2.01%,2.31%,1.62%,0.64%,0.64%,3.92%,3.92%
40,Free Cash Flow Margin,-0.20%,-0.51%,4.85%,2.66%,3.87%,-4.25%,13.21%,-9.20%,8.51%,-4.35%,4.58%,-18.65%,-18.65%,-11.67%,-11.67%
41,EBITDA,325.89,157.12,247.57,-67.42,317.12,224.68,203.58,-11.14,-,-,-,12.54,12.54,33.42,33.42
42,EBITDA Margin,2.58%,1.32%,2.40%,-0.69%,4.84%,3.40%,4.86%,-0.17%,-,-,-,0.72%,0.72%,1.85%,1.85%
43,D&A For EBITDA,67.11,77.14,67.11,67.11,62.88,70.19,62.88,62.88,-,-,-,8.72,8.72,4.86,4.86
44,EBIT,258.78,79.98,180.46,-134.54,254.24,154.49,140.69,-74.03,177.77,168.34,129.46,3.82,3.82,28.56,28.56
45,EBIT Margin,2.05%,0.67%,1.75%,-1.37%,3.88%,2.34%,3.36%,-1.16%,2.32%,2.11%,1.69%,0.22%,0.22%,1.58%,1.58%
46,Effective Tax Rate,-,9.39%,8.50%,9.34%,0.13%,6.75%,19.13%,-,16.41%,-,2.58%,14.72%,14.72%,8.11%,8.11%
47,Revenue as Reported,12640,11944,10337,9835,6550,6614,4186,6391,7670,-,-,1742,1742,1802,1802
