,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2017,Q1 2017,Q2 2015,Q1 2015
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Market Capitalization,22148,19822,18129,23143,-,-,-,-,-,-,-,-,-,-,-,-
1,Enterprise Value,17103,13487,12530,19952,-,-,-,-,-,-,-,-,-,-,-,-
2,Last Close Price,47.62,42.62,38.98,49.19,-,-,-,-,-,-,-,-,-,-,-,-
3,PE Ratio,39.79,37.46,29.73,35.71,-,-,-,-,-,-,-,-,-,-,-,-
4,PS Ratio,0.47,0.44,0.47,0.69,-,-,-,-,-,-,-,-,-,-,-,-
5,PB Ratio,4.01,3.59,3.35,4.29,-,-,-,-,-,-,-,-,-,-,-,-
6,P/TBV Ratio,3.91,3.91,3.67,4.69,-,-,-,-,-,-,-,-,-,-,-,-
7,P/FCF Ratio,32.65,-,-,31.46,-,-,-,-,-,-,-,-,-,-,-,-
8,P/OCF Ratio,14.29,14.29,10.28,15.62,-,-,-,-,-,-,-,-,-,-,-,-
9,EV/Sales Ratio,0.38,0.30,0.32,0.60,-,-,-,-,-,-,-,-,-,-,-,-
10,EV/EBITDA Ratio,23.46,20.34,19.15,27.64,-,-,-,-,-,-,-,-,-,-,-,-
11,EV/EBIT Ratio,44.68,35.06,32.96,43.88,-,-,-,-,-,-,-,-,-,-,-,-
12,EV/FCF Ratio,25.21,-,-,27.12,-,-,-,-,-,-,-,-,-,-,-,-
13,Debt / Equity Ratio,0.40,0.40,0.36,0.37,0.45,0.59,-,0.36,0.36,-,-,-,-,-,0.10,0.10
14,Debt / EBITDA Ratio,3.06,1.71,2.47,2.01,-,1.72,-,1.40,5.92,-,-,-,-,-,0.42,0.42
15,Debt / FCF Ratio,3.29,-,-,2.71,2.17,-34.69,-,4.21,-,-,-,-,-,-,-,-
16,Asset Turnover,1.97,1.95,1.89,2.16,-,-,-,-,-,-,-,1.89,-,2.67,-,
17,Inventory Turnover,20.76,18.18,17.16,16.99,24.61,-,-,-,-,-,-,-,10.94,-,9.52,-
18,Quick Ratio,0.98,0.98,0.99,0.98,0.94,0.97,-,-,0.95,-,-,-,0.79,0.79,0.78,0.78
19,Current Ratio,1.12,1.12,1.12,1.15,1.07,1.09,-,-,1.06,-,-,-,1.09,1.09,1.14,1.14
20,Return on Equity (ROE),6.61%,15.45%,10.98%,10.28%,-,-,10.81%,-,-,-,-,6.31%,-,48.62%,-,
21,Return on Assets (ROA),2.52%,0.82%,2.06%,-1.85%,-,-,-,-,-,-,-,0.26%,-,2.65%,-,
22,Return on Capital (ROIC),8.58%,2.72%,6.98%,-5.88%,-,-,8.19%,-,-,-,-,1.20%,-,11.20%,-,
23,Return on Capital Employed (ROCE),5.89%,5.92%,6.14%,7.06%,-,10.36%,-,-,-,-,-,-,8.06%,7.58%,9.68%,4.84%
24,Earnings Yield,2.39%,2.67%,3.36%,2.80%,-,-,-,-,-,-,-,-,-,-,-,-
25,FCF Yield,3.06%,3.42%,5.28%,3.18%,-,-,-,-,-,-,-,-,-,-,-,-
26,Payout Ratio,56.27%,25.37%,118.28%,6.31%,17.51%,5.58%,2.49%,6.39%,187.87%,10.83%,-,-,162.06%,162.06%,226.82%,226.82%
27,Buyback Yield / Dilution,-9.57%,-16.80%,-20.02%,1.40%,-2.70%,1.14%,-,-,-10.37%,-12.94%,-,-,-,-,-,-
28,Total Shareholder Return,-8.54%,-16.80%,-20.02%,1.40%,-2.70%,1.14%,-,-,-10.37%,-12.94%,-,-,-,-,-,-
