,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2017,Q1 2017,Q2 2015,Q1 2015
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Cash & Equivalents,6282,7035,7590,5102,5380,-,-,4463,-,-,-,617,617,420.02,420.02
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,223.52,223.52
2,Trading Asset Securities,986.99,1221,-,-,-,-,-,-,-,-,-,-,-,80.09,80.09
3,Cash & Short-Term Investments,7269,8256,7590,5102,5380,-,4463,4463,-,-,-,617,617,723.64,723.64
4,Cash Growth,35.12%,-,70.05%,14.32%,-,-,-,623.38%,-,-,-,-,-,-,-
5,Accounts Receivable,12039,10231,9459,9008,6273,-,-,5538,-,-,-,1644,1644,900.27,900.27
6,Other Receivables,35.6,41.68,40.96,31.68,-,-,-,86.06,-,-,-,13.53,13.53,12.54,12.54
7,Receivables,12074,10273,9500,9040,6273,-,-,5624,-,-,-,1657,1657,912.81,912.81
8,Inventory,2764,2460,2811,1715,1285,-,-,1144,-,-,-,592.07,592.07,712.73,712.73
9,Prepaid Expenses,-,2.76,-,0.41,-,-,-,0.18,-,-,-,-,-,-,-
10,Other Current Assets,159.83,141.93,183.61,128.26,110.22,-,-,51.73,-,-,-,289.43,289.43,54.94,54.94
11,Total Current Assets,22267,21134,20085,15986,13048,-,-,11284,-,-,-,3156,3156,2404,2404
12,"Property, Plant & Equipment",2508,2327,2281,2249,1955,-,-,1720,-,-,-,222.1,222.1,105.44,105.44
13,Long-Term Investments,843.62,854.05,927.95,940.07,920.2,-,-,860.38,-,-,-,225.32,225.32,112.26,112.26
14,Other Intangible Assets,460.03,464.24,457.85,459.42,461.15,-,-,470.77,-,-,-,50.97,50.97,23.73,23.73
15,Long-Term Deferred Tax Assets,148.11,144.64,151.02,145.11,163.43,-,-,164.19,-,-,-,21.72,21.72,48.82,48.82
16,Long-Term Deferred Charges,36.27,39.04,20.09,24.27,17.83,-,-,22.9,-,-,-,3.28,3.28,0.17,0.17
17,Other Long-Term Assets,25.12,21.15,14.66,35.2,34.87,-,-,8.24,-,-,-,15.02,15.02,3.11,3.11
18,Total Assets,26288,24984,23938,19839,16600,-,-,14530,-,-,-,3694,3694,2698,2698
19,Accounts Payable,17380,15848,15071,11765,8723,-,-,8776,-,-,-,2608,2608,1865,1865
20,Accrued Expenses,320.9,749.28,406.02,927.93,533.69,-,-,703.79,-,-,-,166.18,166.18,54.3,54.3
21,Short-Term Debt,1338,1194,976.42,692.69,1346,-,-,371.43,-,-,-,-,-,56.77,56.77
22,Current Portion of Long-Term Debt,75.76,46.82,116.89,60.12,57.86,-,-,57.36,-,-,-,-,-,-,-
23,Current Portion of Leases,-,52.58,-,60.73,65.36,-,-,53.92,-,-,-,-,-,-,-
24,Current Income Taxes Payable,56.32,26.73,74.29,35.27,27.06,-,-,32.11,-,-,-,7.54,7.54,38.6,38.6
25,Current Unearned Revenue,20.58,24.34,32.51,24.1,123.15,-,-,108.65,-,-,-,-,-,-,-
26,Other Current Liabilities,601.99,848.46,816.79,1425,1134,-,-,529.58,-,-,-,108.4,108.4,92.61,92.61
27,Total Current Liabilities,19794,18790,17494,14990,12011,-,-,10632,-,-,-,2890,2890,2108,2108
28,Long-Term Debt,642.75,471.35,727.68,712.43,628.09,-,-,557.22,-,-,-,-,-,-,-
29,Long-Term Leases,173.09,159.32,170.48,182.57,89.61,-,-,97.81,-,-,-,-,-,-,-
30,Long-Term Unearned Revenue,153.16,154.13,146.2,127.84,132.56,-,-,64.81,-,-,-,6,6,4.08,4.08
31,Long-Term Deferred Tax Liabilities,0.01,0.01,0.17,0.21,25.08,-,-,22.16,-,-,-,1.71,1.71,4.86,4.86
32,Other Long-Term Liabilities,1.15,1.57,4.17,-,-,-,-,-,-,-,-,-,-,0.08,0.08
33,Total Liabilities,20764,19576,18543,16014,12886,-,-,11374,-,-,-,2898,2898,2117,2117
34,Common Stock,465.1,465.1,465.1,405.1,405.1,-,-,405.1,-,-,-,360,360,360,360
35,Additional Paid-In Capital,2981,2962,2944,1544,1522,-,-,1465,-,-,-,169.24,169.24,109.59,109.59
36,Retained Earnings,2025,1932,1954,1826,1728,-,-,1221,-,-,-,261,261,94.21,94.21
37,Comprehensive Income & Other,58.18,50.53,33.32,49.6,57.65,-,-,65.27,-,-,-,2.57,2.57,17.1,17.1
38,Total Common Equity,5529,5411,5397,3825,3713,-,3156,3156,-,-,-,792.81,792.81,580.89,580.89
39,Minority Interest,-5.29,-3.35,-1.44,0.14,1.56,-,-,-,-,-,-,3.19,3.19,-,-
40,Shareholders' Equity,5524,5407,5395,3825,3714,-,3156,3156,-,-,-,796,796,580.89,580.89
41,Total Liabilities & Equity,26288,24984,23938,19839,16600,-,-,14530,-,-,-,3694,3694,2698,2698
42,Total Debt,2230,1924,1991,1709,2187,-,1138,1138,-,-,-,-,-,56.77,56.77
43,Net Cash (Debt),5039,6332,5598,3394,3193,-,3326,3326,-,-,-,617,617,666.87,666.87
44,Net Cash Growth,57.84%,-,68.34%,2.05%,-,-,-,438.99%,-,-,-,-,-,-,-
45,Net Cash Per Share,10.73,12.90,13.99,8.32,7.94,-,8.19,8.37,-,-,-,1.71,1.71,1.84,1.84
46,Filing Date Shares Outstanding,465.1,465.1,465.1,465.1,405.1,405.1,405.98,465.1,406.6,-,-,360,360,360,360
47,Total Common Shares Outstanding,465.1,465.1,465.1,405.1,405.1,405.1,405.98,405.1,406.6,-,-,360,360,360,360
48,Working Capital,2473,2343,2591,995.32,1037,-,-,651.52,-,-,-,265.29,265.29,296.38,296.38
49,Book Value Per Share,11.89,11.63,11.60,9.44,9.17,-,7.79,7.79,-,-,-,2.20,2.20,1.61,1.61
50,Tangible Book Value,5069,4946,4939,3366,3252,-,2685,2685,-,-,-,741.84,741.84,557.16,557.16
51,Tangible Book Value Per Share,10.90,10.63,10.62,8.31,8.03,-,6.63,6.63,-,-,-,2.06,2.06,1.55,1.55
52,Buildings,-,366.49,-,366.49,366.49,-,-,362.1,-,-,-,73.18,73.18,73.61,73.61
53,Machinery,-,2317,-,2140,1994,-,-,1831,-,-,-,242.6,242.6,91.21,91.21
54,Construction In Progress,-,511.64,-,430.35,303.64,-,-,67.42,-,-,-,1.29,1.29,-,-
