,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,1236,1117,1287,-,982.58,887.97,953.66,1115,964.39,956.51,364.64,744.08,575.81,483.27,-,581.41,-,-,-
1,Trading Asset Securities,30,30,-,-,-,-,-,-,-,-,610,350,350,-,-,-,-,-,-
2,Cash & Short-Term Investments,1266,1147,1287,982.58,982.58,887.97,953.66,1115,964.39,956.51,974.64,1094,925.81,483.27,581.41,581.41,-,-,636.15
3,Cash Growth,28.85%,29.21%,34.98%,-11.91%,1.89%,-7.17%,-2.15%,1.96%,4.17%,97.92%,67.63%,88.18%,-,-,-8.60%,-,-,-,-
4,Accounts Receivable,827.35,750.72,688.9,-,1111,1231,1039,871.09,896.87,797.39,643.38,567.14,618.3,532.55,-,373.68,-,-,-
5,Other Receivables,1.69,143.09,221.75,-,3.19,2.79,2.37,2.46,1.85,1.72,1.43,0.49,0.7,0.77,-,1.68,-,-,-
6,Receivables,829.04,893.81,910.65,-,1114,1234,1041,873.55,898.71,799.11,644.81,567.63,619.01,533.32,-,375.36,-,-,-
7,Inventory,493.64,492.94,457.54,-,553.77,553.45,596.58,602.95,535.96,513.63,452.41,392.52,347.87,322.6,-,236.12,-,-,-
8,Other Current Assets,11.9,13.15,10.69,-,14.53,9.39,12.45,13.55,15.94,12.92,14.97,9.98,22.74,15.45,-,12.04,-,-,-
9,Total Current Assets,2601,2547,2666,-,2665,2685,2604,2606,2415,2282,2087,2064,1915,1355,-,1205,-,-,-
10,"Property, Plant & Equipment",919.4,891.12,865.27,-,752.8,728.27,720.33,709.21,707.43,696.09,668.38,647.62,570.29,526.41,-,396.12,-,-,-
11,Long-Term Investments,11.38,11.38,11.38,-,11.38,11.38,11.38,11.38,11.38,11.38,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,132.77,133.82,134.87,-,136.54,137.61,110.36,34.16,32.15,32.38,32.67,32.95,33.27,33.54,-,33.99,-,-,-
13,Long-Term Deferred Tax Assets,10.6,10.73,9.96,-,13.56,15,12.9,11.69,8,8.27,7.06,6.32,5.6,6.72,-,5.2,-,-,-
14,Long-Term Deferred Charges,14.46,15.33,17.98,-,20.65,21.98,21.03,21.72,22.35,22.12,8.51,7.76,13.14,1.04,-,2.1,-,-,-
15,Other Long-Term Assets,22.01,14.18,11.09,-,12.21,14.3,30.58,32.28,20.78,21.73,34.48,16.27,19.38,24.28,-,23.3,-,-,-
16,Total Assets,3711,3624,3717,-,3612,3613,3510,3426,3217,3074,2838,2775,2557,1947,-,1666,-,-,-
17,Accounts Payable,419.64,439.49,376.72,-,441.63,528.09,446.13,551.37,449.57,372.71,307.56,358.51,242.64,264.72,-,192.2,-,-,-
18,Accrued Expenses,41.47,43.95,29.82,-,38.61,55.71,36.12,59.83,41.05,60.42,33.92,57.24,39.92,44.63,-,50.29,-,-,-
19,Current Portion of Leases,2.6,3.27,8.6,-,7.91,7.86,7.8,5.91,-,-,0.2,0.2,-,-,-,-,-,-,-
20,Current Income Taxes Payable,20.71,12.09,32.61,-,28.38,22.81,49.68,8.83,32.5,25.62,31.43,17.72,22.94,20.21,-,10.72,-,-,-
21,Current Unearned Revenue,37.23,40.12,40.85,-,49.57,52.4,58.82,53.52,53.33,63.63,66.86,60.06,57.46,49.77,-,37.58,-,-,-
22,Other Current Liabilities,7.01,8.08,44.05,-,37.99,56.21,60.59,57.59,58.82,129.41,13.83,12.05,19.71,7.46,-,11.25,-,-,-
