,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,18195,14581,11358,14843,14895,20616,25819,25407,31658,28412,32601,25741,36849,33541,-,-,-,-,-,-
1,Market Cap Growth,-52.95%,-29.27%,-56.01%,-41.58%,-52.95%,-27.44%,-20.80%,-1.30%,-14.09%,-15.29%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,16935,13441,10088,13880,13932,19751,24890,24312,30708,27470,31639,24815,35923,33058,-,-,-,-,-,-
3,Last Close Price,28.69,25.29,19.66,25.28,25.37,35.11,43.96,43.01,53.59,48.10,55.16,43.56,62.35,56.75,-,-,-,-,-,-
4,PE Ratio,31.02,34.53,26.92,30.88,27.30,38.13,43.39,44.85,62.51,55.58,70.61,58.51,91.97,85.49,-,-,-,-,-,-
5,Forward PE,32.76,26.29,21.97,25.71,20.48,25.60,34.58,35.74,41.67,37.86,49.41,48.38,64.96,-,-,-,-,-,-,-
6,PS Ratio,5.81,5.75,4.39,5.46,5.17,7.15,8.97,9.30,12.59,12.32,15.41,13.06,20.44,19.62,-,-,-,-,-,-
7,PB Ratio,5.55,4.60,3.71,4.68,4.98,6.90,9.00,8.99,11.87,11.10,13.58,10.89,16.29,15.46,-,-,-,-,-,-
8,P/TBV Ratio,5.22,4.80,3.87,4.89,5.22,7.23,9.45,9.35,12.03,11.24,13.77,11.04,16.53,15.71,-,-,-,-,-,-
9,P/FCF Ratio,122.82,26.47,21.44,30.53,100.54,116.79,162.54,-,308.15,246.27,-,-,4015.60,-,-,-,-,-,-,-
