,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,633.84,683.14,540.22,677.89,685.45,814.59,703.56,681.59,673.12,672.75,487.36,471.24,477.97,531.89,319.38,379.64,294.18,267.66,267.66
1,Other Revenue,-7.32,7.32,-,-,-9.2,9.2,-,-,-3.76,3.76,-,2.34,-0.52,0.52,-,0.55,-0.1,0.05,0.05
2,Revenue,626.53,690.46,540.22,677.89,676.26,823.79,703.56,681.59,669.36,676.51,487.36,473.58,477.45,532.41,319.38,380.19,294.09,267.7,267.7
3,Revenue Growth (YoY),-7.35%,-16.19%,-23.22%,-0.54%,1.03%,21.77%,44.36%,43.92%,40.20%,27.07%,52.60%,24.57%,62.35%,98.88%,19.30%,-,-,-,-
4,Cost of Revenue,405.25,442.83,350.99,451.66,434.53,491.48,410.31,439.08,399.26,399.88,293.84,315.17,264.72,297.92,182.05,212,162.88,153.11,153.11
5,Gross Profit,221.28,247.63,189.24,226.23,241.73,332.32,293.25,242.51,270.1,276.63,193.52,158.41,212.74,234.49,137.34,168.19,131.2,114.6,114.6
6,"Selling, General & Admin",78.62,91.01,69.22,94.93,90.99,78.2,68.71,112.29,64.83,70.01,55.2,32.38,61.14,58.46,51.43,52.68,43.22,35.7,35.7
7,Research & Development,23.86,32.57,25.28,32.38,36.58,32.58,26.83,29.92,25.56,22.85,19.36,14.9,21.54,15.4,13.93,17.81,13.93,8.64,8.64
8,Other Operating Expenses,-3.26,0.63,-5.55,-5.24,3.38,4.6,3.21,3.39,2.55,-0.38,2.19,6.94,2.14,0.05,0.77,7.78,0.27,-0.59,-0.59
9,Operating Expenses,99.53,130.13,80.5,116.22,131.1,114.93,104.91,134.37,94.92,97.91,80.58,53.29,86.34,80.49,67.98,80.5,55.72,46.76,46.76
10,Operating Income,121.75,117.5,108.74,110.01,110.63,217.39,188.33,108.15,175.18,178.72,112.94,105.12,126.4,154,69.36,87.69,75.48,67.84,67.84
