,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,122.43,117.82,82.51,73.5,94.63,67.36,128.31,101.98,-,42.25,-,49.13,49.13,-,-
1,Trading Asset Securities,-,-,-,-,-,40.29,-,70.08,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,122.43,117.82,82.51,73.5,94.63,107.65,128.31,172.06,-,42.25,49.13,49.13,49.13,-,105.57
3,Cash Growth,29.38%,9.45%,-35.69%,-57.28%,-,154.80%,161.16%,250.21%,-,-,-53.46%,-,-,-,-
4,Accounts Receivable,312.97,355.27,348.13,359.37,367.85,322.31,278.24,332.54,-,282.67,-,322.54,322.54,-,-
5,Other Receivables,0.42,1.02,2.52,0.48,0.79,1.3,1.65,1.18,-,1.72,-,1.68,1.68,-,-
6,Receivables,313.39,356.29,350.64,359.85,368.65,323.6,279.9,333.72,-,284.39,-,324.21,324.21,-,-
7,Inventory,270.93,255.52,219.23,200.55,205.94,202.24,213.17,205.77,-,208.11,-,143.23,143.23,-,-
8,Prepaid Expenses,-,-,-,1.65,-,2.93,-,2.27,-,8.59,-,2.47,2.47,-,-
9,Other Current Assets,52.09,41.16,34.52,28.44,20.18,21.6,39.11,19.6,-,15.64,-,21.4,21.4,-,-
