,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 6, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,5447,4221,3726,4773,5230,3906,4996,4553,3414,3781,-,-,-,-,-,-
1,Market Cap Growth,8.07%,8.07%,-25.41%,4.84%,53.18%,3.31%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5775,4557,4022,5097,5554,4187,5214,4644,3505,4200,-,-,-,-,-,-
3,Last Close Price,20.04,15.53,13.65,17.48,19.16,14.31,18.30,16.60,12.45,13.79,-,-,-,-,-,-
4,PE Ratio,95.22,75.90,65.77,88.53,101.48,75.70,91.91,71.07,52.42,49.59,-,-,-,-,-,-
5,PS Ratio,4.80,3.83,3.41,4.48,5.21,3.95,5.08,4.64,3.49,3.90,-,-,-,-,-,-
6,PB Ratio,4.61,3.54,3.16,4.02,4.48,3.39,4.39,3.95,3.01,-,-,-,-,-,-,-
7,P/TBV Ratio,3.86,3.86,3.45,4.40,4.92,3.72,4.83,4.35,3.32,-,-,-,-,-,-,-
8,P/FCF Ratio,246.48,191.01,-,-96.71,-51.07,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,59.16,59.16,-,72.79,111.38,-,-264.88,-81.10,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,5.23,4.13,3.68,4.79,5.54,4.24,5.30,4.73,3.58,4.33,-,-,-,-,-,-
11,EV/EBITDA Ratio,44.30,35.60,31.75,42.62,49.57,42.15,50.72,41.20,30.71,30.64,-,-,-,-,-,-
12,EV/EBIT Ratio,88.75,66.86,57.92,77.30,91.02,82.17,92.42,68.03,48.91,44.28,-,-,-,-,-,-
13,EV/FCF Ratio,261.31,206.20,-,-103.28,-54.24,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.37,0.37,0.37,0.31,0.32,0.35,0.33,0.29,0.30,-,0.63,0.52,0.52,0.52,-,0.35
15,Debt / EBITDA Ratio,3.35,3.25,3.86,2.29,3.56,3.14,4.37,2.57,6.27,-,3.56,2.58,2.39,2.39,-,1.81
16,Debt / FCF Ratio,19.78,19.78,-,-7.39,-3.66,-,-,-,-,-,-,-,-,-,-,-
17,Asset Turnover,0.63,0.59,0.63,0.63,0.65,0.57,0.52,-,-,-,-,0.74,-,-,-,
18,Inventory Turnover,3.89,3.46,4.01,4.27,4.67,4.33,4.01,3.23,-,-,-,-,5.57,-,-,-
19,Quick Ratio,0.69,0.69,0.77,0.95,0.97,1.03,1.07,1.13,1.22,-,0.69,-,0.78,0.78,-,-
20,Current Ratio,1.20,1.20,1.25,1.50,1.49,1.53,1.63,1.83,1.77,-,1.18,-,1.14,1.14,-,-
21,Return on Equity (ROE),4.13%,3.76%,6.43%,4.40%,4.66%,2.73%,5.86%,-,-,9.84%,10.36%,13.72%,-,-,-,
22,Return on Assets (ROA),2.63%,1.58%,3.65%,1.71%,3.01%,1.18%,3.11%,-,-,-,-,4.61%,-,-,-,
23,Return on Capital (ROIC),2.97%,1.80%,4.14%,1.91%,3.35%,1.32%,3.49%,-,-,4.54%,5.91%,6.13%,-,-,-,
24,Return on Capital Employed (ROCE),5.41%,5.67%,5.66%,5.03%,4.73%,3.96%,4.40%,5.32%,5.66%,-,9.95%,-,10.27%,7.42%,-,-
25,Earnings Yield,1.02%,1.32%,1.52%,1.13%,0.99%,1.32%,1.09%,1.41%,1.91%,2.02%,-,-,-,-,-,-
26,FCF Yield,0.41%,0.52%,-1.22%,-1.03%,-1.96%,-5.18%,-4.80%,-5.74%,-7.43%,-6.11%,-,-,-,-,-,-
27,Dividend Yield,0.30%,-,-,-,0.31%,-,-,-,0.60%,-,-,-,-,-,-,-
28,Payout Ratio,49.27%,146.97%,24.33%,14.89%,24.87%,21.46%,288.06%,15.91%,31.99%,26.49%,23.91%,26.75%,17.12%,17.12%,16.94%,16.94%
29,Buyback Yield / Dilution,4.72%,7.02%,0.65%,2.35%,8.95%,-7.33%,-38.95%,-41.19%,-32.68%,-24.40%,3.64%,1.49%,-,-,-,-
30,Total Shareholder Return,5.02%,7.02%,0.65%,2.35%,9.26%,-7.33%,-38.95%,-41.19%,-32.07%,-24.40%,3.64%,1.49%,-,-,-,-
