,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,289.61,264.29,275.41,253.49,278.07,236.79,214.33,233.64,289.76,219.2,210.44,243.96,243.96,202.33,202.33
1,Other Revenue,-,-,-,20.5,-,-,-,25.26,-15.92,15.92,-,5.97,5.97,5.88,5.88
2,Revenue,289.61,264.29,275.41,273.99,278.07,236.79,214.33,258.9,273.84,235.12,210.44,249.93,249.93,208.21,208.21
3,Revenue Growth (YoY),4.15%,11.62%,28.50%,5.83%,1.54%,0.71%,1.85%,3.59%,9.57%,12.92%,1.07%,-,-,-,-
4,Cost of Revenue,227.66,238.18,224.18,237.28,220.82,208.14,168.9,217.05,215.11,196.89,166.23,199.28,199.28,169.24,169.24
5,Gross Profit,61.95,26.11,51.23,36.71,57.25,28.65,45.43,41.85,58.73,38.22,44.21,50.65,50.65,38.97,38.97
6,"Selling, General & Admin",17.23,17.03,13.51,13.55,15.39,14.9,12.9,16.04,19.3,11.12,11.52,10.69,10.69,10.87,10.87
7,Research & Development,13.86,12.62,11.22,14.27,9.58,12.75,10.94,19.69,8.79,7.44,9.39,11.49,11.49,7.73,7.73
8,Other Operating Expenses,11.99,-15.52,2.07,-2.63,10.31,-7.75,1.25,5.32,1.42,0.13,1.11,1.92,1.92,-0.23,-0.23
9,Operating Expenses,42.64,14.72,25.64,24.86,36.64,20.76,24.76,40.07,32.65,18.49,20.14,25.67,25.67,18.89,18.89
10,Operating Income,19.32,11.4,25.59,11.85,20.61,7.89,20.67,1.78,26.08,19.73,24.07,24.98,24.98,20.08,20.08
11,Interest Expense,-3,-3.23,-2.72,-3.62,-2.94,-2.42,-2.72,-1.01,-4.07,-9.06,-,-3.5,-3.5,-0.62,-0.62
12,Interest & Investment Income,0.89,0.11,0.2,0.24,0.34,0.31,0.66,1.21,0.33,0.16,-,0.27,0.27,0.13,0.13
13,Currency Exchange Gain (Loss),-1.15,1.15,-,2.07,-0.51,0.51,-,0.88,-0.97,0.97,-,0.02,0.02,-0.37,-0.37
14,Other Non Operating Income (Expenses),-0.77,0.22,-0.29,-0.69,-0.23,0.82,-1,1.55,-0.91,3.53,-4.43,0.02,0.02,-0.22,-0.22
15,EBT Excluding Unusual Items,15.29,9.64,22.78,9.85,17.27,7.1,17.6,4.42,20.47,15.32,19.64,21.78,21.78,19.01,19.01
16,Gain (Loss) on Sale of Investments,-,-,-,0.08,-0.29,0.21,-,0.08,-,-,-,0.02,0.02,-0.02,-0.02
