,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,129862,36538,101508,-,17200,-,16035,-,28398,28398,10034,11367,24620,9620,7090,-,-,6112,15447,15849,Upgrade
1,Short-Term Investments,244875,264328,264328,-,212952,-,142735,-,128559,128559,95223,91997,76694,91694,30000,-,-,36764,36764,36764,Upgrade
2,Cash & Short-Term Investments,374737,300866,365836,230152,230152,-,158770,156956,156956,156956,105258,103364,101314,101314,37090,-,42876,42876,52211,52613,Upgrade
3,Cash Growth,62.82%,-,130.42%,46.63%,46.63%,-,50.84%,51.85%,54.92%,54.92%,183.79%,-,136.29%,136.29%,-28.96%,-,-,-21.02%,3.37%,-10.47%,Upgrade
4,Accounts Receivable,472342,473631,624016,-,380601,-,488180,-,375887,375887,411461,407795,294625,294625,311491,-,-,228914,222745,202814,Upgrade
5,Other Receivables,16848,44381,29654,-,25861,-,64072,-,64598,64598,19159,18488,12084,12084,17069,-,-,13583,14395,18141,Upgrade
6,Receivables,512186,518013,653671,-,406462,-,552251,-,440485,440485,430619,426283,306709,306709,328561,-,-,242496,237140,220955,Upgrade
7,Inventory,562452,691377,708657,-,711522,-,684517,-,657100,657100,574987,492142,619645,619645,535316,-,-,381013,294710,286325,Upgrade
8,Prepaid Expenses,5427,7597,5128,-,5560,-,19365,-,28603,28603,15656,11620,5110,5110,4786,-,-,2008,2340,1940,Upgrade
9,Other Current Assets,37496,52937,13433,-,34343,-,36635,-,44079,44079,53260,68540,61839,61839,53592,-,-,39049,36865,56738,Upgrade
10,Total Current Assets,1492299,1570790,1746724,-,1388039,-,1451539,-,1327223,1327223,1179780,1101950,1094618,1094618,959345,-,-,707444,623266,618571,Upgrade
11,"Property, Plant & Equipment",16909,89689,92197,-,96636,-,101541,-,88894,88894,43649,23952,24845,24845,26748,-,-,24526,21927,23032,Upgrade
12,Long-Term Investments,194450,45231,53537,-,49092,-,44580,-,30660,30660,42741,44332,40163,40163,37442,-,-,16272,22525,24639,Upgrade
13,Goodwill,-,20724,21542,-,23178,-,24814,-,26450,26450,28087,28905,29723,29723,31359,-,-,-,-,-,Upgrade
14,Other Intangible Assets,1832,6645,6795,-,6365,-,5919,-,5275,5275,5058,5107,5180,5180,6125,-,-,5315,5375,5185,Upgrade
15,Long-Term Deferred Tax Assets,-,3074,4278,-,3857,-,3410,-,2160,2160,3195,4534,3691,3691,2794,-,-,1617,900.74,1542,Upgrade
16,Other Long-Term Assets,1130,3499,9114,-,11497,-,13213,-,10105,10105,2628,2420,2790,2790,2827,-,-,2280,832.4,2902,Upgrade
17,Total Assets,1706620,1739652,1934186,-,1578664,-,1645017,-,1490767,1490767,1305139,1211201,1201010,1201010,1066639,-,-,757455,674827,675871,Upgrade
18,Accounts Payable,80150,159449,418074,-,129001,-,256513,-,179707,179707,271178,123878,110011,110011,134932,-,-,124998,90467,27693,Upgrade
19,Accrued Expenses,5888,9355,11263,-,9056,-,9270,-,6865,6865,12502,19453,18687,18687,77239,-,-,34462,39627,25884,Upgrade
20,Short-Term Debt,1135907,1028043,988544,-,977833,-,898952,-,867067,867067,741435,784186,793168,793168,597253,-,-,354378,288013,374255,Upgrade
21,Current Income Taxes Payable,21907,62406,32503,-,15166,-,17492,-,9978,9978,11979,16980,12385,12385,15054,-,-,11798,10379,10694,Upgrade
22,Current Unearned Revenue,-,2321,-,-,755.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
23,Other Current Liabilities,15323,32051,38323,-,43173,-,48138,-,32033,32033,22317,28022,36230,36230,18508,-,-,17692,24163,20990,Upgrade
24,Total Current Liabilities,1259174,1293625,1488707,-,1174985,-,1230365,-,1095650,1095650,1059411,972519,970481,970481,842986,-,-,543330,452648,459516,Upgrade
25,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,345,453.6,453.6,Upgrade
26,Long-Term Deferred Tax Liabilities,-,1302,1495,-,2312,-,2181,-,2146,2146,1829,1720,1621,1621,1185,-,-,974.77,-,-,Upgrade
