,Fiscal Quarter,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,+17 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+17 Quarters
0,Revenue,144895,234582,68589,102101,186480,66930,201311,185034,158113,220303,172699,98722,165299,178206,73455,114427,151880,84272,97146,87017,Upgrade
1,Revenue Growth (YoY),-22.30%,250.49%,-65.93%,-44.82%,17.94%,-69.62%,16.57%,87.43%,-4.35%,23.62%,135.11%,-13.73%,8.84%,111.46%,-24.39%,31.50%,56.24%,-49.35%,7.74%,-20.40%,Upgrade
2,Cost of Revenue,128825,208054,55006,80838,156405,51048,131894,127568,119741,157320,125925,63831,131740,150090,57333,88145,124595,67008,78812,71327,Upgrade
3,Gross Profit,16069,26528,13584,21263,30075,15881,69417,57466,38372,62983,46774,34891,33558,28116,16123,26282,27285,17264,18334,15690,Upgrade
4,"Selling, General & Admin",12906,14393,9044,11251,15556,7702,16361,18261,15275,17639,13371,10055,11940,5004,5535,10883,8810,7605,6828,9043,Upgrade
5,Operating Expenses,12906,14393,9044,11251,15556,7702,16361,18261,15275,17639,13371,10055,11940,5004,5535,10883,8810,7605,6828,9043,Upgrade
6,Operating Income,3163,12135,4540,10012,14519,8180,53057,39204,23097,45344,33403,24836,21618,23112,10588,15399,18475,9659,11506,6647,Upgrade
7,Interest Expense,-,-180.87,-830.68,-280.2,-,-,-,-98.63,-,-0.64,-697,-472.98,-1.89,-180.58,-702.27,-566.19,-76.29,-4.52,-35.01,-187.54,Upgrade
8,Interest & Investment Income,3796,575.33,600.56,1932,1680,4042,2511,1177,1257,1690,815.03,579.69,822.74,371.94,133.38,392.99,281.95,394.62,153.17,305.95,Upgrade
9,Other Non Operating Income (Expenses),-75.43,-3108,-60.79,-500.02,-50.47,-,-11.45,-115.07,-348.98,-162.44,57.96,-14.86,-625.63,201.93,-80.88,15.94,-50.6,-912.45,-141.46,-5.47,Upgrade
10,Pretax Income,6884,9422,4249,11164,16149,12222,55557,40168,24005,46871,33579,24928,21813,23506,9938,15242,18630,9137,11483,6760,Upgrade
11,Income Tax Expense,1376,3586,1114,1935,2396,2241,6636,4834,4002,6863,5028,4227,4907,4153,1933,1565,2408,1330,1672,969.5,Upgrade
12,Net Income,5508,5836,3135,9230,13753,9981,48921,35334,20002,40007,28552,20700,16906,19353,8005,13677,16223,7806,9811,5791,Upgrade
13,Net Income to Common,5508,5836,3135,9230,13753,9981,48921,35334,20002,40007,28552,20700,16906,19353,8005,13677,16223,7806,9811,5791,Upgrade
14,Net Income Growth,-59.95%,-41.53%,-93.59%,-73.88%,-31.24%,-75.05%,71.34%,70.69%,18.31%,106.73%,256.67%,51.35%,4.22%,147.91%,-18.41%,136.20%,158.69%,-43.39%,153.34%,57.96%,Upgrade
