,Fiscal Quarter,Current,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,+17 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+17 Quarters
0,Market Capitalization,736012,670351,740593,795565,975630,788149,790160,703716,648738,569413,655806,565486,492186,455534,405792,305260,313638,201587,171742,153939,149750,Upgrade
1,Market Cap Growth,-14.95%,-14.95%,-6.27%,13.05%,50.39%,38.41%,20.49%,24.44%,31.81%,25.00%,61.61%,85.25%,56.93%,125.97%,136.28%,98.30%,109.44%,28.76%,13.49%,-21.12%,-27.51%,Upgrade
2,Enterprise Value,662248,575884,753748,833783,894421,589794,598412,595200,566062,415838,635465,608396,449318,376591,447439,347528,293499,181448,151603,157048,99205,Upgrade
3,Last Close Price,48200.00,43900.00,48500.00,52100.00,64700.00,49689.41,49816.17,44365.55,39026.23,34254.26,39451.46,34018.02,28326.54,26217.11,23354.32,17568.48,18050.63,10864.03,9255.59,8296.17,7227.24,Upgrade
4,PE Ratio,34.06,28.28,23.18,22.04,11.91,7.30,6.92,4.88,5.24,5.21,6.18,6.61,7.58,7.86,7.09,6.68,6.60,5.09,5.79,4.32,5.04,Upgrade
5,PS Ratio,1.41,1.22,1.25,1.88,1.75,1.23,1.29,0.92,0.88,0.88,1.00,0.92,0.95,0.86,0.78,0.72,0.70,0.48,0.47,0.34,0.34,Upgrade
6,PB Ratio,3.80,3.46,3.09,3.40,4.21,2.89,2.98,2.76,-,2.80,3.38,4.50,3.91,4.34,3.40,3.05,3.40,2.35,2.00,1.97,2.19,Upgrade
7,P/TBV Ratio,3.46,3.46,3.09,3.40,4.21,2.89,2.98,2.76,-,2.80,3.38,4.50,3.91,4.34,3.40,3.05,3.40,2.35,2.00,1.97,2.19,Upgrade
8,P/FCF Ratio,-,-,68.42,-3.79,-,-,-18.08,-,15.48,-,-,6.53,-,-,3.79,52.72,-,-,28.19,-12.31,-,Upgrade
9,P/OCF Ratio,-,-,57.23,-3.86,-,-,-21.10,-,13.18,-,-,5.95,-,-,3.21,7.76,-,-,6.20,-18.28,-,Upgrade
10,EV/Sales Ratio,1.20,1.05,1.27,1.97,1.61,0.92,0.98,0.78,0.77,0.64,0.97,0.99,0.87,0.71,0.86,0.82,0.66,0.43,0.41,0.35,0.23,Upgrade
11,EV/EBITDA Ratio,15.61,13.61,13.86,16.48,9.02,4.60,4.38,3.43,3.68,2.98,4.60,5.25,4.84,4.54,5.66,5.41,4.59,3.34,3.59,3.03,2.12,Upgrade
12,EV/EBIT Ratio,22.09,19.29,18.29,22.38,10.43,5.13,4.84,3.70,4.01,3.28,5.08,5.91,5.61,5.33,6.62,6.42,5.33,3.92,4.34,3.56,2.56,Upgrade
13,EV/FCF Ratio,-75.10,-,69.64,-3.97,-,-,-13.69,-,13.50,-,-,7.03,-,-,4.18,60.01,-,-,24.89,-12.56,-,Upgrade
14,Debt / Equity Ratio,-,-,-,0.15,0.27,-,-,-,-,-,-,0.55,0.55,-,-,0.50,0.67,-,-,0.01,0.25,Upgrade
15,Debt / EBITDA Ratio,-,-,-,1.11,1.16,-,-,-,-,-,-,0.47,0.61,-,-,0.91,0.85,-,-,0.01,0.50,Upgrade
16,Debt / FCF Ratio,-,-,-,-0.16,-,-,-,-,-,-,-,0.79,-,-,-,8.60,-,-,-,-0.06,-,Upgrade
17,Asset Turnover,2.08,3.00,0.73,1.15,2.43,0.90,-,-,2.57,-,-,1.65,3.83,4.13,1.43,-,-,2.83,2.91,-,Upgrade,
18,Inventory Turnover,3.29,4.08,4.31,0.80,1.50,6.89,6.33,-,-,7.54,-,-,1.80,9.95,8.78,1.78,-,-,9.59,4.92,-,Upgrade
19,Quick Ratio,1.26,1.26,4.13,0.44,0.48,2.84,8.30,4.79,-,1.89,4.41,-,0.28,0.58,2.55,0.19,0.25,-,1.96,0.97,0.44,Upgrade
20,Current Ratio,2.78,2.78,8.14,2.67,2.25,6.08,9.47,5.55,-,3.92,4.86,-,1.49,1.63,3.03,1.52,1.33,-,2.52,2.23,1.55,Upgrade
21,Return on Equity (ROE),10.16%,9.84%,5.38%,14.62%,20.45%,15.35%,-,-,40.23%,-,90.82%,71.75%,60.24%,70.50%,33.31%,-,75.56%,38.09%,53.62%,-,Upgrade,
22,Return on Assets (ROA),2.83%,9.69%,3.03%,7.02%,11.83%,6.88%,-,-,23.48%,-,-,25.93%,31.33%,33.51%,12.88%,-,-,20.31%,21.56%,-,Upgrade,
23,Return on Capital (ROIC),3.65%,11.93%,4.04%,8.83%,13.49%,7.86%,-,-,29.03%,-,42.97%,41.47%,48.14%,42.90%,17.44%,-,53.78%,29.32%,35.05%,-,Upgrade,
24,Return on Capital Employed (ROCE),15.49%,15.42%,17.17%,15.90%,36.96%,41.89%,46.61%,63.01%,-,62.21%,64.47%,-,63.73%,67.30%,56.55%,54.04%,59.73%,-,40.69%,56.52%,56.68%,Upgrade
25,Earnings Yield,3.09%,3.54%,4.31%,4.54%,8.39%,13.70%,14.46%,20.50%,19.10%,19.19%,16.19%,15.12%,13.20%,12.72%,14.11%,14.97%,15.15%,19.66%,17.28%,23.17%,19.85%,Upgrade
