,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,1075,1138,1159,1304,1161,1394,1609,1881,1904,1836,2540,Upgrade
1,Market Cap Growth,1.69%,-12.71%,-0.16%,-6.42%,-27.85%,-25.91%,-15.49%,2.47%,-25.03%,-20.20%,18.57%,Upgrade
2,Enterprise Value,635,758,815,923,802,1056,1256,1529,1561,1471,2075,Upgrade
3,Last Close Price,0.52,0.54,0.52,0.57,0.48,0.56,0.62,0.71,0.68,0.63,0.85,Upgrade
4,PE Ratio,-,-,-,-22.38,-,-,-32.56,-,-,-,6.09,Upgrade
5,PS Ratio,0.98,0.83,0.91,1.70,1.61,1.53,1.87,2.87,3.55,3.40,4.08,Upgrade
6,PB Ratio,0.21,0.19,0.19,0.21,0.19,0.22,0.25,0.29,0.29,0.27,0.36,Upgrade
7,P/TBV Ratio,0.24,0.22,0.21,0.23,0.21,0.24,0.27,0.32,0.32,0.29,0.38,Upgrade
8,P/FCF Ratio,-,3.88,6.80,12.79,5.59,6.75,9.62,10.59,20.38,38.42,10.52,Upgrade
9,P/OCF Ratio,-,3.78,6.71,13.28,5.50,6.24,9.15,11.21,19.54,21.45,9.62,Upgrade
10,EV/Sales Ratio,0.58,0.55,0.64,1.20,1.11,1.16,1.46,2.34,2.91,2.72,3.33,Upgrade
11,EV/EBITDA Ratio,2.92,2.19,2.44,4.69,4.38,4.57,5.48,7.22,10.09,9.89,11.49,Upgrade
12,EV/EBIT Ratio,3.05,2.25,2.51,4.94,4.62,4.77,5.76,7.70,11.04,10.99,12.67,Upgrade
13,EV/FCF Ratio,-,2.59,4.78,9.05,3.86,5.11,7.51,8.61,16.70,30.79,8.59,Upgrade
14,Debt / Equity Ratio,0.03,0.03,0.04,0.06,0.06,0.12,0.12,0.13,0.11,0.11,0.11,Upgrade
15,Debt / FCF Ratio,-,0.64,1.39,3.33,1.68,3.68,4.78,4.55,7.94,15.72,3.17,Upgrade
16,Return on Capital Employed (ROCE),3.69%,5.72%,5.30%,3.02%,2.75%,3.41%,3.27%,2.97%,2.09%,1.91%,2.22%,Upgrade
17,Earnings Yield,-35.55%,-21.60%,0.89%,-4.47%,-18.33%,-3.09%,-3.07%,-16.36%,-26.66%,-1.30%,16.41%,Upgrade
18,FCF Yield,25.74%,14.71%,7.82%,17.90%,14.82%,10.40%,9.44%,4.91%,2.60%,9.51%,Upgrade,
19,Dividend Yield,8.65%,5.61%,5.81%,5.29%,6.23%,5.33%,4.84%,6.32%,6.67%,4.74%,3.54%,Upgrade
20,Buyback Yield / Dilution,0.10%,0.08%,0.30%,0.44%,0.66%,0.46%,0.54%,1.11%,-1.94%,-2.47%,-0.99%,Upgrade
21,Total Shareholder Return,8.76%,5.69%,6.11%,5.73%,6.89%,5.79%,5.38%,7.43%,4.72%,2.27%,2.56%,Upgrade
