,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,199.72,286.75,257.53,289.51,343.64,342.31,304.18,275.29,281.58,292.3,248.32,186.91,235.21,154.98,154.98
1,Other Revenue,-2.36,2.36,-,5.36,-2.98,2.98,-,2.15,-0.5,0.5,-,3.79,-3.61,1.81,1.81
2,Revenue,197.36,289.11,257.53,294.87,340.66,345.29,304.18,277.44,281.08,292.8,248.32,190.7,231.6,156.79,156.79
3,Revenue Growth (YoY),-42.07%,-16.27%,-15.33%,6.28%,21.20%,17.93%,22.49%,45.49%,21.36%,86.75%,58.38%,-,-,-,-
4,Cost of Revenue,161.47,233.33,206.15,221.96,249.6,277.47,241.29,224.62,217.2,249.06,208.11,160.28,188.13,126.16,126.16
5,Gross Profit,35.89,55.78,51.38,72.91,91.06,67.83,62.89,52.82,63.89,43.74,40.21,30.42,43.47,30.62,30.62
6,"Selling, General & Admin",7.96,8.57,8.34,17.27,6.11,9.48,6.99,12.44,8.1,4.39,4.3,11.53,5.75,6.11,6.11
7,Research & Development,9.43,12.21,10.35,21.98,13.66,11.63,10.12,8.48,10.18,9.89,8.96,4.57,8.23,7.67,7.67
8,Other Operating Expenses,-1.91,0.83,-4.46,1.29,0.06,0.8,1.23,3.37,0.84,-1.13,0.5,2.24,0.79,-0.48,-0.48
9,Operating Expenses,21.65,25.16,12.39,39.49,18.03,24.4,19.54,27.25,19.11,11.96,14.95,21.71,14.77,13.3,13.3
10,Operating Income,14.24,30.62,38.99,33.42,73.03,43.43,43.35,25.57,44.78,31.79,25.26,8.7,28.7,17.33,17.33
11,Interest Expense,-,-,-0.04,-1.25,-,-,-,-4.33,-,-,-0.62,-,-0.9,-0.07,-0.07
12,Interest & Investment Income,4.29,5.81,5.08,-,8.24,3.48,1.81,-,6.35,0.89,0.46,1.14,0.22,0.72,0.72
13,Currency Exchange Gain (Loss),-2.68,2.68,-,5.9,-9.4,9.4,-,5.16,-2.92,2.92,-,-0.99,0.69,-0.35,-0.35
14,Other Non Operating Income (Expenses),1.7,-2.85,2.41,-1.19,7.33,0.85,-1.78,-0.94,0.53,-0.5,0.01,-0.14,-0.37,-0.18,-0.18
15,EBT Excluding Unusual Items,17.54,36.26,46.45,36.89,79.2,57.17,43.38,25.46,48.73,35.1,25.12,8.72,28.33,17.45,17.45
16,Gain (Loss) on Sale of Investments,-0.34,-0.12,0.12,0.33,-1.63,-0.44,0.65,0.63,2.63,-1.78,-0.85,0.85,0.06,-0.45,-0.45
17,Gain (Loss) on Sale of Assets,0.56,-0,-,0,0,0.57,0.21,0.22,0.01,-,-,-0.01,0.62,-0.31,-0.31
18,Asset Writedown,-2.4,-0.06,0.06,6.68,-6.66,-0.53,0.5,7.15,-7.15,0,-,3.94,-4.63,-,-
19,Other Unusual Items,0.99,-0.99,-0,1.08,-1.63,1.63,-,0.35,2.55,-2.55,-,0.23,0.54,-0.27,-0.27
20,Pretax Income,16.35,35.09,46.63,44.98,69.28,58.4,44.74,33.8,46.77,30.77,24.27,13.73,24.92,16.42,16.42
21,Income Tax Expense,-2.74,5.06,6.76,-2.09,10.35,9.27,6.25,2.62,6.58,4.58,3.4,-2.61,4.21,2.52,2.52
22,Net Income,19.09,30.03,39.87,47.07,58.93,49.12,38.49,31.18,40.19,26.19,20.87,16.33,20.71,13.9,13.9
23,Net Income to Common,19.09,30.03,39.87,47.07,58.93,49.12,38.49,31.18,40.19,26.19,20.87,16.33,20.71,13.9,13.9
24,Net Income Growth,-67.60%,-38.87%,3.60%,50.94%,46.64%,87.56%,84.41%,90.92%,94.07%,88.36%,50.09%,-,-,-,-
25,Shares Outstanding (Basic),83,83,83,83,83,84,83,6,42,103,62,62,63,62,62
26,Shares Outstanding (Diluted),83,83,83,83,83,84,83,6,42,103,62,62,63,62,62
27,Shares Change (YoY),0.21%,-0.68%,0.16%,1180.50%,98.32%,-18.55%,33.35%,-89.65%,-33.33%,64.83%,0.11%,-,-,-,-
28,EPS (Basic),0.23,0.36,0.48,0.57,0.71,0.59,0.46,4.82,0.96,0.25,0.33,0.26,0.33,0.22,0.22
29,EPS (Diluted),0.23,0.36,0.48,0.57,0.71,0.59,0.46,4.82,0.96,0.25,0.33,0.26,0.33,0.22,0.22
30,EPS Growth,-67.67%,-38.45%,3.44%,-88.21%,-26.06%,130.27%,38.30%,1744.01%,191.07%,14.27%,49.93%,-,-,-,-
31,Free Cash Flow,-69.04,-25.55,109.66,47.39,64.19,74.8,-36.52,68.38,5.9,10.53,-36.95,44.96,-12.78,-18.48,-18.48
32,Free Cash Flow Per Share,-0.83,-0.31,1.32,0.57,0.77,0.89,-0.44,10.58,0.14,0.10,-0.59,0.72,-0.20,-0.30,-0.30
33,Dividend Per Share,-,-,-,0.300,-,-,-,0.154,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,95.06%,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,18.19%,19.29%,19.95%,24.73%,26.73%,19.64%,20.67%,19.04%,22.73%,14.94%,16.19%,15.95%,18.77%,19.53%,19.53%
36,Operating Margin,7.21%,10.59%,15.14%,11.34%,21.44%,12.58%,14.25%,9.22%,15.93%,10.86%,10.17%,4.56%,12.39%,11.05%,11.05%
37,Profit Margin,9.67%,10.39%,15.48%,15.96%,17.30%,14.23%,12.65%,11.24%,14.30%,8.94%,8.40%,8.57%,8.94%,8.87%,8.87%
38,Free Cash Flow Margin,-34.98%,-8.84%,42.58%,16.07%,18.84%,21.66%,-12.01%,24.65%,2.10%,3.60%,-14.88%,23.58%,-5.52%,-11.79%,-11.79%
39,EBITDA,17.14,33.85,41.9,36.33,75.5,46.26,45.82,28.04,46.65,33.7,27.13,10.58,30.36,18.98,18.98
40,EBITDA Margin,8.69%,11.71%,16.27%,12.32%,22.16%,13.40%,15.06%,10.11%,16.60%,11.51%,10.93%,5.55%,13.11%,12.11%,12.11%
41,D&A For EBITDA,2.91,3.23,2.91,2.91,2.47,2.83,2.47,2.47,1.87,1.92,1.87,1.87,1.66,1.66,1.66
42,EBIT,14.24,30.62,38.99,33.42,73.03,43.43,43.35,25.57,44.78,31.79,25.26,8.7,28.7,17.33,17.33
43,EBIT Margin,7.21%,10.59%,15.14%,11.34%,21.44%,12.58%,14.25%,9.22%,15.93%,10.86%,10.17%,4.56%,12.39%,11.05%,11.05%
44,Effective Tax Rate,-,14.42%,14.50%,-,14.94%,15.88%,13.98%,7.75%,14.07%,14.89%,14.01%,-,16.89%,15.33%,15.33%
45,Revenue as Reported,197.36,289.11,257.53,294.87,340.66,345.29,304.18,277.44,281.08,292.8,248.32,190.7,231.6,156.79,156.79
