,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,107.16,284.71,290.86,357.36,274.65,218.48,208.58,180.06,369.39,68.58,-,80.57,-,53.45,53.45
1,Short-Term Investments,-,25.97,-,101.35,-,80.6,-,112,-,33.21,-,-,-,-,-
2,Trading Asset Securities,90.04,178.38,126.12,130.38,106.05,241.68,216.18,350.48,-,-,-,0.85,-,-,-
3,Cash & Short-Term Investments,197.2,489.06,416.98,589.09,380.7,540.77,424.76,642.54,369.39,101.79,81.42,81.42,-,53.45,53.45
4,Cash Growth,-48.20%,-9.56%,-1.83%,-8.32%,3.06%,431.27%,421.67%,689.14%,-,90.45%,52.34%,-,-,-,-
5,Accounts Receivable,531.38,507.85,494.73,580.46,602.1,635.1,621.43,601.73,631.08,605.83,-,468,-,406.05,406.05
6,Other Receivables,1.63,8.93,1.61,3.55,6.59,3.61,5.31,4.54,1.64,2.86,-,1.96,-,0.17,0.17
7,Receivables,533.01,516.79,496.33,584.01,608.69,638.71,626.74,606.27,632.72,608.68,-,469.96,-,406.22,406.22
8,Inventory,105.48,131.05,117.1,121.14,133.73,119.12,138.93,126.68,137.44,135.31,-,126.82,-,110.41,110.41
9,Other Current Assets,84.91,6.22,223.15,4.06,192.65,14.5,202.36,11.63,211.11,5.43,-,1.51,-,9.04,9.04
10,Total Current Assets,920.6,1143,1254,1298,1316,1313,1393,1387,1351,851.21,-,679.71,-,579.12,579.12
11,"Property, Plant & Equipment",247.95,203.23,141.24,130.21,100.6,94.77,80.28,81.38,61.22,60.34,-,60.14,-,48.06,48.06
12,Long-Term Investments,-,388.72,-,219.21,-,150.83,-,-,-,-,-,32.58,-,31.94,31.94
13,Other Intangible Assets,22.27,22.42,22.68,22.73,22.88,12.38,12.3,12.29,11.93,12.31,-,12.17,-,7.79,7.79
14,Long-Term Accounts Receivable,-,0.37,-,-,-,0.25,-,-,-,3.44,-,-,-,-,-
15,Long-Term Deferred Tax Assets,9.36,9.1,7.68,8.12,6.29,7.23,5.83,6.59,4.45,5.98,-,5.31,-,3.49,3.49
16,Long-Term Deferred Charges,0.52,1.22,1.33,1.51,1.66,1.71,1.2,1.22,0.75,0.9,-,1,-,0.9,0.9
17,Other Long-Term Assets,553.42,10.72,305.07,3.03,207.61,5.37,7.43,1.66,4.8,-,-,0.15,-,8.55,8.55
18,Total Assets,1754,1779,1732,1683,1655,1586,1500,1490,1434,934.16,-,791.06,-,679.84,679.84
19,Accounts Payable,373.43,414.9,370.65,347.61,350.22,350.51,322.15,354.66,358.87,401.32,-,308.07,-,248.23,248.23
20,Accrued Expenses,20.88,22.75,21.39,22.81,10.81,15.74,10.19,12.75,3.89,7.94,-,6.98,-,5.4,5.4
21,Short-Term Debt,-,-,-,-,-,-,-,-,75.69,76.42,-,12.71,-,66.01,66.01
22,Current Portion of Leases,0.28,3.17,3.42,3.34,2.68,1.71,2.63,2.61,-,-,-,-,-,-,-
23,Current Income Taxes Payable,0.8,6.03,2.45,1.71,14.4,10.54,6.61,5.31,9.22,5.67,-,2.73,-,1.75,1.75
24,Current Unearned Revenue,4.27,7.6,5,6.03,7.25,12.15,8.05,5.26,9.72,5.72,-,3.01,-,4.74,4.74
