,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2979,3360,2710,3336,4854,4286,5408,5580,7050,5536,-,-,-,-,-,-
1,Market Cap Growth,-21.61%,-21.61%,-49.90%,-40.21%,-31.15%,-22.59%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2782,2875,2297,2961,4478,3750,4990,5286,6756,5511,-,-,-,-,-,-
3,Last Close Price,35.74,40.32,32.52,39.71,57.78,51.09,64.47,66.34,83.82,65.82,-,-,-,-,-,-
4,PE Ratio,21.81,24.69,15.40,17.11,25.07,24.11,34.02,41.01,59.52,53.45,-,-,-,-,-,-
5,Forward PE,-,10.04,10.04,12.24,19.38,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,2.86,3.23,2.29,2.69,3.78,3.38,4.48,4.83,6.41,5.47,-,-,-,-,-,-
7,PB Ratio,2.37,2.68,2.20,2.72,4.09,3.75,5.00,5.35,7.02,5.68,-,-,-,-,-,-
8,P/TBV Ratio,2.73,2.73,2.24,2.77,4.17,3.83,5.06,5.41,7.11,5.75,-,-,-,-,-,-
9,P/FCF Ratio,47.71,-,-,11.27,32.39,25.09,48.05,-,147.29,226.43,-,-,-,-,-,-
10,P/OCF Ratio,15.22,-,7.89,8.75,22.13,18.89,33.74,-,94.69,111.83,-,-,-,-,-,-
11,EV/Sales Ratio,2.68,2.77,1.94,2.39,3.49,2.96,4.13,4.57,6.14,5.44,-,-,-,-,-,-
12,EV/EBITDA Ratio,21.29,22.25,12.25,14.81,21.96,19.17,29.92,34.28,49.85,46.68,-,-,-,-,-,-
13,EV/EBIT Ratio,24.24,24.51,13.05,15.68,23.18,20.23,31.76,36.33,53.03,49.86,-,-,-,-,-,-
14,EV/FCF Ratio,44.56,-,-,10.00,29.89,21.95,44.33,-,141.15,225.40,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.08,0.17,0.03,0.03,-,0.19,0.19
16,Debt / EBITDA Ratio,0.00,0.00,0.03,0.03,0.03,0.02,0.03,0.04,0.06,0.41,0.57,0.12,0.30,-,0.87,0.87
17,Debt / FCF Ratio,0.00,-,-,0.01,0.04,0.03,0.05,-,0.15,3.10,13.25,-,-2.66,-,-,-
18,Asset Turnover,0.45,0.66,0.60,0.71,0.84,0.90,0.81,0.76,0.95,-,-,-,-,0.92,-,
19,Inventory Turnover,6.88,5.46,7.52,6.92,6.97,7.90,8.60,7.27,6.80,6.37,-,-,-,-,4.57,-
20,Quick Ratio,1.46,1.46,1.85,1.82,2.38,1.95,2.36,2.33,2.61,2.18,1.43,-,1.37,-,1.41,1.41
21,Current Ratio,1.85,1.85,2.11,2.50,2.64,2.59,2.63,3.08,2.90,2.94,1.71,-,1.69,-,1.77,1.77
22,Return on Equity (ROE),6.14%,9.76%,13.21%,16.16%,21.20%,18.51%,15.04%,12.60%,22.77%,25.39%,21.48%,-,-,15.81%,-,
23,Return on Assets (ROA),2.01%,4.36%,5.71%,5.01%,11.27%,7.04%,7.25%,4.37%,9.45%,-,-,-,-,6.37%,-,
24,Return on Capital (ROIC),2.86%,6.20%,8.04%,7.14%,16.34%,10.17%,10.52%,6.20%,14.32%,17.38%,15.74%,-,-,10.34%,-,
25,Return on Capital Employed (ROCE),9.14%,9.34%,14.24%,15.35%,16.23%,16.17%,14.46%,13.88%,12.60%,11.33%,21.63%,-,18.54%,-,9.82%,4.91%
26,Earnings Yield,4.57%,4.05%,6.49%,5.84%,3.99%,4.15%,2.94%,2.44%,1.68%,1.87%,-,-,-,-,-,-
27,FCF Yield,2.10%,1.86%,7.22%,8.87%,3.09%,3.99%,2.08%,0.87%,0.68%,0.44%,-,-,-,-,-,-
28,Dividend Yield,0.83%,-,-,-,0.52%,-,-,-,0.18%,-,-,-,-,-,-,-
29,Payout Ratio,18.37%,-,83.24%,-,-,-,26.06%,-,0.00%,0.50%,-,-,0.88%,0.48%,-,-
30,Buyback Yield / Dilution,-29.61%,-0.21%,0.68%,-0.16%,-1180.50%,-98.32%,18.55%,-33.35%,89.65%,33.33%,-64.83%,-0.11%,-,-,-,-
31,Total Shareholder Return,-28.78%,-0.21%,0.68%,-0.16%,-1179.98%,-98.32%,18.55%,-33.35%,89.83%,33.33%,-64.83%,-0.11%,-,-,-,-
