,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,739,575,1801,1415,1975,5039,5362,3415,1617,718,359,Upgrade
1,Market Cap Growth,-59.34%,-59.34%,-8.82%,-71.91%,-63.17%,47.54%,231.62%,375.64%,350.40%,22.55%,-43.44%,Upgrade
2,Enterprise Value,1033,865,2049,1632,2133,5200,5407,3541,1711,804,380,Upgrade
3,Last Close Price,1.98,1.85,5.79,4.55,6.35,16.20,17.24,10.98,5.63,2.50,1.25,Upgrade
4,PS Ratio,10.29,9.62,24.82,13.14,14.84,32.39,33.28,19.14,8.68,3.74,1.54,Upgrade
5,PB Ratio,-2.06,-2.06,-7.12,-7.84,-15.39,-55.00,-431.02,90.90,-35.78,-33.65,21.95,Upgrade
6,P/TBV Ratio,-,-,-,-,-,-,-,-,-,-,478.32,Upgrade
7,P/FCF Ratio,-,-,-,-,-,-98.52,-,-,-,-23.68,-,Upgrade
8,P/OCF Ratio,-,-,-,-,-,-316.06,-,-,-,-25.87,-,Upgrade
9,EV/Sales Ratio,17.27,14.46,28.24,15.15,16.03,33.42,33.56,19.84,9.18,4.18,1.63,Upgrade
10,EV/FCF Ratio,-26.86,-,-,-,-,-101.67,-,-,-,-26.50,-,Upgrade
11,Debt / Equity Ratio,-1.12,-1.12,-1.21,-1.59,-2.20,-2.71,-17.16,5.19,-4.17,-6.30,9.07,Upgrade
12,Debt / FCF Ratio,-,-,-,-,-,-4.86,-,-,-,-4.44,-,Upgrade
13,Earnings Yield,-15.54%,-19.95%,-7.09%,-7.88%,-9.16%,-3.44%,-1.85%,-2.21%,-4.96%,-11.08%,-21.71%,Upgrade
14,FCF Yield,-5.20%,-6.68%,-2.87%,-3.26%,-1.38%,-1.02%,-1.67%,-1.31%,-0.45%,-4.22%,-9.67%,Upgrade
15,Buyback Yield / Dilution,-,-,-,-5.13%,-0.24%,-3.01%,-8.03%,-,-,-,Upgrade,
16,Total Shareholder Return,-,-,-,-5.13%,-0.24%,-3.01%,-8.03%,-,-,-,Upgrade,
