,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Market Capitalization,399,397,424,497,724,764,1019,1223,1508,1302,571,Upgrade
1,Market Cap Growth,-20.08%,-20.08%,-41.41%,-34.93%,-29.00%,-37.50%,-32.43%,-6.04%,164.10%,101.00%,-32.70%,Upgrade
2,Enterprise Value,9762,9515,9171,9189,9184,8894,9060,8652,8674,7794,8299,Upgrade
3,Last Close Price,0.20,0.20,0.21,0.24,0.35,0.38,0.50,0.60,0.74,0.82,1.41,Upgrade
4,Forward PE,-,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,Upgrade
5,PS Ratio,0.44,0.44,0.46,0.61,0.98,1.36,1.94,2.62,3.33,0.71,0.24,Upgrade
6,PB Ratio,6.02,6.02,17.66,0.73,0.73,0.63,0.61,0.48,0.50,0.39,0.15,Upgrade
7,P/TBV Ratio,-,-,-,0.91,0.84,0.71,0.66,0.51,0.53,0.41,0.16,Upgrade
8,P/FCF Ratio,-,-,-,2.91,-7.46,-,-5.96,-,-,-,-1.50,Upgrade
9,P/OCF Ratio,-,-,-,2.03,-26.80,-,13.96,-,-,-,0.52,Upgrade
10,EV/Sales Ratio,10.84,10.56,10.02,11.18,12.38,15.85,17.22,18.53,19.15,4.23,3.44,Upgrade
11,EV/EBITDA Ratio,84.16,-,74.56,158.44,306.12,-,-,-,-,-,-,Upgrade
12,EV/EBIT Ratio,-,-,-482.68,-,-,-,-,-,-,-,-,Upgrade
13,EV/FCF Ratio,-,-,-,53.74,-94.68,-,-52.98,-,-,-,-21.78,Upgrade
14,Debt / Equity Ratio,149.83,149.83,397.04,13.90,9.03,7.43,5.30,4.47,3.80,2.46,2.23,Upgrade
15,Debt / FCF Ratio,-,-,-,55.43,-92.69,-,-52.09,-,-,-,-21.61,Upgrade
16,Return on Capital Employed (ROCE),-,-,-0.21%,-,-,-,-,-,-,-,-,Upgrade
17,Earnings Yield,-57.57%,-57.87%,-93.88%,-93.70%,-66.75%,-78.24%,-73.00%,-67.46%,-60.53%,-57.55%,-68.64%,Upgrade
18,FCF Yield,-,14.15%,34.38%,-13.41%,5.89%,-16.78%,-53.48%,-53.04%,34.34%,-66.71%,Upgrade,
19,Buyback Yield / Dilution,-,-,-,-,0.08%,-10.24%,26.42%,-359.71%,-589.31%,-,Upgrade,
20,Total Shareholder Return,-,-,-,-,0.08%,-10.24%,26.42%,-359.71%,-589.31%,-,Upgrade,
