,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,1439,976.9,1119,1149,680.7,213.34,-
1,Short-Term Investments,145.77,112.28,133.54,90.27,245.94,367.02,-
2,Cash & Short-Term Investments,1585,1089,1253,1239,926.64,580.36,-
3,Cash Growth,26.54%,-12.11%,35.19%,113.53%,-,-,-
4,Accounts Receivable,811.38,855.39,861.48,900.66,808.47,467.51,-
5,Other Receivables,-8.71,8.58,-9.13,1.49,5.15,8.13,-
6,Receivables,5788,5579,5278,4973,6041,6556,-
7,Inventory,46.19,134.24,92.77,266.42,142.01,250.18,-
8,Restricted Cash,51.91,46.34,13.6,16.16,35.97,84.82,-
9,Other Current Assets,135.66,171.51,275.61,403.06,431.55,177.58,-
10,Total Current Assets,7607,7020,6913,6898,7577,7649,-
11,"Property, Plant & Equipment",137.24,146.49,137.64,147.06,160.25,155.33,-
12,Long-Term Investments,7.32,9.64,6.95,9.16,6.6,9.62,-
13,Other Intangible Assets,56.38,52,37.58,32.55,29.05,22.86,-
14,Long-Term Deferred Tax Assets,159.57,160.4,157.42,152.3,149.67,135.7,-
15,Other Long-Term Assets,7.63,7.77,7.9,19.16,15.57,111.15,-
16,Total Assets,10103,9205,8766,9173,9500,10188,-
17,Accounts Payable,745.03,654.41,523.89,369.89,329.14,643.89,-
18,Accrued Expenses,47.49,64.76,47.98,60.8,40.08,60.35,-
19,Short-Term Debt,2445,1990,1038,981.43,1483,1535,-
20,Current Portion of Long-Term Debt,2026,2076,2962,2616,3000,3218,-
21,Current Portion of Leases,11.25,17.84,17.29,18.61,23.74,24.73,-
22,Current Income Taxes Payable,15.37,16.16,19.57,11.97,21.45,46.89,-
23,Current Unearned Revenue,44.56,58.54,79.38,127.28,104.94,128.27,-
24,Other Current Liabilities,250.12,272.2,342.64,403.74,483.24,488.61,-
25,Total Current Liabilities,5584,5150,5031,4590,5486,6145,-
26,Long-Term Debt,1001,550.69,200.52,1027,1361,1142,-
27,Long-Term Leases,6.51,9.95,13.18,23.14,24.3,23.41,-
28,Long-Term Unearned Revenue,25.42,24.72,44.3,35.31,32.29,42.11,-
29,Other Long-Term Liabilities,169.07,150.17,128.01,162.12,232.03,385.75,-
30,Total Liabilities,6786,5886,5417,5837,7136,7738,-
31,Common Stock,2181,2236,2236,2236,1629,1629,-
32,Additional Paid-In Capital,-,736.86,-,736.86,-,475.11,-
33,Retained Earnings,360.75,417.86,311.89,365.55,211.13,340.27,-
34,Treasury Stock,-,-70.56,-,-,-,-,-
35,Comprehensive Income & Other,775.44,-,803.35,-,518.05,-,-
36,Total Common Equity,3318,3320,3351,3338,2358,2444,-
37,Minority Interest,-0.24,-0.91,-2.76,-2.91,6.16,5.37,-
38,Shareholders' Equity,3317,3319,3349,3336,2364,2450,-
39,Total Liabilities & Equity,10103,9205,8766,9173,9500,10188,-
40,Total Debt,5489,4645,4231,4666,5893,5942,-
41,Net Cash (Debt),-3904,-3555,-2979,-3427,-4966,-5362,-
42,Net Cash Per Share,-1.79,-1.61,-1.33,-2.17,-2.22,-5.25,-
43,Filing Date Shares Outstanding,2181,2197,2236,2236,2236,1629,2236
44,Total Common Shares Outstanding,2181,2197,2236,2236,1629,1629,2236
45,Working Capital,2022,1870,1882,2308,2091,1504,-
46,Book Value Per Share,1.52,1.51,1.50,1.49,1.45,1.50,-
47,Tangible Book Value,3261,3268,3314,3306,2329,2422,-
48,Tangible Book Value Per Share,1.49,1.49,1.48,1.48,1.43,1.49,-
49,Buildings,64.54,64.54,64.57,64.57,64.57,64.57,-
50,Machinery,113.11,101.58,97.1,95.45,95.57,98.12,-
51,Construction In Progress,4.35,5.84,14.85,12.52,8.55,0.61,-
52,Leasehold Improvements,61.2,57.08,29.32,25.15,11.26,14.32,-
