,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,1296,1601,1518,1299,1430,1255,1872
1,Revenue Growth (YoY),-14.65%,23.32%,6.18%,3.45%,-23.61%,-,-
2,Cost of Revenue,1074,1405,1263,1147,1138,1095,1443
3,Gross Profit,221.94,196.29,255.19,152,291.52,159.75,428.49
4,"Selling, General & Admin",73.43,100.74,77.43,102.34,70.91,94.08,77.46
5,Research & Development,15.08,14.56,15.12,20.67,15.15,13.17,12.03
6,Other Operating Expenses,-10.26,-41,14.07,-110.52,42.43,-113.75,69.59
7,Operating Expenses,78.25,123.44,106.61,26.67,128.49,-9.67,159.08
8,Operating Income,143.69,72.85,148.58,125.33,163.04,169.42,269.42
9,Interest Expense,-14.87,-17.69,-22.75,-11.44,-19.78,-2.24,-4.11
10,Interest & Investment Income,16.17,16.53,12.97,11.36,5.29,5.8,6.5
11,Earnings From Equity Investments,2.82,2.69,2.45,2.56,2.1,1.82,3.31
12,Currency Exchange Gain (Loss),-0.06,-2.87,-,14.88,-0.38,-,-0.18
13,Other Non Operating Income (Expenses),-,-3.48,-,-14.14,-,-5.16,-
14,EBT Excluding Unusual Items,147.75,68.03,141.25,128.55,150.26,169.63,274.93
15,Gain (Loss) on Sale of Assets,-,-0.17,-,-0.03,-,0.04,-
16,Pretax Income,147.75,67.85,141.25,128.52,150.26,169.67,274.93
17,Income Tax Expense,32.15,26.52,31.33,26.14,32.6,25.72,50.13
18,Earnings From Continuing Operations,115.6,41.33,109.92,102.38,117.66,143.95,224.79
19,Minority Interest in Earnings,-0.68,-1.85,-0.14,9.11,-2.73,-3.87,-2.15
20,Net Income,114.93,39.48,109.78,111.49,114.93,140.08,222.64
21,Net Income to Common,114.93,39.48,109.78,111.49,114.93,140.08,222.64
22,Net Income Growth,4.69%,-64.59%,-4.48%,-20.41%,-48.38%,-,-
23,Shares Outstanding (Basic),2182,2206,2236,1578,2236,1022,2236
24,Shares Outstanding (Diluted),2182,2206,2236,1578,2236,1022,2236
25,Shares Change (YoY),-2.41%,39.82%,-,54.37%,-,-,-
26,EPS (Basic),0.05,0.02,0.05,0.07,0.05,0.14,0.10
27,EPS (Diluted),0.05,0.02,0.05,0.07,0.05,0.14,0.10
28,EPS Growth,7.28%,-74.67%,-4.48%,-48.44%,-48.38%,-,-
29,Free Cash Flow,-31.47,36.73,167.87,-450.43,270.35,-520.19,24.57
30,Free Cash Flow Per Share,-0.01,0.02,0.08,-0.29,0.12,-0.51,0.01
31,Operating Margin,11.09%,4.55%,9.79%,9.65%,11.40%,13.50%,14.39%
32,Profit Margin,8.87%,2.47%,7.23%,8.59%,8.04%,11.16%,11.90%
33,Free Cash Flow Margin,-2.43%,2.29%,11.06%,-34.69%,18.91%,-41.44%,1.31%
34,EBITDA,159.47,84.8,157.52,134.9,172.2,177.9,279.11
35,D&A For EBITDA,15.78,11.95,8.94,9.57,9.16,8.48,9.69
36,EBIT,143.69,72.85,148.58,125.33,163.04,169.42,269.42
