,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jan '25 Jan 2, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,3272,3599,4395,3891,2147,-,-,-
1,Market Cap Growth,-7.49%,-7.49%,104.73%,-,-,-,-,-
2,Enterprise Value,7467,7515,7610,7761,7971,-,-,-
3,Last Close Price,1.50,1.65,1.94,1.69,0.89,-,-,-
4,PE Ratio,19.84,21.69,26.73,16.27,8.39,-,-,-
5,PS Ratio,1.06,1.16,1.28,1.28,0.70,-,-,-
6,PB Ratio,0.92,1.01,1.20,1.08,0.57,-,-,-
7,P/TBV Ratio,1.03,1.03,1.22,1.09,0.57,-,-,-
8,P/FCF Ratio,578.07,-,19.50,-12.74,-,-,-,-
9,P/OCF Ratio,44.71,-,14.92,-14.50,-,-,-,-
10,EV/Sales Ratio,2.40,2.41,2.21,2.55,2.58,-,-,-
11,EV/EBITDA Ratio,25.91,28.63,28.51,24.56,22.96,-,-,-
12,EV/EBIT Ratio,31.29,32.30,31.20,26.22,24.45,-,-,-
13,EV/FCF Ratio,1319.07,-,33.76,-25.42,-,-,-,-
14,Debt / Equity Ratio,1.65,1.65,1.40,1.26,1.40,2.49,2.43,-
15,Debt / FCF Ratio,1041.94,-,22.70,-14.98,-,-23.59,-,-
16,Return on Capital Employed (ROCE),4.79%,4.79%,5.46%,7.33%,6.29%,8.28%,10.85%,-
17,Earnings Yield,5.07%,4.61%,3.74%,6.14%,11.92%,-,-,-
18,FCF Yield,0.17%,0.16%,5.13%,-7.85%,-9.48%,-,-,-
19,Buyback Yield / Dilution,-15.06%,2.41%,-39.82%,-,-54.37%,-,-,-
20,Total Shareholder Return,-12.08%,2.41%,-39.82%,-,-54.37%,-,-,-
