,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,192,209,167,174,391,228,197,237,135,114,206
1,Market Cap Growth,20.00%,20.00%,-57.33%,-23.61%,98.49%,-3.69%,46.40%,107.87%,-34.78%,-52.96%,-42.50%
2,Enterprise Value,200,194,152,231,432,233,203,284,181,134,245
3,Last Close Price,0.11,0.12,0.11,0.12,0.31,0.18,0.18,0.22,0.15,0.13,0.23
4,PE Ratio,-,-9.73,-,-,-,-,-,-,-,-,-
5,Forward PE,-,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13
6,PS Ratio,0.46,0.59,0.43,0.49,1.15,0.65,0.66,0.82,0.44,0.39,0.58
7,PB Ratio,0.44,0.45,0.37,0.38,0.87,0.52,0.44,0.53,0.32,0.28,0.44
8,P/TBV Ratio,0.49,0.49,0.41,0.42,0.96,0.54,0.46,0.53,0.32,0.28,0.44
9,P/FCF Ratio,-,-,-,3.95,-9.93,-,16.38,-,-5.08,-,-9.51
10,P/OCF Ratio,26.67,-,2.81,2.00,66.11,-,7.37,26.44,-6.00,-,4.76
11,PEG Ratio,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
12,EV/Sales Ratio,0.56,0.55,0.39,0.65,1.27,0.66,0.68,0.98,0.60,0.45,0.69
13,EV/EBITDA Ratio,11.40,11.22,6.28,7.04,15.88,19.08,-,7.89,4.89,3.37,4.90
14,EV/EBIT Ratio,-,-203.22,-,53.61,-,-,-,-,-,-,11.29
15,EV/FCF Ratio,-4.75,-,-,5.23,-10.96,-,16.89,-,-6.84,-,-11.31
16,Debt / Equity Ratio,0.04,0.04,0.02,0.20,0.20,0.35,0.28,0.24,0.25,0.31,0.23
17,Debt / FCF Ratio,-,-,-,2.04,-2.24,-,10.33,-,-4.00,-,-5.02
18,Return on Capital Employed (ROCE),-,-0.21%,-,0.93%,-,-,-,-,-,-,4.63%
19,Earnings Yield,-11.23%,-10.28%,-15.79%,-11.00%,-4.37%,-6.72%,-11.03%,-15.36%,-60.36%,-107.93%,-39.12%
20,FCF Yield,-21.96%,-20.10%,22.91%,25.32%,-10.07%,-11.42%,6.10%,-2.04%,-19.67%,-2.56%,-10.51%
21,Buyback Yield / Dilution,-15.17%,-12.97%,-17.63%,-29.30%,-15.05%,-18.69%,-20.16%,-1.11%,-,-,0.05%
22,Total Shareholder Return,-15.17%,-12.97%,-17.63%,-29.30%,-15.05%,-18.69%,-20.16%,-1.11%,-,-,0.05%
