,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,8834,7176,7294,11146,9485,10267,9785,12782,10627,8521,6641,6693,8281,9005,-,-,-,-,-,-
1,Market Cap Growth,-30.10%,-30.10%,-25.47%,-12.80%,-10.75%,20.48%,47.34%,90.99%,28.32%,-5.37%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,11409,9694,9543,13185,11523,12160,11383,13559,11404,9113,7136,6805,8170,9223,-,-,-,-,-,-
3,Last Close Price,23.30,18.87,19.02,29.14,24.80,26.86,25.60,33.21,27.64,22.23,17.32,17.27,21.37,23.50,-,-,-,-,-,-
4,PE Ratio,51.97,42.69,39.14,58.15,51.63,43.79,35.84,49.77,35.40,25.95,21.89,22.32,29.81,44.54,-,-,-,-,-,-
5,Forward PE,30.26,16.27,14.15,22.32,22.43,16.69,16.54,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,1.93,1.59,1.63,2.51,2.17,2.38,2.38,3.19,2.79,2.37,1.93,2.16,2.77,3.43,-,-,-,-,-,-
7,PB Ratio,3.47,2.62,2.66,4.10,3.59,3.94,3.82,5.03,4.23,3.85,3.14,3.16,4.06,4.66,-,-,-,-,-,-
8,P/TBV Ratio,3.50,3.50,3.43,5.31,4.42,4.72,4.25,5.64,4.75,4.11,3.34,3.38,4.33,5.02,-,-,-,-,-,-
9,P/FCF Ratio,-,-14.40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,13.27,13.27,11.98,15.70,18.11,28.43,29.67,-,24.05,24.83,31.15,-,46.05,50.52,-,-,-,-,-,-
11,EV/Sales Ratio,2.52,2.15,2.14,2.97,2.64,2.82,2.76,3.38,3.00,2.53,2.07,2.19,2.73,3.51,-,-,-,-,-,-
12,EV/EBITDA Ratio,21.05,19.91,20.29,32.21,29.94,25.42,25.68,30.80,25.01,18.59,13.75,13.35,16.74,25.21,-,-,-,-,-,-
13,EV/EBIT Ratio,57.64,45.93,42.85,70.87,-,39.02,40.12,44.33,34.69,24.63,17.82,17.17,21.71,36.07,-,-,-,-,-,-
14,EV/FCF Ratio,-22.90,-19.46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,1.03,1.03,1.02,0.92,0.84,0.85,0.79,0.68,0.49,0.41,0.38,0.32,0.14,0.07,0.27,0.27,0.27,-,-,-
16,Debt / EBITDA Ratio,5.23,5.18,3.78,4.92,13.83,4.60,4.11,4.23,2.32,2.65,1.69,1.44,0.42,0.31,0.88,0.94,2.05,-,-,-
17,Debt / FCF Ratio,-,-5.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Asset Turnover,0.67,0.65,0.59,0.70,0.74,0.79,0.68,0.88,0.88,1.02,0.79,1.07,1.09,-,-,-,-,-,-,
19,Inventory Turnover,5.63,5.29,4.51,4.39,6.13,6.05,6.09,5.35,6.71,6.15,6.21,4.40,6.39,7.19,-,-,-,-,-,-
20,Quick Ratio,0.35,0.35,0.33,0.32,0.35,0.40,0.46,0.49,0.58,0.41,0.50,0.49,0.58,0.72,0.57,-,0.61,-,-,-
21,Current Ratio,0.63,0.63,0.65,0.66,0.63,0.71,0.79,0.90,0.92,0.71,0.83,0.97,1.00,1.20,0.92,-,0.89,-,-,-
22,Return on Equity (ROE),4.92%,11.10%,5.62%,3.30%,8.06%,12.67%,4.65%,12.28%,16.76%,12.22%,13.99%,20.29%,15.53%,17.59%,15.18%,-,-,-,-,
23,Return on Assets (ROA),2.50%,3.55%,2.27%,-0.96%,3.39%,2.78%,3.03%,4.89%,3.20%,5.34%,6.02%,10.50%,7.39%,-,-,-,-,-,-,
24,Return on Capital (ROIC),3.25%,4.72%,3.11%,-1.31%,4.45%,3.65%,4.15%,7.03%,4.63%,7.58%,8.74%,15.69%,11.04%,11.70%,10.22%,-,-,-,-,
25,Return on Capital Employed (ROCE),4.47%,4.77%,5.12%,4.35%,-,7.92%,7.37%,8.10%,9.10%,14.80%,16.81%,17.00%,17.52%,12.75%,12.83%,-,9.37%,-,-,-
26,Earnings Yield,1.90%,2.34%,2.55%,1.72%,1.94%,2.28%,2.79%,2.01%,2.82%,3.85%,4.57%,4.48%,3.36%,2.25%,-,-,-,-,-,-
27,FCF Yield,-5.64%,-6.94%,-9.43%,-7.05%,-9.58%,-10.45%,-11.00%,-7.09%,-7.82%,-10.14%,-11.99%,-11.62%,-6.03%,-2.69%,-,-,-,-,-,-
28,Dividend Yield,0.65%,-,-,-,0.60%,-,-,-,0.65%,-,-,-,0.84%,-,-,-,-,-,-,-
29,Payout Ratio,72.72%,219.80%,20.32%,43.94%,75.31%,24.43%,98.03%,36.76%,20.82%,5.25%,120.25%,6.27%,2.96%,6.35%,5.03%,7.31%,16.35%,36.03%,-,-
30,Buyback Yield / Dilution,2.49%,5.84%,3.71%,-1.90%,1.95%,-11.33%,-2.02%,2.95%,-4.19%,6.70%,-40.08%,-33.00%,-36.07%,-33.52%,1.93%,-,-,-,-,-
31,Total Shareholder Return,3.15%,5.84%,3.71%,-1.90%,2.55%,-11.33%,-2.02%,2.95%,-3.54%,6.70%,-40.08%,-33.00%,-35.24%,-33.52%,1.93%,-,-,-,-,-
