,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,257.88,269.33,259.51,218.88,170.38,137.1,144.33,224.98,123.96,222.51,188.8,167.27,253.94,160.56,-,234.41,-,-,-
1,Trading Asset Securities,-,-,-,-,0.02,-,-,-,-,-,0.24,-,1.56,12.42,-,0.78,-,-,-
2,Cash & Short-Term Investments,257.88,269.33,259.51,218.88,170.4,137.1,144.33,224.98,123.96,222.51,189.04,167.27,255.5,172.98,235.19,235.19,-,-,-
3,Cash Growth,51.34%,96.45%,79.80%,-2.71%,37.46%,-38.38%,-23.65%,34.50%,-51.48%,28.63%,-19.62%,-28.88%,-,-,-,-,-,-,-
4,Accounts Receivable,685.87,640.1,614.54,714.83,759.66,794.89,736.72,724.62,674.09,675.33,584.36,591.57,487.65,516.63,-,418.96,-,-,-
5,Other Receivables,29.57,31.55,30.58,31.14,52.09,41.39,47.25,61.81,18.43,17.03,14.96,26.12,16.2,18.89,-,10.13,-,-,-
6,Receivables,715.44,671.65,645.13,745.97,811.75,836.27,783.97,786.43,692.52,692.36,599.32,617.69,503.85,535.53,-,429.09,-,-,-
7,Inventory,699.33,843.34,847.43,677.77,663.57,617.66,656.5,513.27,515.6,527.01,599.5,446.07,368.3,329.9,-,226.45,-,-,-
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,-,0.14,-,-,-
9,Other Current Assets,88.74,80.83,92.09,93.03,78.43,91.19,101.07,84.27,87.6,88.08,155.65,132.87,128.43,97.39,-,71.08,-,-,-
10,Total Current Assets,1761,1865,1844,1736,1724,1682,1686,1609,1420,1530,1544,1364,1256,1136,-,961.96,-,-,-
11,"Property, Plant & Equipment",4602,4542,4451,4350,4001,3726,3473,3296,2749,2327,2015,1799,1474,1377,-,1294,-,-,-
12,Long-Term Investments,32.55,32.55,28.45,28.45,28.45,25.45,22.45,16.5,15,12,6,6,3,3,-,-,-,-,-
13,Goodwill,131.74,131.74,131.74,131.74,131.74,131.74,131.74,131.74,-,-,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,556.36,478.66,483.13,364.66,302.21,126.86,142.2,141.8,138.9,123.2,138.52,124.65,137.71,123.83,-,125.4,-,-,-
15,Long-Term Deferred Tax Assets,34.41,27.81,24.2,24.63,19.21,22.16,20.13,18.52,12.42,14.14,11.05,12.95,6.18,9.03,-,6.74,-,-,-
16,Long-Term Deferred Charges,17.23,18.34,20.3,22.22,9.61,23.16,3.61,3.97,3.02,16.13,1.55,16.66,2.63,21.66,-,20.94,-,-,-
17,Other Long-Term Assets,93.23,124.28,81.48,85.4,159.92,233.64,176.68,136.33,164.44,192.36,209.13,183.13,176.73,111.23,-,35.45,-,-,-
18,Total Assets,7231,7222,7066,6744,6377,5971,5656,5354,4502,4215,3925,3506,3056,2782,-,2444,-,-,-
19,Accounts Payable,732.76,927.51,1067,973.24,753.53,718.88,696.38,763.86,787.28,726.05,583.02,641.21,584.44,578.67,-,454.67,-,-,-
20,Accrued Expenses,54.58,66.75,42.81,102.38,49.49,77.29,34.53,99.26,44.78,73.3,37.49,87.39,34.47,49.02,-,43,-,-,-
21,Short-Term Debt,1219,1220,909.62,944.49,838.86,697.55,471.8,191.41,558.2,528.71,450.28,161.65,63.97,294.6,-,310.59,-,-,-
22,Current Portion of Long-Term Debt,-,3.88,96.23,1.75,93.77,93.17,92.59,1.18,104.08,74.59,65.15,55.1,44.11,22.13,-,51.48,-,-,-
23,Current Income Taxes Payable,35.11,19,42.13,26.56,22.78,19.04,34.79,24.3,37.15,49.14,51.11,41.02,25.17,25.27,-,9.64,-,-,-
24,Current Unearned Revenue,124.14,69.37,94.11,54.42,68.77,56.46,66.34,61.04,60.59,51.21,66.13,37.48,63.38,40.36,-,34.96,-,-,-
25,Other Current Liabilities,639.49,561.75,538.31,661.92,614.43,456.52,483.65,599.94,409.12,329.39,340.25,333.87,235.23,229.62,-,175.99,-,-,-
26,Total Current Liabilities,2805,2868,2790,2765,2442,2119,1880,1741,2001,1832,1593,1358,1051,1240,-,1080,-,-,-
27,Long-Term Debt,1612,1561,1501,1276,1274,1237,1175,1044,234.98,207.59,164.6,60.4,34.4,72.4,-,4,-,-,-
28,Long-Term Leases,0.57,0.56,0.61,0.72,1.53,1.52,1.56,1.78,2.57,2.54,2.41,0.97,-,-,-,-,-,-,-
29,Long-Term Unearned Revenue,31.76,9.07,9.57,10.07,10.56,11.06,11.42,11.92,9.74,9.82,10.29,10.76,10.94,11.4,-,12.32,-,-,-
30,Long-Term Deferred Tax Liabilities,43.6,45.36,47.41,49.46,40.82,41.14,43.58,44.03,28.88,36.06,35.64,37.84,28.4,12.97,-,13.62,-,-,-
31,Other Long-Term Liabilities,-,-,0.94,0.94,-,-,0.69,1.3,13.69,13.69,-,-,-,-,-,-,-,-,-
32,Total Liabilities,4493,4484,4349,4102,3768,3410,3112,2844,2291,2102,1806,1468,1125,1336,-,1110,-,-,-
33,Common Stock,380.3,380.3,380.27,379.41,379.23,379.13,270.8,270.94,269.75,269.75,269.75,269.75,266.67,200,-,200,-,-,-
34,Additional Paid-In Capital,757.19,756.35,754.75,733.42,726.02,725.89,829.85,828.34,793.55,789.23,791.59,787.36,725.22,373.57,-,373.57,-,-,-
35,Retained Earnings,1417,1384,1365,1328,1306,1254,1241,1212,1140,1049,1052,979.39,876.8,809.77,-,701.54,-,-,-
36,Treasury Stock,-66.43,-31.8,-31.8,-50.08,-57.94,-57.94,-57.94,-60.72,-62.3,-62.3,-62.3,-62.3,-,-,-,-,-,-,-
37,Comprehensive Income & Other,247.8,247.51,246.59,249.9,253.38,258.57,258.12,258.72,69.28,65.9,65.88,62.54,61.65,60.56,-,57.77,-,-,-
38,Total Common Equity,2736,2736,2715,2641,2607,2560,2542,2509,2210,2112,2117,2037,1930,1444,1333,1333,-,-,-
39,Minority Interest,1.73,1.82,1.59,1.16,1.18,1.15,1.12,0.96,1.14,1.12,1.52,1.43,1.32,1.33,-,1.27,-,-,-
40,Shareholders' Equity,2738,2738,2717,2642,2608,2561,2543,2510,2211,2113,2119,2038,1932,1445,1334,1334,-,-,-
41,Total Liabilities & Equity,7231,7222,7066,6744,6377,5971,5656,5354,4502,4215,3925,3506,3056,2782,-,2444,-,-,-
42,Total Debt,2831,2785,2507,2223,2208,2029,1741,1238,899.83,813.43,682.44,278.13,142.48,389.13,366.08,366.08,-,-,-
43,Net Cash (Debt),-2573,-2516,-2248,-2004,-2037,-1892,-1597,-1013,-775.87,-590.92,-493.4,-110.86,113.02,-216.15,-130.89,-130.89,-,-,-
44,Net Cash Per Share,-6.85,-6.64,-6.04,-5.37,-5.11,-4.81,-4.37,-2.66,-2.17,-1.53,-1.31,-0.30,0.29,-0.78,-0.46,-0.49,-,-,-
45,Filing Date Shares Outstanding,380.3,380.3,380.27,380.27,379.23,379.13,379.12,379.12,377.65,377.65,377.65,377.65,373.34,373.34,280,280,287.52,280.85,-
46,Total Common Shares Outstanding,380.3,380.3,380.27,379.41,379.23,379.13,379.12,379.32,377.65,377.65,377.65,377.65,373.34,280,280,280,287.52,280.85,-
47,Working Capital,-1044,-1003,-945.71,-1029,-717.48,-436.69,-194.21,-132.06,-581.51,-302.44,-49.91,6.18,205.31,-103.87,-,-118.37,-,-,-
48,Book Value Per Share,6.71,6.71,6.65,6.46,6.38,6.26,6.21,6.12,5.85,5.59,5.61,5.39,5.17,5.16,4.76,4.76,-,-,-
49,Tangible Book Value,2048,2126,2100,2144,2173,2302,2268,2236,2071,1989,1978,1912,1793,1320,1207,1207,-,-,-
