,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,1262,1104,1012,1021,1197,1093,938.91,987.71,1001,986.74,732.53,779.62,836.1,655.16,619.8,451.74,498.56,467.93,468.49
1,Other Revenue,-59.2,59.2,-,118.7,-47.99,47.99,-,95.45,-46.52,46.52,-,100.02,-40.51,40.51,-,65.01,-22.19,22.19,-
2,Revenue,1203,1163,1012,1140,1149,1141,938.91,1083,954.69,1033,732.53,879.63,795.59,695.67,619.8,516.76,476.37,490.13,468.49
3,Revenue Growth (YoY),4.66%,1.98%,7.84%,5.23%,20.37%,10.42%,28.17%,23.14%,20.00%,48.53%,18.19%,70.22%,67.01%,41.94%,32.30%,-,-,-,-
4,Cost of Revenue,1021,952.6,837.69,1027,969.31,969.71,781.87,862.91,801.74,874.17,575.7,650.6,627.48,542.61,502.32,401.26,384.25,343.66,414.69
5,Gross Profit,181.76,210.9,174.79,112.78,179.85,171.17,157.04,220.25,152.95,159.09,156.83,229.04,168.1,153.06,117.48,115.49,92.12,146.47,53.8
6,"Selling, General & Admin",81.01,79.65,83.55,105.27,74.03,74.79,76.72,90.18,82,60.86,57.46,77.07,69.96,55.38,40.12,64.72,59.52,124.02,-
7,Research & Development,25.8,24.9,24.77,26.87,22.92,22.37,18.07,17.9,12.71,11.2,10.3,-3.18,14.56,12.03,5.38,4,3.95,8.43,-
8,Other Operating Expenses,-1.54,5.57,3.66,5.88,0.4,3.54,-2.18,17.31,1.64,-3.88,0.36,14,-3.83,2.32,-0.06,28.33,1.04,-14.14,-
9,Operating Expenses,109.6,109.51,112,138.07,96.04,106.45,90.37,123.78,97.08,72.2,67.34,91.22,81.78,70.32,48.01,98.35,63.69,118,-
10,Operating Income,72.16,101.39,62.78,-25.28,83.82,64.71,66.67,96.47,55.87,86.88,89.49,137.81,86.32,82.74,69.48,17.14,28.43,28.46,53.8
11,Interest Expense,-23.88,-21.74,-22.58,-23.96,-14.49,-9.83,-15.85,-12.67,-4.94,-5.35,-4,-1.93,-1.66,-3.1,-4.17,-4,-4.35,-8.99,-
12,Interest & Investment Income,0.81,0.76,0.41,0.71,0.73,0.6,0.85,1.58,0.61,0.45,0.77,2.35,1.63,0.68,1.35,7.57,1.7,4.01,-
13,Currency Exchange Gain (Loss),-12.36,12.36,-,11.89,-10.47,10.47,-,22.18,-13.09,13.09,-,-7.36,2.82,-2.82,-,-22.73,-5.24,5.24,-
14,Other Non Operating Income (Expenses),12.66,-9.06,4.89,-11.19,7.47,6.91,-3.88,-30.31,26.8,1.6,-2.58,2.65,-3.41,-0.9,-0.81,8.71,-9.24,-0.26,-0.11
15,EBT Excluding Unusual Items,49.39,83.71,45.5,-47.83,67.05,72.87,47.79,77.24,65.25,96.67,83.68,133.52,85.71,76.6,65.85,6.69,11.3,28.46,53.69
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-0.78,0.19,0.94,-0.34,-2.73,3.41,0.1,-
17,Gain (Loss) on Sale of Assets,0.25,-0.25,-0.32,-1.67,1.77,-1.65,-,-2.28,0.55,-0.53,-,-5.77,0.91,-0.31,-,0.52,2.12,-1.64,-
18,Asset Writedown,-7.51,-6.6,6.6,5.87,-6.93,6.1,-6.1,-11.45,6.19,-11.03,11.03,-2.04,-0.69,0.05,-0.05,-1.88,-0.75,-,-
19,Other Unusual Items,-8.49,7.84,0.65,81.73,-1.2,1.2,-,17,-,-,-,10.83,-0.1,0.1,-,27.85,-0.26,0.26,-
20,Pretax Income,33.65,84.7,52.43,38.1,60.69,78.52,41.68,80.52,71.99,85.1,94.71,135.75,86.01,77.38,65.45,30.46,15.82,27.19,53.69
