,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2016,Q1 2016,Q2 2015,Q1 2015
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Operating Revenue,611.18,420.45,610.09,461.32,1370,720.64,571.99,318.01,488.12,468.94,452.19,856.36,754.61,1049,860.82,841.08,126.97,126.97,95.16,95.16
1,Other Revenue,-,-0.19,0.19,-,0.9,-0.94,0.94,-,22.26,-3.03,3.03,-,2.91,-,-,-,-,-,-,-
2,Revenue,611.18,420.27,610.28,461.32,1371,719.71,572.93,318.01,510.38,465.92,455.22,856.36,757.51,1049,860.82,841.08,126.97,126.97,95.16,95.16
3,Revenue Growth (YoY),-55.42%,-41.61%,6.52%,45.06%,168.60%,54.47%,25.86%,-62.87%,-32.62%,-55.59%,-47.12%,1.82%,496.63%,726.33%,804.61%,783.87%,-,-,-,-
4,Cost of Revenue,-1126,325.81,468.59,331.83,1108,480.69,486.82,220.07,384.63,321.23,314.01,600.62,545.93,736.46,615.34,635.85,97.75,97.75,72.67,72.67
5,Gross Profit,1737,94.46,141.69,129.48,262.76,239.02,86.1,97.94,125.75,144.68,141.21,255.74,211.59,312.7,245.48,205.23,29.21,29.21,22.48,22.48
6,"Selling, General & Admin",-119.37,32.11,47.6,39.66,67.86,36.43,48.25,36.83,49.44,38.33,55.88,62.58,196.22,130.46,108.04,96.36,17.63,17.63,13.66,13.66
7,Research & Development,-321.67,103.96,111.98,105.74,125.88,109.17,106.53,101.04,94.89,120.18,114.6,122.83,114.92,135.08,117.01,93.37,-,-,-,-
8,Other Operating Expenses,2155,-23.97,14.41,-9.72,42.9,-3.33,-24.85,-1.25,24.03,-5.45,-16.75,-0.2,32.75,-7.64,-17.86,-0.82,0.41,0.41,0.16,0.16
9,Operating Expenses,1712,110.64,166.38,146.55,235.22,143.69,129.71,136.84,167.26,154.13,153.49,185.5,343.53,257.95,205.7,189.17,18.04,18.04,13.83,13.83
10,Operating Income,25.18,-16.18,-24.7,-17.07,27.53,95.33,-43.61,-38.91,-41.52,-9.45,-12.27,70.24,-131.95,54.75,39.78,16.06,11.18,11.18,8.66,8.66
11,Interest Expense,-53.53,-,-2.14,-,-1.87,-1.22,-1.76,-,-1.76,-0.5,-2.17,-2.18,-1.04,-0.72,-,-0.95,-,-,-,-
12,Interest & Investment Income,1.72,18.1,35.85,-,19.41,20.02,33.6,-,22.04,9.23,2.77,0.62,3.6,2.24,1.35,0.14,0.02,0.02,-,-
13,Currency Exchange Gain (Loss),-,-4.84,4.84,-,7.63,-16.04,16.04,-,27.39,-15.05,15.05,-,-9.52,5.35,-5.35,-,-,-,-,-
14,Other Non Operating Income (Expenses),7.15,-1.36,-22.1,19.97,-1.21,13.44,-23.09,8.58,-45.55,45.88,-1.42,0.59,0.75,-3.03,-1.43,2.09,3.79,3.79,0.76,0.76
15,EBT Excluding Unusual Items,-19.48,-4.28,-8.24,2.9,51.49,111.53,-18.81,-30.33,-39.4,30.12,1.97,69.28,-138.15,58.58,34.35,17.33,14.99,14.99,9.42,9.42
16,Gain (Loss) on Sale of Investments,-,-0.06,0.06,-,0,1.37,-23.91,-1.63,-2.53,2.28,0.06,-,0.01,-0.59,0.58,-,-,-,-,-
