,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2016,Q1 2016,Q2 2015,Q1 2015
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Cash & Equivalents,-,2695,2789,2831,3119,3078,2890,2582,2536,2298,2400,328.78,381.15,-,457.13,-,129.92,129.92,-,-
1,Trading Asset Securities,-,-,30.06,-,-,-,100.72,100.59,99.81,142.34,100.06,-,-,-,0.58,-,-,-,-,-
2,Cash & Short-Term Investments,2695,2695,2820,2831,3119,3078,2991,2682,2635,2441,2500,328.78,381.15,-,457.72,518.48,129.92,129.92,-,51.14
3,Cash Growth,-13.60%,-12.44%,-5.72%,5.56%,18.37%,26.11%,19.62%,715.80%,591.42%,-,446.19%,-36.59%,193.37%,-,-,913.79%,-,-,-,-
4,Accounts Receivable,-,185.17,284.48,424.79,509.04,230.82,156.1,110.35,153.76,117.54,82.14,295.98,200.59,-,257.84,-,42.08,42.08,-,-
5,Other Receivables,-,39.26,27.89,30.11,26.45,27.36,27.41,4.85,6.21,21.19,18.56,18.06,17.1,-,0.29,-,19.48,19.48,-,-
6,Receivables,-,224.43,312.37,454.91,535.49,258.18,183.51,115.21,159.97,138.74,100.7,314.05,217.69,-,258.13,-,61.56,61.56,-,-
7,Inventory,-,1013,924.56,854.64,652.21,853.06,642.76,810.13,985.53,1270,1412,1226,1074,-,662.15,-,75.58,75.58,-,-
8,Prepaid Expenses,-,-,-,-,15.11,-,5.16,-,7.72,-,-,-,-,-,-,-,2.76,2.76,-,-
9,Other Current Assets,-,48.11,34.63,30.73,12.64,84.82,37.03,19.83,6.43,41.89,46.09,82.13,68.36,-,66.65,-,8.39,8.39,-,-
