,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2016,Q1 2016,Q2 2015,Q1 2015
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Market Capitalization,15583,14388,15618,15478,22932,27390,23873,29942,24252,15009,14138,20404,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-47.47%,-47.47%,-34.58%,-48.31%,-5.44%,82.49%,68.85%,46.75%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,13028,11832,12891,12790,20076,24533,21063,27380,22007,12764,11839,20457,-,-,-,-,-,-,-,-,-
3,Last Close Price,36.24,33.46,36.32,36.94,54.73,65.39,57.00,73.04,59.16,36.67,34.54,50.92,-,-,-,-,-,-,-,-,-
4,PE Ratio,-,-606.43,-,79.88,-,243.92,-1417.77,-690.06,-,-,-261.15,-,-,-,-,-,-,-,-,-,-
5,Forward PE,33.56,23.56,49.92,28.68,47.46,69.34,79.81,112.55,151.95,32.47,22.11,35.36,-,-,-,-,-,-,-,-,-
6,PS Ratio,6.81,6.84,5.46,4.89,7.34,9.19,11.26,16.04,13.86,6.56,5.58,6.54,-,-,-,-,-,-,-,-,-
7,PB Ratio,3.87,3.57,3.88,3.84,5.67,6.79,6.14,7.83,6.42,3.92,3.71,5.44,-,-,-,-,-,-,-,-,-
8,P/TBV Ratio,3.60,3.60,3.91,3.88,5.73,6.85,6.20,7.91,6.49,3.96,3.75,5.49,-,-,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-673.38,-,45.04,35.10,59.66,226.98,-51.32,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,191.30,-,36.82,29.43,42.01,81.28,-169.31,-40.91,-,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,6.19,5.63,4.50,4.04,6.42,8.23,9.93,14.66,12.58,5.58,4.67,6.56,-,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,294.13,255.19,264.62,-,149.82,229.16,639.85,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-361.22,-,-,-,608.11,-733.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-556.43,-,40.34,30.97,54.56,205.97,-43.65,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.03,0.03,0.03,0.02,0.04,0.03,0.06,0.05,0.03,0.05,0.05,0.05,0.32,0.15,-,0.06,0.14,0.59,0.59,-,0.08
16,Debt / EBITDA Ratio,3.15,0.79,11.31,4.65,16.28,0.55,0.51,-,-,-,-,10.58,1.24,-,-,0.26,1.07,1.41,1.41,-,0.14
17,Debt / FCF Ratio,-,-,-,-4.04,-,0.22,0.33,0.36,1.12,-0.69,-,-,-,-,-,-1.26,-,-,-,-,-
18,Asset Turnover,-,0.37,0.53,0.39,1.15,0.64,0.55,0.31,0.48,0.43,0.55,1.60,-,-,-,-,1.77,-,-,-,
