,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jan '20 Jan 1, 2020",+20 Quarters
0,Revenue,255995,162657,112064,219304,228469,209588,196680,268521,333806,232008,235970,236775,202002,158598,150949,125366,112798,116356,88691,230527,Upgrade
1,Revenue Growth (YoY),12.05%,-22.39%,-43.02%,-18.33%,-31.56%,-9.66%,-16.65%,13.41%,65.25%,46.29%,56.32%,88.87%,79.08%,36.30%,70.20%,-45.62%,-40.29%,-19.21%,-18.93%,-11.24%,Upgrade
2,Operations & Maintenance,-,-,-,-,-,-,-,-,-,-,-,4501,-,1464,-,11457,-,-,-,-,Upgrade
3,"Selling, General & Admin",11199,16270,12132,-10048,15287,13442,11429,-8486,25569,-656.1,15945,-7775,9089,1837,8467,-16905,12488,11664,5715,-6235,Upgrade
4,Depreciation & Amortization,-,-,-,2713,-,-,-,2032,-,993.81,-,1733,-,886.45,-,1858,-,-,-,1850,Upgrade
5,Other Operating Expenses,86746,73542,52510,121561,82624,75043,56775,116112,95161,82960,72676,112809,79388,62309,54568,60150,74633,44650,40337,90206,Upgrade
6,Total Operating Expenses,97945,89812,64643,114226,97911,88485,68205,109658,120730,83298,88622,111268,88477,66496,63035,56559,87121,56315,46052,85820,Upgrade
7,Operating Income,158050,72845,47421,105077,130558,121103,128475,158863,213076,148710,147349,125507,113525,92102,87914,68807,25677,60041,42639,144708,Upgrade
8,Interest Expense,-6000,-6185,-6676,-7505,-8376,-9462,-9911,-8676,-8793,-8924,-8849,-9000,-8798,-8065,-7167,1574,-3850,-3113,-3232,-3482,Upgrade
9,Interest Income,7008,4942,4698,24187,19977,31503,7783,14891,12163,11844,11110,21727,1024,10998,1784,13120,5091,23749,4002,22835,Upgrade
10,Net Interest Expense,1008,-1243,-1978,16682,11601,22042,-2128,6215,3370,2919,2261,12728,-7774,2933,-5383,14694,1241,20636,769.83,19352,Upgrade
11,Income (Loss) on Equity Investments,2033,17338,-,9612,-3025,14074,-,7272,-,12802,-,16774,-,7978,-,-10019,-,2494,-,7479,Upgrade
12,Other Non-Operating Income (Expenses),-,-,-,86.75,269.69,-,13.84,-,4394,235.56,-,-16117,10,-,-,59.01,-,-,-,1572,Upgrade
13,EBT Excluding Unusual Items,161091,88940,45443,131458,139403,157218,126361,172350,220841,164668,149610,138891,105760,103014,82531,73541,26918,83171,43409,173111,Upgrade
14,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6210,Upgrade
15,Pretax Income,161091,88940,45443,131458,139403,157218,126361,172350,220841,164668,149610,138891,105760,103014,82531,73541,26918,83171,43409,179321,Upgrade
16,Income Tax Expense,29393,14043,6195,23078,23581,25569,22029,30267,43720,26273,27134,21071,19191,16431,13591,13944,4627,16153,9099,33159,Upgrade
17,Earnings From Continuing Ops.,131698,74897,39248,108379,115822,131649,104333,142083,177121,138395,122476,117820,86569,86583,68940,59598,22291,67018,34310,146161,Upgrade
18,Minority Interest in Earnings,-1667,-595.13,-950.9,-1990,-885.12,-969.58,-1354,-1725,-2380,-1104,-1512,-2679,-2148,-1165,-703.38,-2746,-283.41,-563.08,-1101,-1628,Upgrade
19,Net Income,130032,74302,38297,106390,114936,130679,102979,140359,174741,137291,120964,115141,84421,85418,68237,56852,22008,66454,33209,144534,Upgrade
20,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,19431,-,-,-,-,-,-,-,-,Upgrade
21,Net Income to Common,130032,74302,38297,106390,114936,130679,102979,140359,174741,137291,120964,95710,84421,85418,68237,56852,22008,66454,33209,144534,Upgrade
22,Net Income Growth,13.13%,-43.14%,-62.81%,-24.20%,-34.22%,-4.82%,-14.87%,21.90%,106.99%,60.73%,77.27%,102.53%,283.60%,28.54%,105.48%,-60.67%,-77.32%,-23.16%,-29.33%,-25.33%,Upgrade
23,Shares Outstanding (Basic),70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,Upgrade
24,Shares Outstanding (Diluted),70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,Upgrade
25,EPS (Basic),1857.60,1061.45,547.10,1519.85,1641.95,1866.85,1471.12,2005.12,2496.30,1961.29,1728.06,1367.29,1206.02,1220.26,974.81,812.17,314.40,949.35,474.41,2064.77,Upgrade
26,EPS (Diluted),1857.60,1061.45,547.10,1519.85,1641.95,1866.85,1471.12,2005.12,2496.30,1960.94,1728.06,1367.29,1206.02,1220.26,974.81,812.17,314.40,949.35,474.41,2064.77,Upgrade
27,EPS Growth,13.13%,-43.14%,-62.81%,-24.20%,-34.22%,-4.80%,-14.87%,46.65%,106.99%,60.70%,77.27%,68.35%,283.60%,28.54%,105.48%,-60.67%,-77.32%,-23.16%,-29.33%,-25.33%,Upgrade
28,Free Cash Flow,-5782,67062,216836,15453,58365,18522,-72366,215056,171315,102540,27581,116973,98990,40582,-64973,-201769,-148794,123571,-21381,157410,Upgrade
29,Free Cash Flow Per Share,-82.60,958.03,3097.65,220.76,833.78,264.60,-1033.81,3072.24,2447.36,1464.86,394.01,1671.04,1414.14,579.74,-928.18,-2882.42,-2125.63,1765.31,-305.45,2248.71,Upgrade
30,Dividend Per Share,-,-,-,-,3883.000,5100.000,-,1000.000,1200.000,800.000,-,3000.000,-,-,-,1230.000,4500.000,1500.000,-,1500.000,Upgrade
31,Dividend Growth,-,-,-,-,223.58%,537.50%,-,-66.67%,-,-,-,143.90%,-,-,-,-18.00%,-,0%,-,0%,Upgrade
32,Profit Margin,50.79%,45.68%,34.17%,48.51%,50.31%,62.35%,52.36%,52.27%,52.35%,59.17%,51.26%,40.42%,41.79%,53.86%,45.21%,45.35%,19.51%,57.11%,37.44%,62.70%,Upgrade
33,Free Cash Flow Margin,-2.26%,41.23%,193.49%,7.05%,25.55%,8.84%,-36.79%,80.09%,51.32%,44.20%,11.69%,49.40%,49.00%,25.59%,-43.04%,-160.94%,-131.91%,106.20%,-24.11%,68.28%,Upgrade
34,EBITDA,182462,96459,71364,128386,153833,144553,151103,181518,235884,171170,170129,148403,137180,113112,109202,79467,33556,68751,54310,156001,Upgrade
35,EBITDA Margin,71.28%,59.30%,63.68%,58.54%,67.33%,68.97%,76.83%,67.60%,70.67%,73.78%,72.10%,62.68%,67.91%,71.32%,72.34%,63.39%,29.75%,59.09%,61.23%,67.67%,Upgrade
36,D&A For EBITDA,24412,23614,23943,23308,23276,23450,22628,22655,22808,22460,22781,22896,23655,21009,21288,10659,7879,8709,11671,11293,Upgrade
37,EBIT,158050,72845,47421,105077,130558,121103,128475,158863,213076,148710,147349,125507,113525,92102,87914,68807,25677,60041,42639,144708,Upgrade
38,EBIT Margin,61.74%,44.78%,42.32%,47.91%,57.14%,57.78%,65.32%,59.16%,63.83%,64.10%,62.44%,53.01%,56.20%,58.07%,58.24%,54.88%,22.76%,51.60%,48.08%,62.77%,Upgrade
39,Effective Tax Rate,18.25%,15.79%,13.63%,17.56%,16.92%,16.26%,17.43%,17.56%,19.80%,15.96%,18.14%,15.17%,18.15%,15.95%,16.47%,18.96%,17.19%,19.42%,20.96%,18.49%,Upgrade
40,Revenue as Reported,255995,162657,112064,-,228469,209588,196680,-,333806,-,235970,-,202002,-,150949,-,112798,116356,88691,-,Upgrade
