,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jan '20 Jan 1, 2020",+20 Quarters
0,Cash & Equivalents,46431,107259,112001,78052,266751,216476,52336,30392,90284,144834,135198,91051,68689,28046,40854,64341,183727,228382,26575,30575,Upgrade
1,Short-Term Investments,283000,228000,180500,246500,380000,424000,653500,752000,524500,396500,427500,433000,320500,346500,586000,674000,429000,598000,823000,832500,Upgrade
2,Accounts Receivable,598207,420154,381079,636444,550907,475039,388044,285404,357990,311728,269886,176573,213118,165799,157482,81874,108928,122657,198006,219582,Upgrade
3,Other Receivables,17774,15540,42768,51925,50834,60953,47199,45411,51950,49503,52683,46795,45819,45950,44741,45985,49726,57315,47588,51010,Upgrade
4,Inventory,989.41,1013,917.55,727.99,2318,2944,2674,2650,2253,2060,1773,1903,1919,3166,2887,2496,7314,4525,3564,2729,Upgrade
5,Prepaid Expenses,2218,1798,841.95,830.89,723.29,597.27,76.7,212.15,134.26,125.24,34.83,156.11,756.46,574.79,231.28,261.32,1903,6032,11.33,225.65,Upgrade
6,Loans Receivable Current,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,203,203,203,203,203,Upgrade
7,Other Current Assets,2031,3945,2039,1136,2563,916.73,2738,1481,3579,2273,1791,1517,3111,3899,7851,12179,126566,10113,5252,3797,Upgrade
8,Total Current Assets,950650,777710,720147,1015615,1254095,1180926,1146568,1117550,1030690,907022,888866,750996,653912,593934,840045,881339,907367,1027226,1104198,1140621,Upgrade
9,"Property, Plant & Equipment",753333,760001,780536,803872,815518,828916,842103,863924,874798,892506,916584,936322,954911,976792,978670,921723,501337,399537,406026,412850,Upgrade
10,Other Intangible Assets,11918,12170,12422,12673,11277,11488,11700,11911,11153,11288,11425,11563,11700,15190,15349,15509,15668,15830,15992,16154,Upgrade
11,Long-Term Investments,295549,298516,291178,296178,296566,299592,285518,285518,288246,288246,275443,275443,258670,258670,214692,198692,208710,193310,195916,195916,Upgrade
12,Long-Term Loans Receivable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,203,203,Upgrade
13,Long-Term Deferred Tax Assets,617.62,617.62,770.5,770.5,835.75,923.39,813.36,813.36,878.61,878.61,943.86,943.86,1009,1009,1074,1074,1140,1140,1205,1205,Upgrade
14,Other Long-Term Assets,12530,13876,15254,16076,15493,15992,15155,14668,13954,14683,13950,14515,12089,7692,7964,8464,8735,8374,8088,9433,Upgrade
15,Total Assets,2024598,1862891,1820308,2145185,2393786,2337837,2301857,2294385,2219720,2114623,2107213,1989782,1892291,1853287,2057794,2026801,1642957,1645417,1731628,1776381,Upgrade
16,Accounts Payable,9063,10218,11387,28633,8379,18725,18469,39553,8707,12816,14881,30507,28596,25676,71255,63491,37098,9101,8115,20217,Upgrade
17,Accrued Expenses,54119,35572,41540,69404,70304,38730,32660,55666,93820,59425,54185,57333,54525,34813,17217,22631,57769,38478,25172,50905,Upgrade
18,Short-Term Debt,-,-,2000,2000,-,-,-,-,-,-,-,-,-,-,-,3000,-,-,-,-,Upgrade
19,Current Portion of Long-Term Debt,53604,53854,42890,55854,54854,54854,54854,54854,54854,54854,56350,43262,29675,16587,3000,-,3000,20000,16460,20710,Upgrade
20,Current Income Taxes Payable,43082,16689,6095,54559,44580,45148,22025,62728,57789,43183,27134,11674,48947,29756,13591,26181,10314,19187,9099,45706,Upgrade
21,Other Current Liabilities,14549,15361,35442,15422,13670,87989,14604,12958,11230,113210,12014,12352,11216,99397,16459,10020,11262,11678,11016,11388,Upgrade
22,Total Current Liabilities,174417,131695,139354,225872,191787,245446,142613,225760,226400,283489,164563,155127,172959,206230,121522,125324,119443,98444,69862,148925,Upgrade
23,Long-Term Debt,273233,285947,311874,311874,326480,332551,347264,359978,374691,387405,400622,413710,428797,441885,404060,332365,13500,59250,120000,120000,Upgrade
24,Other Long-Term Liabilities,20353,20353,20353,20559,20559,20700,20700,20700,16465,18686,18686,19080,6290,6290,6326,6326,6326,6326,6326,6326,Upgrade
25,Total Liabilities,468003,437995,471581,558304,538825,598697,510577,606437,617556,689580,583872,587918,608046,654404,531907,464015,139269,164020,196188,275250,Upgrade
26,Common Stock,700000,700000,700000,700000,700000,700000,700000,700000,700000,700000,700000,700000,700000,700000,700000,700000,700000,700000,700000,700000,Upgrade
27,Retained Earnings,547748,434739,359794,593307,873878,946117,991085,888718,804660,629919,721248,600895,485954,402741,724696,761973,705427,683419,729978,696770,Upgrade
28,Comprehensive Income & Other,272371,255348,254130,254130,243629,56454,56454,56454,56454,56454,56454,56454,56454,56454,56454,56454,56454,56454,56454,56454,Upgrade
29,Total Common Equity,1520119,1390087,1313925,1547438,1817508,1702571,1747540,1645173,1561114,1386373,1477702,1357350,1242409,1159195,1481150,1518427,1461881,1439873,1486432,1453224,Upgrade
30,Minority Interest,36476,34809,34802,39443,37453,36568,43740,42774,41050,38669,45639,44515,41836,39688,44737,44359,41807,41524,49008,47906,Upgrade
31,Shareholders' Equity,1556595,1424896,1348727,1586881,1854961,1739140,1791280,1687947,1602164,1425043,1523341,1401865,1284245,1198883,1525887,1562786,1503688,1481397,1535440,1501130,Upgrade
32,Total Liabilities & Equity,2024598,1862891,1820308,2145185,2393786,2337837,2301857,2294385,2219720,2114623,2107213,1989782,1892291,1853287,2057794,2026801,1642957,1645417,1731628,1776381,Upgrade
33,Total Debt,326837,339801,356764,369728,381334,387405,402118,414832,429545,442259,456972,456972,458472,458472,407060,335365,16500,79250,136460,140710,Upgrade
34,Net Cash (Debt),2594,-4542,-64263,-45176,265417,253071,303718,367560,185239,99075,105725,67079,-69284,-83926,219795,402976,596227,747132,713115,722365,Upgrade
35,Net Cash Growth,-99.02%,-,-,-,43.28%,155.43%,187.27%,447.95%,-,-,-51.90%,-83.35%,-,-,-69.18%,-44.21%,-8.75%,25.49%,28.06%,15.10%,Upgrade
36,Net Cash Per Share,37.05,-64.88,-918.04,-645.37,3791.67,3615.30,4338.82,5250.86,2646.27,1415.36,1510.36,958.27,-989.77,-1198.94,3139.92,5756.80,8517.52,10673.31,10187.35,10319.50,Upgrade
37,Filing Date Shares Outstanding,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,Upgrade
38,Total Common Shares Outstanding,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,Upgrade
39,Working Capital,776233,646015,580793,789743,1062308,935480,1003955,891791,804291,623533,724302,595869,480953,387704,718523,756015,787924,928782,1034336,991696,Upgrade
