,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,1716,6233,6738,-,-,-,-,5187,5388,5348,5270,5151,5931,6772,6924,6840,2961,2854,2409,-,Upgrade
1,Short-Term Investments,3949,283.01,524.54,-,-,-,-,135.55,589.32,236.88,206.53,-,205.29,-,101.08,100.44,-,-,135.74,-,Upgrade
2,Trading Asset Securities,-,350.91,-,-,-,-,-,809.64,-,210.52,-,208.29,-,102.97,-,-,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,5665,6867,7262,-,-,-,-,6132,5977,5796,5476,5360,6136,6875,7025,6941,2961,2854,2545,-,Upgrade
4,Cash Growth,-,-,-,-,-,-,-,14.40%,-2.59%,-15.69%,-22.05%,-22.78%,107.24%,140.88%,176.03%,-,55.63%,50.01%,-,-,Upgrade
5,Accounts Receivable,1759,488.98,1440,-,-,-,-,314.08,1105,317.49,1061,475.97,1015,348.31,798.12,766.39,706.39,303.19,450.9,-,Upgrade
6,Other Receivables,-,372.19,-,-,-,-,-,323,-,235.93,-,244.53,-,139.66,-,-,-,99.84,442.47,-,Upgrade
7,Receivables,1759,861.17,1440,-,-,-,-,637.08,1105,553.42,1061,720.5,1015,487.97,798.12,766.39,706.39,403.03,893.37,-,Upgrade
8,Inventory,2297,1991,1874,-,-,-,-,1516,1316,1241,1163,1408,1559,1535,1325,1413,1325,1461,1423,-,Upgrade
9,Prepaid Expenses,-,114.71,-,-,-,-,-,35.07,-,103.09,-,23.11,-,11.5,-,-,-,-,-,-,Upgrade
10,Restricted Cash,618.93,1.97,2.59,-,-,-,-,28.61,29.68,32.38,9.93,7.35,2.29,3.68,1.59,0.54,3.9,7.06,1.79,-,Upgrade
11,Other Current Assets,-,596.83,-,-,-,-,-,395.15,-,347.22,-,323.09,-,286.5,-,-,-,261.36,278.46,-,Upgrade
12,Total Current Assets,10341,10433,10579,-,-,-,-,8744,8429,8073,7710,7842,8713,9199,9150,9121,4996,4987,5142,-,Upgrade
13,"Property, Plant & Equipment",5121,4733,3802,-,-,-,-,2805,2771,2762,2748,2768,968.34,766.2,547.56,566.79,536.8,590.93,599.29,-,Upgrade
14,Long-Term Investments,258.89,224.22,223.25,-,-,-,-,-,-,-,-,-,344.17,352.06,355.18,356,-,-,-,-,Upgrade
15,Goodwill,22.03,21.25,21.24,-,-,-,-,20.86,20.01,19.39,18.89,19.64,19.64,19.64,19.64,-,-,-,-,-,Upgrade
16,Other Intangible Assets,10.19,12.33,15.31,-,-,-,-,33.38,37.7,43.07,47.96,53.32,56.5,61.01,66.21,70.45,72.64,69.09,63.46,-,Upgrade
17,Long-Term Accounts Receivable,195.41,18.08,164.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
18,Long-Term Deferred Tax Assets,115.15,116.58,100.08,-,-,-,-,165.64,154.1,154.33,162.56,161.02,168.03,168.55,181.44,185.73,181.54,183.52,168.03,-,Upgrade
19,Other Long-Term Assets,72,155.06,-,-,-,-,-,228.99,224.77,229.96,211.96,203.39,390.48,138.48,4.62,6.8,7.33,6.11,-,-,Upgrade
20,Total Assets,16135,15713,14906,-,-,-,-,11997,11636,11282,10899,11047,10660,10705,10325,10307,5794,5836,5973,-,Upgrade
21,Accounts Payable,3674,762.64,3203,-,-,-,-,604.29,2891,663.13,617.18,3189,3003,632.18,2789,2904,2729,489,679.14,-,Upgrade
22,Accrued Expenses,-,482.37,-,-,-,-,-,322.89,-,385.95,328.16,-,-,239.95,-,-,-,186.65,174.88,-,Upgrade
23,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,401.18,401.17,-,Upgrade
24,Current Portion of Long-Term Debt,0.74,0.71,0.71,-,-,-,-,-,0.45,0.45,5.14,5.18,4.82,13.67,-,-,-,-,-,-,Upgrade
25,Current Portion of Leases,482.26,455.45,439.92,-,-,-,-,266.49,266.13,258,260.61,268.43,262.01,321.27,260.41,237.03,217.61,224.08,210.27,-,Upgrade
26,Current Income Taxes Payable,293.21,254.24,245.49,-,-,-,-,161.47,151.31,89.42,71.42,81.82,63.75,65.76,79.53,71,63.24,46.3,49.94,-,Upgrade
27,Current Unearned Revenue,387.86,351.11,311.04,-,-,-,-,343.75,353.39,367.82,333.96,282.52,255.27,272.98,277.84,300.54,242.52,218.29,266.84,-,Upgrade
28,Other Current Liabilities,-,2084,643.06,-,-,-,-,2013,-,2024,2035,-,-,1937,-,-,-,1744,1753,-,Upgrade
29,Total Current Liabilities,4839,4390,4844,-,-,-,-,3712,3663,3789,3651,3827,3589,3483,3407,3513,3252,3310,3536,-,Upgrade
30,Long-Term Debt,5.91,6.41,6.41,-,-,-,-,7,6.71,6.5,6.34,6.37,6.87,6.93,20.94,14.09,14.42,15.21,4.76,-,Upgrade
31,Long-Term Leases,1609,1482,859.74,-,-,-,-,408.16,399.05,393.07,385.88,411.3,450.4,483.14,325.49,356.95,335.76,378.89,364.67,-,Upgrade
32,Long-Term Unearned Revenue,71.28,76.78,79.35,-,-,-,-,61.64,64.76,66.15,66.51,70.3,75.35,79.95,85.14,89.23,66.14,74.23,79.76,-,Upgrade
33,Other Long-Term Liabilities,45.52,32.79,18.29,-,-,-,-,-,-,-,-,-,-,-,-,-,4007,2381,2380,-,Upgrade
34,Total Liabilities,6570,5988,5807,-,-,-,-,4188,4133,4254,4110,4315,4122,4053,3838,3973,7675,6159,6365,-,Upgrade
35,Common Stock,0.1,0.1,0.1,-,-,-,-,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.07,0.07,0.07,-,Upgrade
36,Additional Paid-In Capital,4943,5544,5689,-,-,-,-,8016,8015,7983,7983,7983,7982,8289,8289,8289,164.09,162.37,140.98,-,Upgrade
37,Retained Earnings,3534,3063,2305,-,-,-,-,-1091,-1533,-1855,-2060,-2246,-2406,-2494,-2673,-2795,-2798,-1079,-1030,-,Upgrade
38,Treasury Stock,-,-84.05,-,-,-,-,-,-114.36,-,-83.8,-56.34,-,-,-2.31,-,-,-,-19.39,-8.69,-,Upgrade
39,Comprehensive Income & Other,1048,1174,1078,-,-,-,-,997.18,1027,988,930.27,999.7,965.98,865.66,872.63,830.1,743.89,598.96,500.08,-,Upgrade
40,Total Common Equity,9525,9697,9072,-,-,-,-,7807,7509,7032,6796,6736,6542,6659,6489,6325,-1890,-336.63,-397.44,-,Upgrade
41,Minority Interest,40.09,28.01,26.67,-,-,-,-,1.6,-5.83,-4.24,-6.99,-4.56,-4.27,-6.81,-2.57,9.2,8.66,13.58,5.59,-,Upgrade
42,Shareholders' Equity,9565,9725,9098,-,-,-,-,7809,7503,7027,6789,6732,6538,6652,6487,6334,-1881,-323.05,-391.85,-,Upgrade
43,Total Liabilities & Equity,16135,15713,14906,-,-,-,-,11997,11636,11282,10899,11047,10660,10705,10325,10307,5794,5836,5973,-,Upgrade
44,Total Debt,2098,1944,1307,-,-,-,-,681.65,672.34,658.01,657.97,691.28,724.09,825.01,606.84,608.08,567.8,1019,980.86,-,Upgrade
45,Net Cash (Debt),3568,4923,5956,-,-,-,-,5450,5305,5138,4818,4668,5412,6050,6419,6333,2393,1835,1564,-,Upgrade
46,Net Cash Growth,-,-,-,-,-,-,-,16.74%,-1.98%,-15.07%,-24.93%,-26.28%,126.15%,229.75%,310.31%,-,71.19%,31.24%,-,-,Upgrade
47,Net Cash Per Share,11.56,15.75,19.22,-,-,-,-,17.32,17.01,17.06,15.97,15.16,17.09,19.78,21.07,24.40,10.13,15.53,6.58,-,Upgrade
48,Filing Date Shares Outstanding,308.54,310.69,309.83,-,312.55,313.56,314.53,314.69,311.84,316.79,301.73,306.39,292.38,302.6,301.09,259.53,236.25,118.15,237.64,254.83,Upgrade
49,Total Common Shares Outstanding,308.54,310.69,309.83,-,312.55,313.56,314.53,314.69,311.84,304.86,301.73,306.39,292.38,302.6,301.09,259.53,236.25,118.15,237.64,254.83,Upgrade
50,Working Capital,5502,6043,5735,-,-,-,-,5032,4766,4284,4059,4015,5123,5716,5743,5608,1744,1677,1607,-,Upgrade
51,Book Value Per Share,30.87,31.21,29.28,-,-,-,-,24.81,24.08,23.06,22.55,21.99,22.38,22.01,22.39,24.37,-8.00,-2.85,-1.84,-,Upgrade
52,Tangible Book Value,9493,9663,9035,-,-,-,-,7753,7451,6969,6730,6663,6466,6578,6403,6254,-1962,-405.72,-460.9,-,Upgrade
53,Tangible Book Value Per Share,30.77,31.10,29.16,-,-,-,-,24.64,23.89,22.86,22.33,21.75,22.12,21.74,22.10,24.10,-8.31,-3.43,-2.13,-,Upgrade
54,Buildings,-,-,-,-,-,-,-,-,-,242.64,-,242.64,-,-,-,-,-,-,-,-,Upgrade
55,Machinery,-,-,-,-,-,-,-,-,-,121.97,-,90.65,-,84.87,-,-,-,81.77,-,-,Upgrade
56,Construction In Progress,-,-,-,-,-,-,-,-,-,58.8,-,33.79,-,-,-,-,-,-,-,-,Upgrade
57,Leasehold Improvements,-,-,-,-,-,-,-,-,-,129.4,-,91.42,-,75.52,-,-,-,73.12,-,-,Upgrade
