,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,4523,4035,3724,-,3791,3252,2954,2494,2772,2318,2341,2773,2654,2472,2229,2298,2072,1553,1633,2804,Upgrade
1,Revenue Growth (YoY),19.29%,24.08%,26.04%,-,36.74%,40.32%,26.19%,-10.04%,4.46%,-6.26%,5.01%,20.68%,28.09%,59.18%,36.51%,-18.05%,-30.67%,-38.27%,-,-,Upgrade
2,Cost of Revenue,2493,2262,2107,-,2207,1957,1792,1497,1784,1546,1635,1910,1926,1833,1603,1655,1550,1174,1105,1916,Upgrade
3,Gross Profit,2030,1773,1616,-,1584,1296,1162,997.08,988.58,771.9,706.52,862.9,728.44,639.07,626.47,642.77,522.38,379.43,528.47,887.35,Upgrade
4,"Selling, General & Admin",1233,1053,887.37,-,811.44,643.45,594.22,563.06,548.97,539.52,560.72,606.23,552.08,482.96,466,529.78,538.87,449.12,451.3,567.57,Upgrade
5,Other Operating Expenses,-42.09,1.95,-18.47,-,-14.39,-5.68,-4.07,-14.91,-18.15,38.47,-2.8,-30.65,-45.4,39.09,-7.12,34.53,-35.99,-15.62,11.02,-24.11,Upgrade
6,Operating Expenses,1177,1058,869.56,-,795.39,637.31,585.82,551.32,531.37,582.16,563.6,582.13,519.23,513.37,471,575.73,508.85,430.4,467.07,557.57,Upgrade
7,Operating Income,852.56,715.15,746.9,-,788.31,658.34,575.92,445.76,457.21,189.75,142.92,280.77,209.22,125.7,155.47,67.04,13.53,-50.97,61.4,329.78,Upgrade
8,Interest Expense,-17.23,-24.69,-15.91,-,-11.48,-9.63,-8.65,-9.16,-7.18,-7.99,-8.14,-8.46,-8.81,-8.1,-6.41,-6.76,-7.1,-10.73,-7.06,-7.22,Upgrade
9,Interest & Investment Income,25.07,52.08,40.89,-,69.37,74.34,33.73,32.43,32.26,90.96,12.74,13.38,13.06,36.26,33,28.84,9.17,35,5.22,7.7,Upgrade
10,Earnings From Equity Investments,2.01,0.18,0.12,-,-,-,-,-,-,-,-,-0.27,-7.89,-3.19,-0.83,-,-,-,-,-,Upgrade
11,Currency Exchange Gain (Loss),-,-12.39,-,-,-,54.91,-,1.8,52.3,14.04,-,-15.8,4.3,-10.07,-18.75,-69.7,-15.67,14.19,-,-,Upgrade
12,Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1625,-1.33,153.06,-493.06,Upgrade
13,EBT Excluding Unusual Items,862.41,730.33,772,-,846.2,777.95,601,470.83,534.58,286.76,147.52,269.62,209.87,140.62,162.49,19.42,-1625,-13.84,212.62,-162.8,Upgrade
14,Gain (Loss) on Sale of Investments,-,14.15,-,-,-,-7.53,-,-,-,5.71,-,-,-,1.89,0.64,0.44,-,-1.47,-,-,Upgrade
