,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,5943,5612,5833,5918,6039,-,-,-,-,-,-,-,-,-,-,-
1,Enterprise Value,5713,5350,5634,6327,6448,-,-,-,-,-,-,-,-,-,-,-
2,Last Close Price,55.01,51.93,53.98,54.62,55.74,-,-,-,-,-,-,-,-,-,-,-
3,PE Ratio,112.47,109.80,101.07,76.39,76.65,-,-,-,-,-,-,-,-,-,-,-
4,Forward PE,112.27,79.92,59.34,-,-,-,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,8.49,8.29,8.14,7.35,7.09,-,-,-,-,-,-,-,-,-,-,-
6,PB Ratio,4.41,4.05,4.24,4.28,4.40,-,-,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,4.21,4.21,4.41,4.48,4.61,-,-,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,258.75,-,129.36,-,635.90,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,195.27,195.27,108.94,-,311.17,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,8.44,7.90,7.86,7.86,7.57,-,-,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,94.73,81.81,80.54,60.88,55.88,-,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,142.99,114.82,110.49,74.04,66.65,-,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,248.74,-,124.93,-,679.02,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.22,0.22,0.26,0.25,0.31,0.60,-,0.64,0.64,-,-,0.69,0.69,0.69,0.63,0.63
15,Debt / EBITDA Ratio,4.96,2.73,7.01,4.54,10.44,3.35,-,3.37,23.37,-,-,3.27,3.92,3.92,2.83,2.83
16,Debt / FCF Ratio,13.03,-,7.86,-,45.04,-5.41,-,-,21.16,-,-,-,-,-,-,-
17,Asset Turnover,0.28,0.26,0.31,0.35,-,-,-,-,-,-,-,0.44,0.44,0.52,-,
18,Inventory Turnover,1.13,0.98,0.91,1.27,1.36,-,-,-,-,-,-,-,0.98,1.01,1.16,-
19,Quick Ratio,2.28,2.28,2.12,1.98,1.81,1.07,-,-,0.84,-,-,-,0.81,0.81,0.85,0.85
20,Current Ratio,2.90,2.90,2.69,2.47,2.25,1.49,-,-,1.36,-,-,-,1.30,1.30,1.35,1.35
21,Return on Equity (ROE),2.37%,4.51%,2.81%,6.41%,-,-,7.50%,-,-,-,16.30%,11.27%,11.60%,16.93%,-,
22,Return on Assets (ROA),2.56%,0.67%,1.53%,0.36%,-,-,-,-,-,-,-,3.05%,3.11%,4.16%,-,
23,Return on Capital (ROIC),3.34%,0.88%,2.06%,0.53%,-,-,6.09%,-,-,-,6.52%,5.10%,5.33%,7.34%,-,
24,Return on Capital Employed (ROCE),2.51%,2.93%,3.22%,5.46%,6.24%,10.25%,-,-,-,-,-,-,13.38%,10.49%,7.44%,3.72%
25,Earnings Yield,0.86%,0.91%,0.99%,1.31%,1.30%,-,-,-,-,-,-,-,-,-,-,-
26,FCF Yield,0.39%,0.41%,0.77%,-1.25%,0.16%,-,-,-,-,-,-,-,-,-,-,-
27,Dividend Yield,0.24%,-,0.28%,-,0.24%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,47.98%,23.65%,113.52%,26.38%,17.96%,20.16%,9.12%,28.94%,25.12%,-,-,-,58.51%,58.51%,18.78%,18.78%
29,Buyback Yield / Dilution,-28.83%,-26.04%,-29.81%,-37.61%,-21.84%,-2.18%,-,-,2.39%,1.23%,-,-,-,-,-,-
30,Total Shareholder Return,-28.59%,-26.04%,-29.53%,-37.61%,-21.61%,-2.18%,-,-,2.39%,1.23%,-,-,-,-,-,-
