,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,113.94,203.57,592.27,753.43,63.77,-,-,83.78,-,-,-,85.97,85.97,70.95,70.95
1,Trading Asset Securities,452.98,451.57,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,566.91,655.14,592.27,753.43,63.77,-,83.78,83.78,-,-,85.97,85.97,85.97,70.95,70.95
3,Cash Growth,788.98%,-,606.91%,799.26%,-,-,-2.54%,-2.54%,-,-,21.16%,-,-,-,-
4,Accounts Receivable,815.71,773.74,899.45,835.9,936.42,-,-,744.74,-,-,-,670.21,670.21,653.9,653.9
5,Other Receivables,3.13,2.82,4.59,6.3,4.35,-,-,0.69,-,-,-,0.54,0.54,3.73,3.73
6,Receivables,818.84,776.56,904.04,842.21,940.77,-,-,745.43,-,-,-,670.74,670.75,657.63,657.63
7,Inventory,371.11,382.84,366.64,393.14,390.79,-,-,509.08,-,-,-,448.22,448.22,423.84,423.84
8,Prepaid Expenses,-,-,-,0.31,-,-,-,-,-,-,-,0.02,0.02,0.05,0.05
9,Other Current Assets,4.73,4.97,3.72,2.06,7.7,-,-,8.98,-,-,-,3.49,3.49,2.69,2.69
10,Total Current Assets,1762,1820,1867,1991,1403,-,-,1347,-,-,-,1208,1208,1155,1155
11,"Property, Plant & Equipment",385.3,390.3,398.13,391.46,386.76,-,-,365.26,-,-,-,352.89,352.89,353.25,353.25
12,Long-Term Investments,0.39,0.48,0.51,0.53,0.75,-,-,0.78,-,-,-,0.71,0.71,0.49,0.49
13,Other Intangible Assets,15.98,16.43,16.9,17.38,16.12,-,-,17.1,-,-,-,18.64,18.64,15.35,15.35
14,Long-Term Deferred Tax Assets,33.76,32.47,33.54,31.27,30.99,-,-,27.82,-,-,-,23.29,23.29,22.55,22.55
