,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,161.6,143.7,182.57,186.04,200.48,232.59,229.09,158.2,200.22,217.27,217.27,174.23,174.23,201.09,201.09
1,Other Revenue,-2.72,2.72,-,3.2,-1.85,1.85,-,9.19,-,-,-,0.91,0.91,1.53,1.53
2,Revenue,158.89,146.41,182.57,189.24,198.63,234.43,229.09,167.4,200.22,217.27,217.27,175.14,175.14,202.62,202.62
3,Revenue Growth (YoY),-20.01%,-37.55%,-20.31%,13.05%,-0.80%,7.90%,5.44%,-4.42%,14.32%,7.23%,7.23%,-,-,-,-
4,Cost of Revenue,92.82,85.6,121.02,132.81,108.73,131.08,145.14,114.03,372.19,-,-,110,110,123.33,123.33
5,Gross Profit,66.07,60.81,61.56,56.43,89.9,103.36,83.96,53.37,-171.97,217.27,217.27,65.14,65.14,79.3,79.3
6,"Selling, General & Admin",30.34,30.83,39.39,50.88,41.59,38.89,36.54,38.12,112.7,-,-,38.41,38.41,35.56,35.56
7,Research & Development,11.58,15.5,7.22,13.05,12.57,20.51,9.81,12.49,36.76,-,-,11.03,11.03,9.37,9.37
8,Other Operating Expenses,1.35,0.82,-3.69,2.23,1.21,-1.65,1.88,6.3,-382.77,192.17,192.17,1.01,1.01,1.17,1.17
9,Operating Expenses,43.25,54.72,46.99,53.31,62.7,62.79,58.09,55.08,-220.72,192.17,192.17,45.5,45.5,53.47,53.47
10,Operating Income,22.81,6.09,14.57,3.12,27.2,40.56,25.86,-1.71,48.75,25.1,25.1,19.64,19.64,25.82,25.82
11,Interest Expense,-2.35,-2.56,-2.4,-4.45,-3.14,-3.81,-5.26,-4.31,-13.2,-,-,-3.95,-3.95,-2.46,-2.46
12,Interest & Investment Income,0.25,3.38,1.17,1.56,0.05,0.04,0.04,0.13,0.12,-,-,0.03,0.03,0.1,0.1
13,Earnings From Equity Investments,0.05,-0.03,-0.02,0.04,0.03,0.04,-0.07,-0.07,0.07,-,-,0.11,0.11,0.03,0.03
14,Other Non Operating Income (Expenses),-0.25,-0.42,-0.22,0.38,-0.27,-0.38,-0.21,-0.02,-0.41,0.16,0.16,-0.04,-0.04,-0.14,-0.14
15,EBT Excluding Unusual Items,20.51,6.47,13.1,0.65,23.87,36.45,20.37,-5.98,35.32,25.26,25.26,15.79,15.79,23.35,23.35
16,Gain (Loss) on Sale of Investments,1.43,1.57,-,-0.27,-0.04,-,-,-,-,-,-,-,-,-,-
