,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Cash & Equivalents,150.2,119.3,108.5,70.9,103.3,193.7,52.2,341.7,137.1,240.4,Upgrade
1,Short-Term Investments,-,202.8,-,127.6,-,2.1,-,2.1,-,2.1,Upgrade
2,Cash & Short-Term Investments,150.2,322.1,108.5,198.5,103.3,195.8,52.2,343.8,137.1,242.5,Upgrade
3,Cash Growth,38.43%,62.27%,5.03%,1.38%,97.89%,-43.05%,-61.93%,41.77%,33.76%,2.32%,Upgrade
4,Accounts Receivable,481.9,224.6,451.7,277.2,487.4,325.4,507.9,270.7,521.7,221.5,Upgrade
5,Other Receivables,71.9,61.7,69.4,54.3,67.4,62.9,71.4,50.7,61.2,48,Upgrade
6,Receivables,553.8,286.3,521.1,331.5,554.8,388.3,579.3,321.4,582.9,269.5,Upgrade
7,Inventory,425.2,348,432,475.5,570,553.3,599.4,414,436.1,372.6,Upgrade
8,Other Current Assets,-,2.6,-,3.3,-,4.8,-,1.1,-,5.2,Upgrade
9,Total Current Assets,1129,959,1062,1009,1228,1142,1231,1080,1156,889.8,Upgrade
10,"Property, Plant & Equipment",233.7,209.8,221.2,237.7,241.8,268.1,289,285.3,235.4,230.8,Upgrade
11,Long-Term Investments,5.1,5,5.3,5.7,5.2,6,7.1,10.2,10.3,11.3,Upgrade
12,Goodwill,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,Upgrade
13,Other Intangible Assets,14.3,14.7,15,15.3,15.7,16,16.4,16.8,17.1,17.7,Upgrade
14,Long-Term Deferred Tax Assets,11.7,8.7,10.4,9.2,13,10.9,12.1,10,8.4,8.3,Upgrade
15,Other Long-Term Assets,6.2,29,5.6,5.6,7.4,7.4,6.9,6.9,-,1.4,Upgrade
16,Total Assets,1436,1262,1355,1318,1547,1487,1599,1446,1463,1195,Upgrade
17,Accounts Payable,322.3,199.8,273.2,252.3,356.9,327.2,403.1,236.7,319.3,195.4,Upgrade
18,Short-Term Debt,-,-,-,-,93.2,-,26.4,-,-,-,Upgrade
19,Current Portion of Leases,19.5,18.4,17,16.6,15.2,20.6,22.5,17.5,16.8,17.9,Upgrade
20,Current Income Taxes Payable,24.1,12.6,13,6.5,13.4,11.9,21.1,17.3,17.8,9,Upgrade
21,Current Unearned Revenue,18.3,7.3,20.4,6,21.6,16.9,20.1,13.4,15.4,14.8,Upgrade
22,Other Current Liabilities,285.6,235.1,269.1,235.8,294.3,251.4,282.9,238.1,297.2,204.8,Upgrade
23,Total Current Liabilities,669.8,473.2,592.7,517.2,794.6,628,776.1,523,666.5,441.9,Upgrade
24,Long-Term Leases,135.8,140.3,149,163.3,164.1,176.5,191.1,188.6,143.3,147.3,Upgrade
25,Long-Term Deferred Tax Liabilities,3.1,3.2,3.8,3.2,3.4,3.4,2.9,2.9,2.6,2.9,Upgrade
26,Other Long-Term Liabilities,-,0.6,-,-,-,-,-,-,-,-,Upgrade
27,Total Liabilities,809.3,617.3,745.5,683.7,962.1,807.9,970.1,714.5,814.3,593.9,Upgrade
28,Common Stock,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,Upgrade
29,Additional Paid-In Capital,164.4,164.4,164.4,163.3,163.3,160.8,160.8,158.3,158.3,156.2,Upgrade
30,Retained Earnings,473.1,507.2,476.5,489.1,466.8,513.7,460.3,570.2,497.7,464.8,Upgrade
31,Comprehensive Income & Other,-23.1,-39.2,-43.8,-30.3,-57.5,-8.3,-5.3,-10,-19.5,-32.1,Upgrade
32,Shareholders' Equity,627,645,609.7,634.7,585.2,678.8,628.4,731.1,649.1,601.5,Upgrade
33,Total Liabilities & Equity,1436,1262,1355,1318,1547,1487,1599,1446,1463,1195,Upgrade
34,Total Debt,155.3,158.7,166,179.9,272.5,197.1,240,206.1,160.1,165.2,Upgrade
35,Net Cash (Debt),-5.1,163.4,-57.5,18.6,-169.2,-1.3,-187.8,137.7,-23,77.3,Upgrade
36,Net Cash Growth,-,778.49%,-,-,-,-,-,78.14%,-,-67.38%,Upgrade
37,Net Cash Per Share,-0.02,0.65,-0.23,0.07,-0.67,-0.01,-0.74,0.55,-0.09,0.31,Upgrade
38,Filing Date Shares Outstanding,252.94,252.58,252.58,252.43,252.66,252.11,252.24,251.76,252.02,251.47,Upgrade
39,Total Common Shares Outstanding,252.94,252.58,252.58,252.43,252.66,252.11,252.24,251.76,252.02,251.47,Upgrade
40,Working Capital,459.4,485.8,468.9,491.6,433.5,514.2,454.8,557.3,489.6,447.9,Upgrade
41,Book Value Per Share,2.48,2.55,2.41,2.51,2.32,2.69,2.49,2.90,2.58,2.39,Upgrade
42,Tangible Book Value,576.6,594.2,558.6,583.3,533.4,626.7,575.9,678.2,595.9,547.7,Upgrade
43,Tangible Book Value Per Share,2.28,2.35,2.21,2.31,2.11,2.49,2.28,2.69,2.36,2.18,Upgrade
44,Land,-,18.7,-,19.5,-,20.3,-,20.4,-,8.4,Upgrade
45,Buildings,-,39.7,-,40.6,-,41.7,-,41.1,-,40.4,Upgrade
46,Machinery,-,583.9,-,576,-,571.8,-,553.4,-,512.3,Upgrade
47,Construction In Progress,-,6.9,-,6.9,-,6.9,-,6.9,-,6.9,Upgrade
48,Leasehold Improvements,-,35.8,-,34.7,-,35.9,-,30.9,-,28.6,Upgrade
