,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,239,418,577,714,682,682,640,661,630,567,661,Upgrade
1,Market Cap Growth,-41.47%,-41.47%,-15.38%,4.62%,6.56%,3.17%,1.67%,16.67%,-4.76%,-10.00%,-17.11%,Upgrade
2,Enterprise Value,447,496,503,510,175,111,11,248,143,156,231,Upgrade
3,Last Close Price,0.11,0.20,0.28,0.34,0.33,0.33,0.30,0.32,0.30,0.27,0.32,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,-,4.31,-52.37,-,Upgrade
5,PS Ratio,0.15,0.26,0.35,0.44,0.39,0.39,0.40,0.41,0.41,0.34,0.35,Upgrade
6,PB Ratio,0.13,0.23,0.29,0.32,0.29,0.27,0.24,0.23,0.22,0.23,0.26,Upgrade
7,P/TBV Ratio,0.23,0.23,0.29,0.32,0.29,0.27,0.24,0.23,0.22,0.23,0.26,Upgrade
8,P/OCF Ratio,-,-,-,12.96,26.89,-6.04,-,-,-,-,-,Upgrade
9,EV/Sales Ratio,0.27,0.30,0.30,0.31,0.10,0.06,0.01,0.16,0.09,0.09,0.12,Upgrade
10,EV/FCF Ratio,-1.28,-,-,-,-,-,-,-,-,-,-,Upgrade
11,Debt / Equity Ratio,0.33,0.33,0.22,0.18,0.18,0.10,0.10,0.05,0.10,0.25,0.18,Upgrade
12,Earnings Yield,-171.69%,-98.36%,-62.61%,-24.51%,-22.23%,-45.10%,-52.04%,5.91%,23.18%,-1.91%,-8.27%,Upgrade
13,FCF Yield,-146.33%,-83.83%,-47.90%,-53.01%,-38.31%,-34.12%,-45.95%,-41.24%,-43.35%,-58.40%,-44.41%,Upgrade
