,Fiscal Quarter,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,+17 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+17 Quarters
0,Cash & Equivalents,68166,-,1318,11988,-,4769,4204,5123,36183,-,2053,-,13052,-,2773,1617,11395,1336,1607,3310,Upgrade
1,Short-Term Investments,18000,-,18000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,86166,19318,19318,11988,4769,4769,4204,5123,36183,-,2053,13052,13052,2773,2773,1617,11395,1336,1607,3310,Upgrade
3,Cash Growth,1706.98%,305.12%,359.51%,134.02%,-86.82%,-,104.76%,-60.75%,177.23%,-,-25.95%,707.05%,14.54%,107.52%,72.57%,-51.15%,459.18%,-89.41%,-94.47%,-73.32%,Upgrade
4,Accounts Receivable,133771,-,78872,75531,-,199281,215005,111586,119227,-,80890,-,106557,-,160526,116396,90318,108889,82318,30909,Upgrade
5,Other Receivables,5449,-,4430,9768,-,4464,6970,6626,5066,-,5984,-,8988,-,8302,8159,7452,5953,4502,4288,Upgrade
6,Receivables,139220,-,83302,85299,-,203746,221976,118212,124292,-,86874,-,115545,-,168828,124556,97770,114841,86820,35197,Upgrade
7,Inventory,86386,-,150722,178511,-,28145,28598,116659,61144,-,83286,-,34767,-,10941,66074,28729,20636,47821,108740,Upgrade
8,Prepaid Expenses,119.15,-,65.84,53.23,-,4239,83.89,66.23,95.84,-,70.65,-,5475,-,246.67,4386,6441,151.53,38.42,38.22,Upgrade
9,Other Current Assets,30362,-,26277,21352,-,31900,28298,22032,31026,-,20973,-,25116,-,32432,26900,34416,27473,22652,16552,Upgrade
10,Total Current Assets,342254,-,279685,297203,-,272799,283160,262092,252741,-,193257,-,193955,-,215221,223532,178752,164437,158938,163837,Upgrade
11,"Property, Plant & Equipment",201831,-,199440,195038,-,192132,194455,193605,200282,-,204586,-,216718,-,220512,220479,229096,235089,236447,236446,Upgrade
12,Other Intangible Assets,1247,-,1251,1251,-,1256,1258,1258,1262,-,1265,-,1269,-,1272,1272,1276,1278,1280,1280,Upgrade
13,Other Long-Term Assets,3319,-,2696,2564,-,2666,2639,2466,2111,-,2077,-,2334,-,2573,2507,2773,2660,2253,2250,Upgrade
14,Total Assets,548652,-,483073,496056,-,468852,481512,459421,456396,-,401185,-,414277,-,439579,447790,411897,403465,398917,403812,Upgrade
15,Accounts Payable,33156,-,5546,37131,-,16998,19564,22159,25627,-,2216,-,16528,-,18904,28482,17858,7798,5594,11866,Upgrade
16,Accrued Expenses,7240,-,2181,11505,-,2035,4115,10769,9979,-,3239,-,2299,-,6718,10739,1746,3885,1295,3973,Upgrade
17,Short-Term Debt,227105,-,204751,197540,-,189886,189886,189886,169892,-,169446,-,165194,-,179091,175841,162997,161914,161998,173217,Upgrade
18,Current Income Taxes Payable,2213,-,2567,696.91,-,12391,13493,9430,-,-,6117,-,7657,-,7634,7878,5273,6567,5720,1252,Upgrade
19,Current Unearned Revenue,83.64,-,334.55,460,-,209.09,334.55,334.55,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
20,Other Current Liabilities,9908,-,12058,9393,-,8240,12422,5178,37567,-,2772,-,1695,-,3246,1576,772.01,303.9,1699,13409,Upgrade
21,Total Current Liabilities,279705,-,227437,256726,-,229758,239815,237757,243065,-,183791,-,193372,-,215593,224516,188647,180468,176306,203718,Upgrade
22,Long-Term Debt,22828,-,27828,30328,-,35328,37828,40328,42828,-,47828,-,57828,-,60828,62828,62828,63328,63828,41828,Upgrade
23,Total Liabilities,302533,-,255265,287054,-,265086,277643,278085,285893,-,231619,-,251200,-,276421,287344,251475,243796,240134,245546,Upgrade
24,Common Stock,50700,-,50700,50700,-,50700,50700,50700,50700,-,50700,-,50700,-,50700,50700,50700,50700,50700,50700,Upgrade
25,Additional Paid-In Capital,2610,-,2610,2610,-,2610,2610,2610,2610,-,2610,-,2610,-,2610,2610,2610,2610,2610,2610,Upgrade
26,Retained Earnings,183908,-,166597,146295,-,140138,146198,122464,110021,-,108321,-,101127,-,100811,97462,96586,96222,100337,99820,Upgrade
27,Comprehensive Income & Other,8901,-,7901,9397,-,10319,4361,5562,7172,-,7936,-,8639,-,9037,9674,10527,10136,5136,5136,Upgrade
28,Shareholders' Equity,246119,227808,227808,209002,203766,203766,203869,181336,170503,-,169566,163077,163077,163157,163157,160446,160423,159669,158783,158267,Upgrade
29,Total Liabilities & Equity,548652,-,483073,496056,-,468852,481512,459421,456396,-,401185,-,414277,-,439579,447790,411897,403465,398917,403812,Upgrade
30,Total Debt,249933,232579,232579,227868,225214,225214,227714,230214,212720,-,217274,223022,223022,239919,239919,238669,225825,225242,225826,215045,Upgrade
31,Net Cash (Debt),-163767,-213261,-213261,-215880,-220446,-220446,-223510,-225091,-176537,-,-215221,-209970,-209970,-237146,-237146,-237052,-214430,-223906,-224219,-211735,Upgrade
32,Net Cash Per Share,-32303.13,-42065.52,-42058.85,-42576.14,-,-43622.68,-44081.85,-44394.33,-,-,-42476.36,-37259.12,-37091.38,-42097.49,-46742.34,-42149.76,-38305.27,-44233.53,-44255.52,-41616.93,Upgrade
33,Filing Date Shares Outstanding,5.07,5.07,5.07,5.07,-,5.05,5.07,5.07,-,5.09,5.07,5.64,5.66,5.63,5.07,5.62,5.6,5.06,5.07,5.09,Upgrade
34,Total Common Shares Outstanding,5.07,5.07,5.07,5.07,-,5.05,5.07,5.07,-,5.09,5.07,5.64,5.66,5.63,5.07,5.62,5.6,5.06,5.07,5.09,Upgrade
35,Working Capital,62549,-,52249,40477,-,43041,43345,24335,9676,-,9466,-,583.2,-,-372.5,-983.74,-9895,-16031,-17368,-39881,Upgrade
36,Book Value Per Share,48544.13,44927.72,44927.72,41219.61,40322.11,40322.11,40208.18,35764.48,-,-,33465.81,28807.59,28807.59,32158.87,32158.87,28528.69,28657.48,31543.11,31340.04,31107.67,Upgrade
37,Tangible Book Value,244871,226557,226557,207751,202510,202510,202611,180078,169241,-,168301,161808,161808,161885,161885,159174,159147,158391,157504,156987,Upgrade
38,Tangible Book Value Per Share,48298.10,44681.01,44681.01,40972.90,40073.50,40073.50,39960.04,35516.34,-,-,33216.09,28583.44,28583.44,31908.06,31908.06,28302.43,28429.52,31290.66,31087.46,30856.15,Upgrade
39,Construction In Progress,8122,-,21170,16804,-,2230,83.88,-,2178,-,61.85,-,3827,-,78.93,45.27,45.27,1776,35.52,34.75,Upgrade
