,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,38,148.06,359.82,310.95,444.58,592.85,376.22,838.04,927.7,707.28,Upgrade
1,Trading Asset Securities,-,-,-,-,-,-,-,-,1.65,24.89,Upgrade
2,Cash & Short-Term Investments,38,148.06,359.82,310.95,444.58,592.85,376.22,838.04,929.35,732.17,Upgrade
3,Cash Growth,-89.44%,-52.38%,-19.06%,-47.55%,18.17%,-29.26%,-59.52%,14.46%,-23.33%,55.74%,Upgrade
4,Accounts Receivable,107.97,95.43,66.33,46.52,31.08,20,21.44,33.62,47.31,30.36,Upgrade
5,Other Receivables,502.24,489.16,447.96,480.99,1050,997.93,1971,781.75,1439,724.05,Upgrade
6,Receivables,610.2,584.59,514.29,527.51,1081,1018,1992,815.37,1486,754.41,Upgrade
7,Inventory,11637,11509,12913,13318,16746,16211,15226,14125,11520,8850,Upgrade
8,Prepaid Expenses,206.47,200.3,279.39,300.94,414.83,520.03,-,390.88,-,605.22,Upgrade
9,Other Current Assets,476.94,526.42,506.1,796.93,798.62,963.67,597.21,1070,443.85,486.3,Upgrade
10,Total Current Assets,12969,12968,14573,15255,19485,19305,18192,17240,14379,11428,Upgrade
11,"Property, Plant & Equipment",10132,10282,10651,10792,10674,10627,10530,9609,8683,8505,Upgrade
12,Long-Term Deferred Tax Assets,211.44,156.51,80.95,74.6,56.37,56.37,35.51,29.23,48.81,62.12,Upgrade
13,Other Long-Term Assets,-,-,-,-,-,-,-,230.57,343.52,279.86,Upgrade
14,Total Assets,23312,23407,25305,26121,30216,29989,28757,27108,23454,20275,Upgrade
15,Accounts Payable,793.92,855.08,509.77,761.79,783.16,877.93,620.6,1487,863.19,864.7,Upgrade
16,Accrued Expenses,835.89,142.42,-,110.68,-,58.76,-,35.35,-,22.72,Upgrade
17,Short-Term Debt,1782,593.79,99.63,250.72,99.63,543.66,138.62,250.45,99.63,99.63,Upgrade
18,Current Portion of Long-Term Debt,5754,3800,2859,1934,1590,1799,1124,2958,2092,619.49,Upgrade
19,Current Portion of Leases,-,-,-,-,-,-,0.1,0.77,1.71,2.5,Upgrade
20,Current Income Taxes Payable,586.57,586.56,480.34,482.27,412.85,444.09,365.67,323.46,285.28,153.55,Upgrade
21,Current Unearned Revenue,6454,6254,8187,8977,11251,10271,8075,7635,6710,6553,Upgrade
22,Other Current Liabilities,242.26,2004,1814,1196,2198,1746,2474,1371,1584,2059,Upgrade
23,Total Current Liabilities,16449,14235,13949,13712,16335,15741,12798,14061,11635,10375,Upgrade
24,Long-Term Debt,1129,3245,4777,5934,7245,7641,9216,6541,6059,4380,Upgrade
25,Long-Term Leases,-,-,-,-,-,-,-,0.09,0.19,0.61,Upgrade
26,Long-Term Deferred Tax Liabilities,1292,1317,1397,1395,1404,1390,1389,1369,1250,1226,Upgrade
27,Other Long-Term Liabilities,65.77,-,-,6.18,12.98,112.07,186.76,230.8,303.25,293.98,Upgrade
28,Total Liabilities,18936,18798,20122,21047,24996,24883,23591,22202,19247,16275,Upgrade
29,Common Stock,42.89,42.89,42.89,42.89,42.89,42.89,42.88,42.88,42.88,42.88,Upgrade
30,Additional Paid-In Capital,833.7,833.7,833.7,833.7,833.7,833.7,833.36,833.36,833.36,833.36,Upgrade
31,Retained Earnings,2662,2952,3498,3416,3494,3374,3412,3204,2880,2783,Upgrade
32,Comprehensive Income & Other,622.3,564.08,551.61,588.84,592.06,585.37,600.96,593.01,285.37,286.27,Upgrade
33,Total Common Equity,4161,4392,4927,4882,4963,4836,4890,4673,4042,3946,Upgrade
34,Minority Interest,215.54,217.08,256.18,192.71,257.02,269.61,277.1,233.9,165.42,53.97,Upgrade
35,Shareholders' Equity,4377,4609,5183,5074,5220,5106,5167,4907,4207,4000,Upgrade
36,Total Liabilities & Equity,23312,23407,25305,26121,30216,29989,28757,27108,23454,20275,Upgrade
37,Total Debt,8666,7639,7735,8118,8935,9983,10479,9750,8253,5102,Upgrade
38,Net Cash (Debt),-8628,-7491,-7375,-7807,-8490,-9390,-10103,-8912,-7323,-4370,Upgrade
39,Net Cash Per Share,-1.70,-1.47,-1.45,-1.24,-1.35,-1.49,-1.60,-1.18,-1.43,-0.69,Upgrade
40,Filing Date Shares Outstanding,5088,5088,5088,5088,5088,5088,5087,5087,5087,5087,Upgrade
41,Total Common Shares Outstanding,5088,5088,5088,5088,5088,5088,5087,5087,5087,5087,Upgrade
42,Working Capital,-3480,-1267,623.75,1542,3150,3565,5393,3179,2744,1053,Upgrade
43,Book Value Per Share,0.82,0.86,0.97,0.96,0.98,0.95,0.96,0.92,0.79,0.78,Upgrade
44,Tangible Book Value,4161,4392,4927,4882,4963,4836,4890,4673,4042,3946,Upgrade
45,Tangible Book Value Per Share,0.82,0.86,0.97,0.96,0.98,0.95,0.96,0.92,0.79,0.78,Upgrade
46,Land,-,56.41,-,56.29,-,53.29,-,53.29,-,-,Upgrade
47,Buildings,-,-,-,-,-,-,-,-,-,12.14,Upgrade
48,Machinery,-,33.55,-,34.39,-,41.16,-,40.78,-,48.95,Upgrade
49,Leasehold Improvements,-,12.17,-,12.2,-,20.01,-,17.79,-,37.17,Upgrade
