,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,5328,5061,4370,3274,3690,5908,5857,7256,7129,6766,9058,-,-,-,-,-,-
1,Market Cap Growth,-14.33%,-14.33%,-25.40%,-54.88%,-48.24%,-12.69%,-35.33%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4610,4342,3610,2459,2604,4822,4653,5976,5819,5457,9163,-,-,-,-,-,-
3,Last Close Price,16.34,15.52,13.40,10.04,11.00,17.61,17.46,21.63,21.25,20.17,21.60,-,-,-,-,-,-
4,PE Ratio,116.71,110.27,228.74,-713.90,-144.02,-,-,-,-,203.06,217.58,-,-,-,-,-,-
5,Forward PE,28.17,29.85,29.13,25.10,12.64,23.25,27.07,40.62,35.42,-,-,-,-,-,-,-,-
6,PS Ratio,11.19,10.57,9.86,8.11,10.73,19.12,18.47,22.13,19.94,17.11,19.27,-,-,-,-,-,-
7,PB Ratio,3.44,2.66,2.30,1.70,1.88,2.95,2.93,3.64,3.59,3.41,4.60,-,-,-,-,-,-
8,P/TBV Ratio,2.70,2.70,2.33,1.73,1.91,2.98,2.97,3.69,3.63,3.45,4.66,-,-,-,-,-,-
9,P/OCF Ratio,-,-,64.94,66.77,-,126.60,-,-,54.65,56.28,-,-,-,-,-,-,-
10,PEG Ratio,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.36,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,9.63,9.07,8.15,6.10,7.57,15.61,14.67,18.22,16.28,13.80,19.50,-,-,-,-,-,-
12,EV/EBITDA Ratio,37.84,34.18,47.25,61.10,-311.79,-132.22,-,-,-,82.80,114.65,-,-,-,-,-,-
13,EV/EBIT Ratio,80.02,75.38,516.95,-93.23,-37.52,-,-,-,-,308.78,258.46,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.38,0.37,0.29,-,-,0.09
15,Debt / EBITDA Ratio,0.03,0.02,0.03,0.04,0.07,0.36,-,-,-,0.11,0.13,2.91,2.65,1.01,-,-,0.66
16,Asset Turnover,-,0.26,0.24,0.18,0.18,0.18,0.12,0.11,0.20,0.29,0.48,0.52,-,-,-,-,
17,Inventory Turnover,-,-,1.93,2.00,1.58,2.05,2.43,2.40,2.37,3.05,2.13,2.73,2.53,-,-,-,-
18,Quick Ratio,-,-,7.11,8.67,9.65,7.94,19.35,28.17,16.62,14.61,17.89,0.65,0.79,0.84,-,-,1.79
19,Current Ratio,-,-,8.46,10.02,11.40,8.91,21.25,30.12,17.52,15.29,18.93,0.91,1.07,1.21,-,-,2.40
20,Return on Equity (ROE),3.93%,2.45%,2.11%,1.06%,-1.62%,-2.40%,-2.17%,-2.15%,3.06%,4.38%,-2.52%,6.66%,-,-,-,-,
21,Return on Assets (ROA),-,1.74%,1.02%,0.03%,-1.87%,-2.34%,-4.20%,-3.00%,0.15%,2.09%,0.16%,1.40%,-,-,-,-,
22,Return on Capital (ROIC),4.57%,1.84%,1.08%,0.04%,-1.97%,-2.41%,-4.34%,-3.14%,0.16%,2.21%,0.18%,1.67%,-,-,-,-,
23,Return on Capital Employed (ROCE),-,-,0.37%,-1.37%,-3.54%,-,-,-,-,0.89%,1.79%,10.31%,10.24%,10.58%,-,-,1.22%
24,Earnings Yield,0.86%,0.91%,0.44%,-0.14%,-0.69%,-0.70%,-0.31%,0.10%,0.21%,0.49%,0.46%,-,-,-,-,-,-
25,FCF Yield,-,-5.10%,-10.13%,-11.20%,-5.76%,-3.96%,-2.26%,-1.05%,-1.20%,-0.95%,-,-,-,-,-,-,
26,Payout Ratio,0.00%,-,-,-,0.68%,-,-,-,-,0.25%,9.64%,-,20.35%,5.22%,7.71%,-,12.42%
27,Buyback Yield / Dilution,5.33%,23.97%,-39.04%,0.54%,26.06%,-15.21%,6.45%,-68.83%,-37.59%,-74.95%,37.54%,-334.13%,-2.74%,-,-,-,-
28,Total Shareholder Return,5.33%,23.97%,-39.04%,0.54%,26.06%,-15.21%,6.45%,-68.83%,-37.59%,-74.95%,37.54%,-334.13%,-2.74%,-,-,-,-
