,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,197.1,192.96,249.62,191.21,237.1,256.48,218.99,179.69,155.34,81.33,75.36,61.95,-,-,101.79
1,Trading Asset Securities,-,525.56,570.51,569.54,771.44,854.67,953.9,1069,1123,1165,-,-,-,-,-,-
2,Cash & Short-Term Investments,722.66,722.66,763.48,819.16,962.66,1092,1210,1288,1303,1320,81.33,75.36,61.95,-,-,101.79
3,Cash Growth,-24.93%,-33.81%,-36.92%,-36.40%,-26.13%,-17.30%,1388.23%,1609.13%,2003.61%,-,-,-25.96%,-,-,-,-
4,Accounts Receivable,-,127.13,100.9,96.27,84.1,72.29,46.98,49.2,101.99,99.69,74.11,115.08,132.46,-,-,20.96
5,Other Receivables,-,1.55,24.11,3.45,17.16,2.79,5.4,3.15,3.39,3.17,7.38,7.91,7.77,-,-,3
6,Receivables,-,128.68,125.01,99.73,101.26,75.08,52.39,52.35,105.37,102.86,81.48,122.99,140.23,-,-,23.97
7,Inventory,-,135.75,123.74,117.75,94.33,83.58,65.11,60.98,56.27,70.9,60.21,66.36,86.05,-,-,32.39
8,Other Current Assets,-,26.18,14.85,48.51,35.65,31.14,22.2,11.89,9.44,11.47,5.89,3.9,4.16,-,-,10.9
9,Total Current Assets,-,1013,1027,1085,1194,1282,1350,1413,1474,1505,228.92,268.61,292.39,-,-,169.04
10,"Property, Plant & Equipment",-,922.57,912.47,894.35,861.2,690.07,599.88,594.26,547.62,499.92,471.82,431.53,387.99,-,-,154.71
11,Long-Term Investments,-,19.84,19.88,19.93,20,-,-,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,-,24.22,23.92,24.28,23.91,24.04,23.94,24.23,24.54,25.31,25.42,25.6,25.22,-,-,25.06
13,Long-Term Accounts Receivable,-,-,-,-,0.39,-,0.46,-,0.46,-,-,-,-,-,-,-
14,Long-Term Deferred Tax Assets,-,23.55,23.53,22.74,20.88,19.02,19.77,14.9,10.48,5.66,4.96,5.09,4.73,-,-,3.67
15,Long-Term Deferred Charges,-,18.46,13.81,8.47,9.37,10.17,10.89,11.94,13,8.45,7.28,7.18,7.33,-,-,6.6
16,Other Long-Term Assets,-,0.93,5.15,2.15,11.51,38.75,44.53,21.5,22.22,14.98,13.79,14.37,14.81,-,-,101.96
17,Total Assets,-,2023,2026,2057,2141,2064,2050,2080,2093,2060,752.18,752.37,732.46,-,-,461.04
18,Accounts Payable,-,91.87,79.17,66.03,98.84,35.52,21.35,36.02,40.77,36.24,36.48,53.63,84.59,-,-,13.94
19,Accrued Expenses,-,11.6,13.34,16.93,19.27,13.62,9.78,15.97,35.65,15.27,12.24,15.09,26.74,-,-,10.87
20,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,135.34,115.36,60.18,-,-,26.03
21,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,5.13,46.29,40.51,40.06,-,-,-
22,Current Portion of Leases,-,3.27,2.12,3.06,3.42,2.6,1.24,3.16,3.88,-,-,5.44,5.39,-,-,3.74
23,Current Income Taxes Payable,-,11.32,4.9,5.56,7.77,5.26,2.22,10.42,11.43,17.55,13.78,16.71,17.15,-,-,1.13
24,Current Unearned Revenue,-,0.04,0.03,0.02,0.02,0.09,0.05,0.07,0.01,0.09,0.42,0.64,0.89,-,-,0.07
25,Other Current Liabilities,-,1.62,2.92,3.57,4.62,3.22,10.18,15,4.67,5.23,6.1,3.66,6.43,-,-,14.66
26,Total Current Liabilities,-,119.73,102.48,95.18,133.93,60.31,44.82,80.64,96.41,79.52,250.65,251.04,241.44,-,-,70.44
27,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,10.4,20.69,-,-,-
28,Long-Term Leases,-,0.86,2.21,1.43,2.61,3.23,4.81,4.8,5.24,5.66,5.35,6.15,7.09,-,-,5.31
29,Long-Term Unearned Revenue,-,1.37,-,-,1,-,0.25,0.25,0.25,0.03,0.03,0.48,0.9,-,-,-
30,Long-Term Deferred Tax Liabilities,-,-,-,-,-,3.59,6.57,5.61,5.27,5.1,5.94,6.49,7.33,-,-,9.67
31,Other Long-Term Liabilities,-,0.19,0.19,0.22,0.22,0.27,0.27,0.31,0.47,0.71,0.71,0.71,0.71,-,-,-
32,Total Liabilities,-,122.14,104.88,96.82,137.75,67.4,56.73,91.61,107.64,91.02,262.68,275.28,278.15,-,-,85.43
33,Common Stock,-,335.47,335.47,335.47,335.47,335.47,335.47,335.47,335.47,335.47,251.6,251.6,251.6,-,-,251.6
34,Additional Paid-In Capital,-,1717,1716,1716,1714,1699,1684,1669,1654,1653,271.74,256.63,241.52,-,-,197.01
35,Retained Earnings,-,-20.02,-31.72,-41.98,-47.24,-39.15,-27.17,-16.39,-5.68,-20.83,-34.29,-31.25,-39.01,-,-,-73.02
36,Treasury Stock,-,-133.1,-99.95,-50,-,-,-,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,-,0.9,0.82,0.85,0.86,0.96,1,0.78,0.85,0.88,0.45,0.11,0.2,-,-,0.01
38,Shareholders' Equity,1901,1901,1921,1960,2003,1996,1993,1988,1985,1969,489.5,477.09,454.32,-,-,375.61
39,Total Liabilities & Equity,-,2023,2026,2057,2141,2064,2050,2080,2093,2060,752.18,752.37,732.46,-,-,461.04
40,Total Debt,4.13,4.13,4.33,4.49,6.03,5.83,6.06,7.97,9.12,10.79,186.98,177.87,133.41,-,-,35.09
41,Net Cash (Debt),718.53,718.53,759.15,814.67,956.63,1086,1204,1280,1294,1309,-105.65,-102.51,-71.46,-,-,66.7
42,Net Cash Growth,-24.89%,-33.83%,-36.97%,-36.36%,-26.08%,-17.06%,-,-,-,-,-,-,-,-,-,-
43,Net Cash Per Share,2.47,1.79,2.12,3.10,2.50,3.77,3.35,3.60,3.90,4.25,-0.50,-0.40,-0.38,-,-,0.27
44,Filing Date Shares Outstanding,290.5,400.3,326.09,326.09,335.47,335.47,335.47,335.47,335.47,335.47,251.6,251.6,251.6,492.7,49.04,251.6
45,Total Common Shares Outstanding,290.5,400.3,326.09,329.87,335.47,335.47,335.47,335.47,335.47,335.47,251.6,251.6,251.6,492.7,49.04,251.6
46,Working Capital,-,893.55,924.6,989.96,1060,1221,1305,1333,1378,1426,-21.73,17.56,50.95,-,-,98.59
47,Book Value Per Share,4.75,4.75,5.89,5.94,5.97,5.95,5.94,5.93,5.92,5.87,1.95,1.90,1.81,-,-,1.49
48,Tangible Book Value,1876,1876,1897,1936,1979,1972,1969,1964,1960,1943,464.09,451.49,429.1,-,-,350.56
49,Tangible Book Value Per Share,4.69,4.69,5.82,5.87,5.90,5.88,5.87,5.86,5.84,5.79,1.84,1.79,1.71,-,-,1.39
50,Buildings,-,-,653.3,-,635.8,-,183.02,-,182.55,-,-,160.22,155.52,-,-,-
