,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,132.61,145.76,107.54,92.91,92.39,94.3,60.06,57.81,86.47,116.08,78.64,95.9,166.76,111.73,58.33,60.99
1,Other Revenue,-,-13.46,13.46,-,4.35,-1.5,1.5,-,18.47,-12.44,12.44,-,12.59,-,-0.33,0.33
2,Revenue,132.61,132.3,121,92.91,96.74,92.8,61.56,57.81,104.94,103.64,91.08,95.9,179.35,111.73,58.01,61.31
3,Revenue Growth (YoY),37.07%,42.57%,96.55%,60.73%,-7.81%,-10.46%,-32.41%,-39.72%,-41.49%,-7.24%,57.02%,56.40%,-,-,-,-
4,Cost of Revenue,-164.98,62.76,60.36,41.86,45.51,45.14,37.82,34.72,48.41,34.89,43.26,48.11,116.84,37.06,15.95,17.56
5,Gross Profit,297.59,69.55,60.64,51.05,51.23,47.66,23.74,23.08,56.53,68.75,47.82,47.78,62.51,74.67,42.06,43.76
6,"Selling, General & Admin",-89.92,30.64,30.4,28.88,42.12,44.44,35.44,32.97,32.55,43.62,39.49,35.87,28.64,33.76,31.51,29.65
7,Research & Development,-63.84,22.95,19.66,21.24,23.58,20.98,23.15,18.16,15.57,11.79,11.76,12.09,10.32,10.11,10.17,9.2
8,Other Operating Expenses,418.76,0.44,2.24,-0.23,0.96,-0.19,0.12,-0.31,7.05,0.33,-1.28,-3.81,2.05,-0.47,0.06,0.35
9,Operating Expenses,262.74,55.45,52.27,50.76,67,66.92,58.4,48.11,55.26,56.99,47.34,43.63,43.45,46.68,41.92,38.97
10,Operating Income,34.85,14.1,8.37,0.29,-15.77,-19.27,-34.66,-25.03,1.27,11.76,0.49,4.16,19.05,28,0.14,4.78
11,Interest Expense,-6.9,-0.29,-1.21,-0.05,-0.04,-0.08,-0.1,-0.1,-0.12,-1.24,-1.9,-1.77,-1.43,-1.26,-0.29,-0.73
12,Interest & Investment Income,0.41,2.35,-,5.69,5.12,20.92,5.61,2.69,1.53,0.69,0.11,0.05,-,1.38,0.26,0.41
13,Currency Exchange Gain (Loss),-,-1.45,1.45,-,3.2,-3.51,3.51,-,7.91,-4.29,4.29,-,-0.2,-,-0.21,0.21
14,Other Non Operating Income (Expenses),-3.29,0.39,-1.37,1.11,-6.7,6.49,2.12,2.43,-12.6,8.92,-2.2,5.91,-0.65,0.52,-0.28,-0.16
15,EBT Excluding Unusual Items,25.07,15.09,7.23,7.05,-14.19,4.56,-23.52,-20.01,-2.01,15.84,0.79,8.35,16.78,28.63,-0.38,4.5
16,Gain (Loss) on Sale of Investments,-5.33,1.63,5.4,-1.7,3.42,-16.24,9.9,6.52,-0.91,2.4,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.7,0.7,0.01,-0.01,-1.29,-,-0.02,-,0.65,0.65,-,-,-0.14,0.12,-,-0.01
18,Asset Writedown,-0.1,0.1,-,-,-,-,-,-,1.25,-1.25,1.25,-1.25,9.75,-9.75,0.02,-0.02
19,Other Unusual Items,1.56,-2.26,0.68,0.02,1.51,-,-,-,16.5,-,-,-,3.49,-,-,-
20,Pretax Income,20.5,15.26,13.32,5.36,-10.55,-11.68,-13.64,-13.49,15.49,17.63,2.05,7.09,29.88,19.01,-0.37,4.47
21,Income Tax Expense,1.83,3.55,3.06,0.1,-2.43,0.3,-2.86,-2.82,0.35,4.16,5.09,-0.66,6.43,4.65,3.43,-0.83
22,Net Income,18.67,11.71,10.25,5.26,-8.12,-11.98,-10.78,-10.67,15.14,13.47,-3.04,7.75,23.45,14.36,-3.8,5.31
23,Net Income to Common,18.67,11.71,10.25,5.26,-8.12,-11.98,-10.78,-10.67,15.14,13.47,-3.04,7.75,23.45,14.36,-3.8,5.31
24,Net Income Growth,-,-,-,-,-,-,-,-,-35.42%,-6.25%,-,46.17%,-,-,-,-
25,Shares Outstanding (Basic),290,400,358,263,382,288,359,356,332,308,213,258,190,493,49,252
26,Shares Outstanding (Diluted),290,400,358,263,382,288,359,356,332,308,213,258,190,493,49,252
27,Shares Change (YoY),-23.97%,39.04%,-0.54%,-26.06%,15.21%,-6.45%,68.83%,37.59%,74.95%,-37.54%,334.13%,2.74%,-,-,-,-
28,EPS (Basic),0.06,0.03,0.03,0.02,-0.02,-0.04,-0.03,-0.03,0.05,0.04,-0.01,0.03,0.12,0.03,-0.08,0.02
29,EPS (Diluted),0.06,0.03,0.03,0.02,-0.02,-0.04,-0.03,-0.03,0.05,0.04,-0.01,0.03,0.12,0.03,-0.08,0.02
30,EPS Growth,-,-,-,-,-,-,-,-,-63.09%,50.09%,-,50.01%,-,-,-,-
31,Free Cash Flow,-,-8.76,-9.51,-95.19,-109.56,-117.38,-91.27,-22.1,-1.03,-49.6,-2.08,-28.46,-5.96,-31.15,-94.78,-94.92
