,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2019,Q4 2018
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018"
0,Last Close Price,12500.00,12200.00,12400.00,11500.00,11695.08,10459.02,11314.75,11034.15,9948.82,7063.82,6253.24
1,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.04,0.04,-,-,1.49,1.48
2,Debt / EBITDA Ratio,0.17,0.11,0.16,0.17,0.17,0.14,0.24,-,-,3.00,-
3,Debt / FCF Ratio,0.03,0.03,0.04,-,-,0.12,-0.51,-,-,-,-
4,Asset Turnover,1.26,0.97,0.78,-,1.55,-,-,-,-,-,
5,Inventory Turnover,24.70,65.22,35.54,20.82,-,36.29,-,-,-,-,-
6,Quick Ratio,1.13,1.13,1.13,1.05,1.05,1.11,1.11,-,-,0.79,0.89
7,Current Ratio,1.30,1.30,1.30,1.42,1.42,1.31,1.31,-,-,1.04,1.07
8,Return on Equity (ROE),9.79%,6.35%,5.13%,-,18.44%,-,-,-,-,-,
9,Return on Assets (ROA),1.92%,1.45%,1.60%,-,4.33%,-,-,-,-,-,
10,Return on Capital (ROIC),7.36%,5.01%,4.89%,-,15.49%,-,-,-,-,-,
11,Return on Capital Employed (ROCE),6.84%,7.69%,10.67%,12.45%,10.76%,8.84%,8.65%,-,-,15.24%,4.96%
12,Payout Ratio,76.73%,26.89%,42.10%,120.29%,120.29%,47.31%,75.85%,598.37%,598.37%,-,-
13,Buyback Yield / Dilution,-23.26%,-19.38%,0.47%,-61.73%,-61.73%,-67.58%,-100.77%,-,-,-,-
14,Total Shareholder Return,-13.51%,-19.38%,0.47%,-61.73%,-61.73%,-67.58%,-100.77%,-,-,-,-
