,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2019,Q4 2018
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018"
0,Revenue,198310,135104,95337,95337,233074,158773,28076,28076,246763,246414
1,Revenue Growth (YoY),-14.92%,-14.91%,239.57%,239.57%,-5.55%,-35.57%,-,-,-,-
2,Cost of Revenue,186559,126889,89101,89101,213448,146758,26193,26193,229070,232531
3,Gross Profit,11750,8215,6235,6235,19625,12015,1883,1883,17692,13882
4,"Selling, General & Admin",6912,4970,3117,3117,9237,6041,1817,1817,7662,8706
5,Operating Expenses,6912,4970,3117,3117,9237,6041,1817,1817,7662,8706
6,Operating Income,4839,3245,3119,3119,10389,5973,65.68,65.68,10030,5177
7,Interest Expense,-4.47,-4.47,-26.53,-26.53,-66.24,-59.19,-163.43,-163.43,-2931,-2917
8,Interest & Investment Income,157.39,96.97,542.58,542.58,626.1,336.34,619.7,619.7,753.18,726.01
9,Other Non Operating Income (Expenses),-24.41,713.26,-1117,-1117,-1481,-785.17,23.97,23.97,-1996,675.6
10,EBT Excluding Unusual Items,4967,4051,2518,2518,9467,5465,545.92,545.92,5856,3661
11,Gain (Loss) on Sale of Investments,-,-1359,-,-,-,-,-,-,-,-
12,Gain (Loss) on Sale of Assets,-,-,-,-,-,375,-,-,-,-
13,Other Unusual Items,-,494.54,-,-,-,44.61,-,-,-,-
14,Pretax Income,4967,3186,2518,2518,9467,5885,545.92,545.92,5856,3661
15,Income Tax Expense,999.99,652.1,503.28,503.28,2022,1241,59.76,59.76,2960,753.74
16,Net Income,3967,2534,2015,2015,7446,4644,486.15,486.15,2896,2908
17,Net Income to Common,3967,2534,2015,2015,7446,4644,486.15,486.15,2896,2908
18,Net Income Growth,-46.72%,-45.43%,314.52%,314.52%,157.09%,59.71%,-,-,-,-
19,Shares Outstanding (Basic),12,12,12,12,10,12,7,7,6,6
20,Shares Outstanding (Diluted),12,12,12,12,10,12,7,7,6,6
21,Shares Change (YoY),19.38%,-0.47%,61.73%,61.73%,67.58%,100.77%,-,-,-,-
22,EPS (Basic),341.00,218.05,173.00,173.00,764.00,397.74,67.50,67.50,498.00,500.00
23,EPS (Diluted),341.00,218.05,173.00,173.00,764.00,397.74,67.50,67.50,498.00,500.00
24,EPS Growth,-55.37%,-45.18%,156.30%,156.30%,53.41%,-20.45%,-,-,-,-
25,Free Cash Flow,91989,91989,-49104,-49104,64763,64763,-38491,-38491,-,-
26,Free Cash Flow Per Share,7906.69,7915.65,-4215.51,-4215.51,6645.30,5546.85,-5344.28,-5344.28,-,-
27,Gross Margin,5.93%,6.08%,6.54%,6.54%,8.42%,7.57%,6.71%,6.71%,7.17%,5.63%
28,Operating Margin,2.44%,2.40%,3.27%,3.27%,4.46%,3.76%,0.23%,0.23%,4.06%,2.10%
29,Profit Margin,2.00%,1.88%,2.11%,2.11%,3.19%,2.92%,1.73%,1.73%,1.17%,1.18%
30,Free Cash Flow Margin,46.39%,68.09%,-51.51%,-51.51%,27.79%,40.79%,-137.10%,-137.10%,-,-
31,EBITDA,5158,3565,3533,3533,10803,6388,538.69,538.69,11261,-
32,EBITDA Margin,2.60%,2.64%,3.71%,3.71%,4.63%,4.02%,1.92%,1.92%,4.56%,-
33,D&A For EBITDA,319.55,319.55,414.28,414.28,414.29,414.29,473.01,473.01,1230,-
34,EBIT,4839,3245,3119,3119,10389,5973,65.68,65.68,10030,5177
35,EBIT Margin,2.44%,2.40%,3.27%,3.27%,4.46%,3.76%,0.23%,0.23%,4.06%,2.10%
36,Effective Tax Rate,20.13%,20.47%,19.98%,19.98%,21.35%,21.09%,10.95%,10.95%,50.55%,20.59%
37,Revenue as Reported,198310,135104,95337,95337,233074,158773,28076,28076,246763,246414
