,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2019,Q4 2018
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018"
0,Cash & Equivalents,231680,231680,39641,39641,142970,142970,-,-,121074,15194
1,Short-Term Investments,1215,1215,13215,13215,16215,16215,-,-,13041,29233
2,Cash & Short-Term Investments,232895,232895,52856,52856,159185,159185,-,-,134115,44427
3,Cash Growth,46.30%,46.30%,-,-,18.69%,258.31%,-,-,-,-
4,Accounts Receivable,101765,101765,95171,95171,158099,158099,-,-,311522,303855
5,Other Receivables,167612,167612,173485,173485,142464,142464,-,-,503717,213343
6,Receivables,269377,269377,268656,268656,300563,300563,-,-,815239,517199
7,Inventory,11443,11443,17120,17120,23529,23529,-,-,83216,79367
8,Prepaid Expenses,27.76,27.76,-,-,-,-,-,-,7.5,7.5
9,Other Current Assets,60327,60327,95020,95020,59150,59150,-,-,218007,34841
10,Total Current Assets,574070,574070,433652,433652,542427,542427,-,-,1250585,675841
11,"Property, Plant & Equipment",8975,8975,7117,7117,7549,7549,-,-,14450,17760
12,Long-Term Investments,6187,6187,6187,6187,8906,8906,-,-,5100,5100
13,Other Intangible Assets,5295,5295,5368,5368,5441,5441,-,-,6025,6171
14,Other Long-Term Assets,34536,34536,34897,34897,35508,35508,-,-,29300,30189
15,Total Assets,629063,629063,487221,487221,599831,599831,-,-,1305460,735061
16,Accounts Payable,93931,93931,70647,70647,109222,109222,-,-,156243,220059
17,Accrued Expenses,106469,106469,79659,79659,92487,92487,-,-,48357,48806
18,Short-Term Debt,2350,2350,2350,2350,6172,6172,-,-,-,-
19,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,134613,137524
20,Current Income Taxes Payable,999.99,999.99,2603,2603,2022,2022,-,-,9276,2608
21,Current Unearned Revenue,933.51,933.51,933.51,933.51,933.51,933.51,-,-,768282,137431
22,Other Current Liabilities,238187,238187,149438,149438,202426,202426,-,-,88914,84269
23,Total Current Liabilities,442871,442871,305630,305630,413263,413263,-,-,1205685,630698
24,Long-Term Debt,-,-,-,-,-,-,-,-,380.5,965.36
25,Long-Term Unearned Revenue,24095,24095,24562,24562,25029,25029,-,-,8897,9830
26,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,259.53
27,Total Liabilities,466966,466966,330192,330192,438292,438292,-,-,1214963,641753
28,Common Stock,116360,116360,116360,116360,116360,116360,-,-,58180,58180
29,Additional Paid-In Capital,16773,16773,16773,16773,16773,16773,-,-,5450,5450
30,Retained Earnings,28963,28963,23895,23895,28405,28405,-,-,26867,29678
31,Shareholders' Equity,162097,162097,157029,157029,161539,161539,-,-,90497,93308
32,Total Liabilities & Equity,629063,629063,487221,487221,599831,599831,-,-,1305460,735061
33,Total Debt,2350,2350,2350,2350,6172,6172,-,-,134994,138490
34,Net Cash (Debt),230545,230545,50506,50506,153013,153013,-,-,-878.49,-94063
35,Net Cash Growth,50.67%,50.67%,-,-,-,-,-,-,-,-
36,Net Cash Per Share,19815.82,19838.28,4335.79,4335.79,15700.50,13105.27,-,-,-151.06,-16174.96
37,Filing Date Shares Outstanding,11.64,11.64,11.65,11.65,9.75,11.68,7.2,7.2,5.82,5.82
38,Total Common Shares Outstanding,11.64,11.64,11.65,11.65,9.75,11.68,7.2,7.2,5.82,5.82
39,Working Capital,131199,131199,128022,128022,129164,129164,-,-,44900,45143
40,Book Value Per Share,13930.63,13930.63,13480.59,13480.59,16575.36,13835.52,-,-,15560.95,16045.18
41,Tangible Book Value,156802,156802,151661,151661,156098,156098,-,-,84472,87137
42,Tangible Book Value Per Share,13475.62,13475.62,13019.80,13019.80,16017.10,13369.54,-,-,14524.98,14984.04
43,Buildings,9778,9778,-,-,9778,9778,-,-,-,-
44,Machinery,50479,50479,-,-,48272,48272,-,-,-,-
