,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,377.47,134.23,72.4,119.34,-
1,Short-Term Investments,0.46,0.57,0.31,0.29,-
2,Cash & Short-Term Investments,377.93,134.8,72.7,119.63,-
3,Cash Growth,419.84%,12.68%,-,-,-
4,Accounts Receivable,227.34,159.88,179.78,101.31,-
5,Other Receivables,3.32,13.82,5.27,25.18,-
6,Receivables,230.66,173.7,185.05,126.49,-
7,Prepaid Expenses,5.06,8.87,5.19,0.61,-
8,Other Current Assets,-,-,0.9,0.9,-
9,Total Current Assets,613.65,317.36,263.84,247.62,-
10,"Property, Plant & Equipment",6.23,9.78,12.61,8.62,-
11,Other Intangible Assets,7.52,8.21,8.59,3.41,-
12,Long-Term Deferred Tax Assets,0.96,0.57,4.66,1.51,-
13,Total Assets,628.35,335.92,289.69,261.16,-
14,Accounts Payable,28.48,30.9,28.88,29.81,-
15,Accrued Expenses,22.63,26.13,22.6,25.38,-
16,Short-Term Debt,-,20,35,75,-
17,Current Portion of Leases,7.33,7.22,7.12,6.35,-
18,Current Income Taxes Payable,8.38,7.77,30.23,22.18,-
19,Current Unearned Revenue,31.32,43.4,50.67,58.92,-
20,Other Current Liabilities,134.27,58.5,46.81,31.33,-
21,Total Current Liabilities,232.41,193.92,221.31,248.98,-
22,Long-Term Leases,0,0.08,7.31,0.06,-
23,Total Liabilities,232.41,194,228.62,249.04,-
24,Common Stock,0,0,0,0,-
25,Retained Earnings,172.21,114.41,47.38,12.09,-
26,Treasury Stock,-4.33,-4.33,-4.33,-,-
27,Comprehensive Income & Other,228.05,31.83,18.01,0.04,-
28,Shareholders' Equity,395.94,141.91,61.07,12.13,-
29,Total Liabilities & Equity,628.35,335.92,289.69,261.16,-
30,Total Debt,7.33,27.31,49.43,81.42,-
31,Net Cash (Debt),370.6,107.49,23.27,38.21,-
32,Net Cash Growth,1492.35%,181.30%,-,-,-
33,Net Cash Per Share,1.85,0.71,0.16,0.25,-
34,Filing Date Shares Outstanding,200.54,200.54,202.16,-,150
35,Total Common Shares Outstanding,200.54,150,150,-,150
36,Working Capital,381.24,123.44,42.53,-1.35,-
37,Book Value Per Share,1.97,0.95,0.41,-,-
38,Tangible Book Value,388.43,133.7,52.48,8.71,-
39,Tangible Book Value Per Share,1.94,0.89,0.35,-,-
40,Machinery,-,27.31,26.4,26.26,-
