,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,819,11351,-,-,-,-
1,Enterprise Value,421,11232,-,-,-,-
2,Last Close Price,4.05,56.60,-,-,-,-
3,PE Ratio,5.34,85.39,-,-,-,-
4,PS Ratio,0.98,15.78,-,-,-,-
5,PB Ratio,1.91,26.68,-,-,-,-
6,P/TBV Ratio,27.20,27.20,-,-,-,-
7,EV/Sales Ratio,0.58,15.61,-,-,-,-
8,EV/EBITDA Ratio,2.48,64.30,-,-,-,-
9,EV/EBIT Ratio,2.61,64.68,-,-,-,-
10,Debt / Equity Ratio,0.02,0.02,0.19,0.81,6.71,-
11,Debt / FCF Ratio,0.09,-,0.37,-,1.01,-
12,Return on Capital Employed (ROCE),37.87%,40.82%,109.74%,201.76%,1094.21%,-
13,Earnings Yield,16.24%,1.18%,-,-,-,-
14,FCF Yield,10.97%,0.79%,-,-,-,-
15,Buyback Yield / Dilution,-16.77%,-33.21%,-0.32%,-,-,-
16,Total Shareholder Return,-16.77%,-33.21%,-0.32%,-,-,-
