,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,337.21,332.34,309.43,289.22,258.65
1,Revenue Growth (YoY),8.98%,14.91%,19.63%,-,-
2,Cost of Revenue,189.56,183.06,176.03,170.42,152.4
3,Gross Profit,147.65,149.28,133.4,118.79,106.25
4,"Selling, General & Admin",64.44,59.49,54.93,47.67,34.31
5,Research & Development,8.65,6.79,6.72,4.65,4.38
6,Other Operating Expenses,-0.18,-2.02,-0.65,-3.23,1.68
7,Operating Expenses,73.41,61.91,64.95,49.28,42.38
8,Operating Income,74.24,87.38,68.45,69.51,63.87
9,Interest Expense,-0.29,-1.06,-1.54,-2.08,-1.39
10,Interest & Investment Income,4.29,-,0.21,-,-
11,Currency Exchange Gain (Loss),-0.03,-0.09,0.17,-,-
12,Other Non Operating Income (Expenses),-0.17,0.59,0.14,-0.3,0.15
13,EBT Excluding Unusual Items,78.04,86.81,67.44,67.13,62.63
14,Other Unusual Items,-4.73,-24.4,-11.97,-2.39,0.26
15,Pretax Income,73.31,62.42,55.47,64.74,62.88
16,Income Tax Expense,15.51,-4.61,20.18,16.92,14.8
17,Earnings From Continuing Operations,57.8,67.03,35.29,47.82,48.09
18,Minority Interest in Earnings,-,-,-,-,-0.04
19,Net Income,57.8,67.03,35.29,47.82,48.05
20,Preferred Dividends & Other Adjustments,0.47,0.66,0.24,-,-
21,Net Income to Common,57.33,66.37,35.05,47.82,48.05
22,Net Income Growth,63.79%,40.16%,-26.56%,-,-
23,Shares Outstanding (Basic),198,150,150,150,150
24,Shares Outstanding (Diluted),200,150,150,150,150
25,Shares Change (YoY),33.21%,0.32%,-,-,-
26,EPS (Basic),0.29,0.44,0.23,0.32,0.32
27,EPS (Diluted),0.29,0.44,0.23,0.32,0.32
28,EPS Growth,22.79%,38.35%,-27.06%,-,-
29,Free Cash Flow,-11.62,95.2,-20.9,90.43,-9.42
30,Free Cash Flow Per Share,-0.06,0.63,-0.14,0.60,-0.06
31,Operating Margin,22.02%,26.29%,22.12%,24.03%,24.69%
32,Profit Margin,17.00%,19.97%,11.33%,16.54%,18.58%
33,Free Cash Flow Margin,-3.44%,28.65%,-6.75%,31.27%,-3.64%
34,EBITDA,74.72,87.85,68.96,70.17,64.48
35,D&A For EBITDA,0.48,0.47,0.51,0.67,0.61
36,EBIT,74.24,87.38,68.45,69.51,63.87
