,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,167.5,150.5,166.13,116.19,128.41,102.64,90.33,88.6,87.18,66.12,80.6,86.98,71.78,76.2,90.7,90.7
1,Other Revenue,-,-,-,-,1.38,-,-,-,2.09,-0.48,0.48,-,1.01,-0.52,0.26,0.26
2,Revenue,167.5,150.5,166.13,116.19,129.79,102.64,90.33,88.6,89.27,65.64,81.08,86.98,72.79,75.68,90.96,90.96
3,Revenue Growth (YoY),29.05%,46.63%,83.92%,31.14%,45.39%,56.37%,11.41%,1.86%,22.65%,-13.27%,-10.87%,-4.38%,-,-,-,-
4,Cost of Revenue,-203.7,69.77,81.08,52.85,61.31,47.69,43.46,40.22,39.54,29.23,35.13,33.87,29.15,29.65,41.32,41.32
5,Gross Profit,371.2,80.73,85.05,63.34,68.48,54.95,46.87,48.38,49.73,36.41,45.95,53.11,43.64,46.03,49.64,49.64
6,"Selling, General & Admin",-30.45,10.58,11.37,8.5,14.44,9.82,11.22,7.24,14.71,7.29,7.7,4.52,9.88,4.55,4.55,4.55
7,Research & Development,-65.08,24.88,20.85,19.35,32.67,19.62,17.65,14.73,26.8,15.65,11.17,10.23,17.97,9.13,6.95,6.95
8,Other Operating Expenses,394.49,-16,4.39,-3.02,2.83,-1.87,-7.49,0.18,-4.02,-2.19,-6.85,-1.03,2.98,-0.28,-1.91,-1.91
9,Operating Expenses,299.05,19.29,36.62,24.89,49.95,27.59,21.29,22.36,37.47,20.57,12.04,13.83,30.87,13.4,9.6,9.6
10,Operating Income,72.15,61.45,48.43,38.45,18.53,27.36,25.59,26.02,12.26,15.84,33.9,39.28,12.77,32.63,40.04,40.04
11,Interest Expense,-44.04,-,-,-,-,-,-,-,-,-,-,-,-,-0.2,-0.09,-0.09
12,Interest & Investment Income,-,16.63,17.44,9.98,20.76,10.03,19.68,8.97,11.4,13.61,7.21,0.71,4.5,0.57,1.67,1.67
13,Currency Exchange Gain (Loss),-,0.94,-0.94,-,-0.35,-1.62,1.62,-,2.37,-1.64,1.64,-,-0.88,0.38,-0.19,-0.19
14,Other Non Operating Income (Expenses),3.95,-2.98,0.11,-0.51,-0.9,0.82,0.6,-0.72,-3.81,3.65,0.26,-0.24,-0.29,0.45,-0.06,-0.06
15,EBT Excluding Unusual Items,32.05,76.03,65.04,47.92,38.04,36.59,47.49,34.27,22.22,31.47,43.01,39.75,16.1,33.82,41.38,41.38
16,Gain (Loss) on Sale of Investments,1.06,-2.24,-3.47,4.65,-6.49,4.96,-5.87,6.04,2.34,0.8,3.28,-,-1.72,1.72,-,-
17,Gain (Loss) on Sale of Assets,-,-,-,-,-0,-,0.01,-,0.04,0,0.02,-,-0.01,0.02,-0,-0
18,Asset Writedown,3.14,-3.14,0.86,-0.86,0.96,-0.96,-,-,0.19,-0.19,-,-,0.8,-0.8,-,-
19,Other Unusual Items,-0.53,-9.44,9.69,0.28,15.34,-,-,-,0.22,-,-,-,3.27,-,-,-
20,Pretax Income,35.73,61.21,72.11,51.99,47.85,40.59,41.62,40.31,25.01,32.08,46.31,39.75,18.45,34.75,41.38,41.38
21,Income Tax Expense,-2.82,-0.58,0.66,1.42,-2.99,-0.22,-1.71,0.46,-1.08,-0.18,0.78,1.62,-0.41,0.17,0.46,0.46
22,Net Income,38.55,61.79,71.46,50.56,50.84,40.82,43.34,39.85,26.09,32.26,45.53,38.12,18.86,34.58,40.91,40.91
23,Net Income to Common,38.55,61.79,71.46,50.56,50.84,40.82,43.34,39.85,26.09,32.26,45.53,38.12,18.86,34.58,40.91,40.91
24,Net Income Growth,-24.17%,51.39%,64.88%,26.87%,94.90%,26.51%,-4.82%,4.54%,38.31%,-6.71%,11.29%,-6.82%,-,-,-,-
25,Shares Outstanding (Basic),92,92,93,92,92,93,92,93,91,93,84,69,70,69,69,69
26,Shares Outstanding (Diluted),92,92,93,92,92,93,92,93,91,93,84,69,70,69,69,69
