,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,24245,14545,12542,10243,10503,11649,10160,12192,8277,7952,6424,6828,-,-,-,-,-
1,Market Cap Growth,24.86%,24.86%,23.45%,-15.98%,26.89%,46.48%,58.16%,78.57%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,23165,13465,11054,8628,8832,9978,8507,10242,6329,6005,4352,6521,-,-,-,-,-
3,Last Close Price,262.87,157.70,135.99,110.90,113.13,125.47,109.44,131.32,88.69,85.21,68.83,73.16,-,-,-,-,-
4,PE Ratio,109.07,65.41,53.45,47.94,56.60,66.62,67.69,86.14,57.58,56.00,47.66,49.80,-,-,-,-,-
5,Forward PE,74.54,51.41,48.74,42.60,43.07,50.27,47.89,60.83,37.34,-,-,-,-,-,-,-,-
6,PS Ratio,40.40,24.23,22.29,19.90,23.93,28.32,27.40,36.52,25.50,24.62,20.96,21.57,-,-,-,-,-
7,PB Ratio,9.68,5.81,5.01,4.19,4.31,4.87,4.34,5.30,3.60,3.53,2.88,3.11,-,-,-,-,-
8,P/TBV Ratio,5.87,5.87,5.06,4.24,4.36,4.93,4.39,5.37,3.61,3.53,2.89,3.12,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,94.33,135.44,133.93,480.86,-,424.05,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,75.80,49.18,76.76,104.62,102.70,276.07,228.50,228.30,-,71.45,-,-,-,-,-
11,PEG Ratio,1.41,1.41,1.41,1.53,1.54,1.80,1.72,-,-,-,-,-,-,-,-,-,-
12,EV/Sales Ratio,38.59,22.43,19.65,16.76,20.12,24.26,22.94,30.68,19.50,18.59,14.20,20.60,-,-,-,-,-
13,EV/EBITDA Ratio,103.91,60.39,65.28,63.79,78.38,99.53,90.52,124.56,70.19,58.19,42.06,54.23,-,-,-,-,-
14,EV/EBIT Ratio,105.07,61.07,66.25,64.98,80.34,102.34,93.24,128.48,71.90,59.29,42.75,54.99,-,-,-,-,-
15,EV/FCF Ratio,-,-,-,-,79.32,116.01,112.14,403.95,-,320.22,-,-,-,-,-,-,-
16,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.01,-,0.03,0.03
17,Debt / EBITDA Ratio,0.01,0.01,0.01,0.03,0.02,0.08,0.04,0.08,0.25,0.13,0.08,0.03,0.02,0.06,-,0.07,0.07
18,Debt / FCF Ratio,-,-,-,-,0.03,0.09,0.06,0.37,-,0.46,-,-,-,0.03,-,0.23,0.46
19,Asset Turnover,-,0.24,0.26,0.19,0.21,0.17,0.15,0.15,0.15,0.11,-,-,-,-,0.89,-,
20,Inventory Turnover,-,-,1.82,2.23,1.30,1.38,1.06,1.02,1.01,1.02,0.86,-,-,-,-,4.52,-
21,Quick Ratio,-,-,23.82,20.87,28.04,18.93,19.33,24.70,23.15,22.26,20.40,21.48,-,4.02,-,7.59,7.59
22,Current Ratio,-,-,31.09,23.41,34.04,21.19,22.17,28.02,25.97,24.58,23.98,23.33,-,5.15,-,9.51,9.51
23,Return on Equity (ROE),6.16%,9.98%,11.71%,8.38%,8.59%,7.03%,7.54%,7.00%,4.66%,5.84%,13.93%,36.18%,-,-,44.46%,-,
24,Return on Assets (ROA),-,6.05%,4.82%,3.85%,1.88%,2.83%,2.67%,2.73%,1.30%,1.71%,-,-,-,-,24.35%,-,
25,Return on Capital (ROIC),7.20%,6.20%,4.95%,3.97%,1.95%,2.94%,2.76%,2.84%,1.36%,1.79%,6.46%,23.09%,-,-,26.41%,-,
26,Return on Capital Employed (ROCE),-,-,6.65%,5.41%,4.50%,4.06%,3.87%,3.43%,3.81%,4.44%,4.56%,5.40%,-,29.63%,-,21.70%,10.85%
27,Earnings Yield,0.92%,1.53%,1.87%,2.09%,1.77%,1.50%,1.48%,1.16%,1.74%,1.79%,2.10%,2.01%,-,-,-,-,-
28,FCF Yield,-,0.10%,0.93%,1.06%,0.74%,0.75%,0.21%,0.23%,0.24%,0.03%,1.12%,-,-,-,-,-,
29,Dividend Yield,0.22%,-,-,-,-,0.49%,-,-,-,0.56%,-,-,-,-,-,-,-
30,Payout Ratio,0.00%,-,-,78.75%,-,-,-,102.30%,-,-,-,89.25%,-,0.32%,0.71%,-,-
31,Buyback Yield / Dilution,0.26%,0.49%,0.58%,-0.82%,0.81%,-1.04%,0.41%,-9.51%,-33.71%,-31.42%,-34.62%,-21.39%,0.05%,-,-,-,-
32,Total Shareholder Return,0.48%,0.49%,0.58%,-0.82%,0.81%,-0.55%,0.41%,-9.51%,-33.71%,-30.85%,-34.62%,-21.39%,0.05%,-,-,-,-
