,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,207.33,499.48,477.44,608.7,208.78,216.58,430.95,519.59,646.53,797.66,-,391.77,-,317.05,317.05
1,Short-Term Investments,-,43.06,90.93,10.81,73.53,-,29.12,-,27.42,-,109.63,-,-,-,-,-
2,Trading Asset Securities,-,831.1,903.26,1130,1071,1467,1417,1546,1468,1306,1170,-,-,-,-,-
3,Cash & Short-Term Investments,1081,1081,1494,1618,1753,1676,1662,1977,2015,1953,2077,391.77,391.77,-,317.05,317.05
4,Cash Growth,-38.30%,-35.46%,-10.14%,-18.13%,-13.00%,-14.17%,-19.98%,404.53%,414.23%,-,555.16%,23.57%,-,-,-,-
5,Accounts Receivable,-,2.7,8.48,8.05,5.77,4.8,4.55,7.78,1.43,1.84,7.72,-,2.76,-,1.8,1.8
6,Other Receivables,-,1.72,1.73,2.02,1.72,1.69,1.54,1.59,1.37,1.4,1.25,-,1.03,-,0.85,0.85
7,Receivables,-,4.41,10.21,10.07,7.49,6.5,6.09,9.37,2.8,3.24,8.97,-,3.8,-,2.65,2.65
8,Inventory,-,166.99,139.4,151.48,173,181.96,177.03,163.82,156.23,153.32,119.25,-,60.68,-,36.59,36.59
9,Other Current Assets,-,164.5,44.14,196.79,37.17,64.95,46.91,77.7,54.23,189.37,60.78,-,49.99,-,44.62,44.62
10,Total Current Assets,-,1417,1687,1977,1970,1929,1892,2228,2228,2298,2266,-,506.23,-,400.91,400.91
11,"Property, Plant & Equipment",-,152.07,18.94,17.61,18.46,16.8,14.2,15.2,13.3,9.38,9.41,-,8.56,-,6.68,6.68
12,Long-Term Investments,-,937.98,680.41,465.27,461.01,457.8,444.2,132.01,110.94,-,-,-,-,-,-,-
13,Other Intangible Assets,-,26.68,27.68,28.66,29.69,27.94,28.89,2.7,3.02,3.07,3.05,-,1.82,-,1.97,1.97
14,Long-Term Deferred Tax Assets,-,12.29,9.19,9.4,10.1,5.33,4.61,3.9,1.75,1.3,1,-,0.83,-,0.58,0.58
15,Long-Term Deferred Charges,-,0.51,0.55,0.63,0.7,0.78,0.86,0.31,0.35,0.34,0.45,-,0.71,-,0.61,0.61
16,Other Long-Term Assets,-,8.59,99.78,4.72,3.28,5.75,4.72,16.42,15.69,14.4,14.35,-,3.62,-,0.33,0.33
17,Total Assets,-,2556,2524,2503,2494,2444,2390,2398,2373,2327,2294,-,521.77,-,411.08,411.08
18,Accounts Payable,-,9.28,6.88,5.63,6.28,17.64,3.03,15.88,4.2,10.04,8.26,-,0.57,-,3.21,3.21
19,Accrued Expenses,-,6.9,22.65,5.57,40.15,5.49,16.31,4.83,30.38,4.57,14.59,-,23.1,-,11.37,11.37
20,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.6,7.6
21,Current Portion of Leases,-,-,3.66,-,3.9,-,3.9,20.02,3.22,2.4,1.84,-,1.93,-,2.54,2.54
22,Current Income Taxes Payable,-,3.41,0.43,2.41,-,3.75,0.05,2.21,-,2.48,0.35,-,0.02,-,1.05,1.05
23,Current Unearned Revenue,-,5.83,8.19,7.26,1.03,7.36,0.75,0.87,0.51,2.55,1.15,-,1.98,-,5.66,5.66
24,Other Current Liabilities,-,20.18,30.26,37.2,41.62,52.78,43.5,41.97,52.33,73.82,70.95,-,70.71,-,10.73,10.73
25,Total Current Liabilities,-,45.59,72.07,58.07,92.98,87.02,67.55,85.77,90.64,95.86,97.13,-,98.3,-,42.15,42.15
26,Long-Term Leases,-,1.56,2.09,2.8,3.72,4.66,5.41,6.59,5.45,2.88,3.08,-,1.97,-,0.71,0.71
27,Long-Term Unearned Revenue,-,2.76,3.11,3.3,3.45,4.29,4.37,2.4,2.4,-,-,-,0.05,-,0.13,0.13
28,Long-Term Deferred Tax Liabilities,-,0.61,0.94,1.48,0.77,3.04,2.39,3.46,0.97,0.61,0.49,-,0,-,-,-
29,Other Long-Term Liabilities,-,-,-,1.65,1.65,1.65,11.15,2.34,18.41,0.58,0.55,-,-,-,-,-
30,Total Liabilities,-,50.52,78.22,67.29,102.57,100.66,90.87,100.56,117.87,99.93,101.25,-,100.32,-,42.98,42.98
31,Common Stock,-,92.36,92.36,92.36,92.36,92.36,92.36,92.36,92.36,92.36,92.36,-,69.27,-,69.27,69.27
