,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 7, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,12116036,10408406,12685245,13661033,16344451,15368663,13986296,10733669,7481042,6830517,8538146,4423604,13173234,16458410,7900027,9119801,5865690,5181705,2487218,2445765,1181429,Upgrade
1,Market Cap Growth,-32.28%,-32.28%,-9.30%,27.27%,118.48%,125.00%,63.81%,142.65%,-43.21%,-58.50%,8.08%,-51.49%,124.58%,217.63%,217.63%,272.88%,396.49%,224.68%,42.86%,19.19%,-20.64%,Upgrade
2,Last Close Price,14900.00,12800.00,15600.00,16800.00,20100.00,18900.00,17200.00,13200.00,9200.00,8400.00,10500.00,10880.00,14023.44,17520.65,12569.16,10705.67,6885.69,6082.77,2919.73,2615.86,1263.59,Upgrade
3,PE Ratio,11.98,10.29,13.24,12.56,18.69,27.48,26.74,26.03,-290.60,42.11,14.49,-,9.73,11.79,6.72,8.53,5.99,6.87,5.63,6.02,4.90,Upgrade
4,PS Ratio,6.27,5.42,9.32,8.66,12.70,11.05,7.01,6.00,5.44,4.98,4.53,2.07,4.67,6.02,3.48,4.49,3.23,3.23,2.17,2.18,1.22,Upgrade
5,PB Ratio,1.08,0.93,1.15,1.24,1.53,1.50,1.38,1.09,0.79,0.72,0.90,0.47,2.05,2.72,1.93,2.10,1.58,1.61,0.88,0.83,0.43,Upgrade
6,P/FCF Ratio,-,-,-,12.64,-,-,6.25,-8.71,-,-9.24,-,-2.82,-,-,-,-,4.82,-51.61,-,-,-,Upgrade
7,P/OCF Ratio,-,-,-,12.45,-,-,6.23,-8.76,-,-9.35,-,-2.85,-,-,-,-,4.81,-52.32,-,-,-,Upgrade
8,Debt / Equity Ratio,0.19,0.19,0.14,0.08,0.08,0.09,0.04,0.07,0.14,0.11,0.17,0.15,0.67,0.64,0.90,0.73,0.30,0.59,1.06,0.69,0.68,Upgrade
9,Debt / FCF Ratio,-,-,-,0.83,-,-,0.18,-0.52,-,-1.44,-,-0.93,-,-,-,-,0.90,-18.86,-,-,-,Upgrade
10,Asset Turnover,0.16,0.08,0.19,0.19,-,0.18,0.11,0.24,0.21,0.09,-,0.23,0.42,0.21,0.27,0.33,0.36,0.17,0.23,0.23,Upgrade,
11,Quick Ratio,4.87,4.87,6.23,9.06,9.47,9.52,15.79,10.50,6.47,6.75,5.52,9.24,2.31,2.39,1.75,1.70,2.65,2.16,1.61,1.06,1.75,Upgrade
12,Current Ratio,4.88,4.88,6.26,9.11,9.70,9.57,15.88,11.49,7.04,7.52,5.54,9.25,2.32,2.41,1.76,1.71,2.65,2.17,1.61,1.82,1.75,Upgrade
13,Return on Equity (ROE),8.37%,2.51%,13.09%,13.62%,7.01%,7.98%,5.83%,1.73%,6.02%,3.74%,-15.01%,14.67%,44.85%,23.34%,30.73%,31.19%,46.01%,19.34%,30.90%,6.86%,Upgrade,
14,Return on Assets (ROA),6.90%,2.19%,11.71%,12.19%,6.41%,7.37%,5.17%,1.49%,5.11%,3.13%,-10.34%,8.07%,21.74%,9.97%,15.06%,15.86%,20.06%,8.52%,14.55%,3.10%,Upgrade,
15,Earnings Yield,8.35%,9.72%,7.55%,7.96%,5.35%,3.64%,3.74%,3.84%,-0.34%,2.37%,6.90%,16.89%,10.28%,8.48%,14.88%,11.72%,16.68%,14.56%,17.75%,16.60%,20.43%,Upgrade
16,FCF Yield,-11.75%,-13.68%,-18.63%,7.91%,5.20%,-0.11%,16.00%,-11.48%,-22.95%,-10.83%,-35.45%,-35.42%,-30.64%,-19.18%,-5.21%,-8.32%,20.75%,-1.94%,-18.60%,16.67%,-0.81%,Upgrade
17,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.03%,-,-,-,Upgrade
18,Payout Ratio,0.00%,-,-,0.01%,-,-,-,-,-,-,-,-,-,43.75%,0.01%,0.00%,0.00%,-,184.82%,0.03%,-,Upgrade
19,Buyback Yield / Dilution,-0.04%,-0.18%,-0.01%,0.35%,0.61%,-10.47%,-26.54%,-100.39%,-49.85%,-80.70%,-147.59%,-49.57%,-100.84%,-49.43%,4.76%,0.01%,-0.11%,0.19%,0.06%,9.32%,-96.30%,Upgrade
20,Total Shareholder Return,-0.04%,-0.18%,-0.01%,0.35%,0.61%,-10.47%,-26.54%,-100.39%,-49.85%,-80.70%,-147.59%,-49.57%,-100.84%,-49.43%,4.76%,0.01%,-0.11%,15.22%,0.06%,9.32%,-96.30%,Upgrade
