,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,680759,440474,1637337,422664,851889,1611560,302702,18814,1039662,539080,2340197,857334,652034,588025,529444,465845,653074,299679,380119,258170,Upgrade
1,Trading Asset Securities,8144360,6902120,5041819,5332952,5032173,3589421,3727066,4483811,4339478,4533993,3987748,4045784,2700774,2672951,1536323,1703835,2204737,1392953,1074673,980785,Upgrade
2,Accounts Receivable,-,14681,15263,559996,799787,3833193,3839180,3535779,1360115,4439229,3917956,5573379,6515424,3873281,5481068,2866805,3334155,4278591,1268455,3662031,Upgrade
3,Other Receivables,4455421,3978968,3749249,4578825,3986713,972958,1275567,1517438,2467955,128419,127623,348020,160337,2052194,195701,950665,152755,611575,612311,631179,Upgrade
4,"Property, Plant & Equipment",11637,7684,15634,16751,18168,8960,10416,11885,13391,8956,10025,11196,12379,3459,3765,4091,3792,4151,4410,4764,Upgrade
5,Goodwill,-,5198,7797,10396,12995,15593,18192,20791,23390,25989,28588,31187,33786,36385,38984,41583,44181,46780,49379,51978,Upgrade
6,Other Intangible Assets,20915,14901,6548,3299,2579,3105,3631,4157,3546,3988,4430,1576,1749,429.9,480.11,530.32,580.53,59.66,65.9,72.15,Upgrade
7,Investments in Debt & Equity Securities,612636,1460202,1691969,701602,660596,686791,707548,611722,572238,1626622,773678,845015,702541,758364,1909189,666095,461008,300000,300000,300000,Upgrade
8,Other Current Assets,42823,56936,58717,260670,54017,55826,857006,837273,1052641,36786,5243,37396,107664,23109,15499,11288,51635,17477,2426025,17665,Upgrade
9,Other Long-Term Assets,60065,37669,37786,37931,38030,28734,29786,26357,26947,26148,24657,23806,23929,22861,23013,23371,23515,23097,23281,24122,Upgrade
10,Total Assets,14028673,12918981,12262285,11925270,11457208,10806424,10771326,11068282,10899626,11369393,11220413,11774992,10910884,10031335,9733705,6734431,6929743,6974647,6139057,5931035,Upgrade
11,Accounts Payable,3506,915.06,5314,102169,14337,8785,-,387,114160,289.88,115375,15361,9791,26662,25682,133399,10.38,156.32,2583,260.22,Upgrade
12,Accrued Expenses,280038,139064,152769,129120,165617,7801,125093,99271,154032,104826,157195,124200,222811,58573,170545,137443,151843,136543,114284,36069,Upgrade
13,Short-Term Debt,2141000,1585000,896000,846000,892000,396000,646000,796000,407000,556000,196000,3066000,2748000,3094000,2434000,450000,794000,2998000,2022000,1854000,Upgrade
14,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,500000,660000,850000,600000,750000,600000,-,-,-,450000,-,-,-,Upgrade
15,Other Current Liabilities,304632,41991,28187,26398,25719,141568,64631,61658,29757,200425,31584,649680,518221,2010575,1829059,1465260,1518687,929338,984594,1273701,Upgrade
16,Long-Term Debt,-,-,-,-,-,-,-,-,-,160000,660000,510000,500000,600000,750000,650000,650000,-,14.03,14.03,Upgrade
17,Long-Term Unearned Revenue,1276,308.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
18,Long-Term Deferred Tax Liabilities,90718,77275,124047,113949,73167,61614,72967,75476,98793,15407,31063,153264,150560,100799,86604,100654,110402,53178,37601,28063,Upgrade
19,Other Long-Term Liabilities,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,39.03,25,25,Upgrade
20,Total Liabilities,2821195,1896407,1276937,1264450,1193697,695219,943598,1552014,1463766,1921345,1813556,5347404,4855304,5936040,5384134,3013737,3703428,4140311,3195684,3192132,Upgrade
21,Common Stock,8131567,8131567,8131567,8131567,8131567,8131567,8131567,8131567,8131567,8131567,6505301,3252650,3252650,2072682,2072682,2072682,2072682,2072682,2072682,2072682,Upgrade
22,Additional Paid-In Capital,721753,721753,721753,721753,721753,721753,721753,721753,721753,1140203,1140203,489673,489673,222580,222580,222580,222580,222580,222580,222580,Upgrade
23,Retained Earnings,2373710,2141239,2072247,1738086,1381782,1203281,1004433,883413,842489,281844,1819857,2272422,1943090,1374029,1376337,1094914,824102,475512,584548,394777,Upgrade
24,Comprehensive Income & Other,-19552,28014,59781,69414,28408,54603,-30027,-220466,-259950,-105566,-58504,412843,370167,426003,677972,330518,106951,63562,63562,48863,Upgrade
25,Total Common Equity,11207478,11022574,10985349,10660820,10263511,10111205,9827727,9516267,9435859,9448048,9406856,6427588,6055580,4095294,4349571,3720694,3226315,2834336,2943372,2738903,Upgrade
26,Shareholders' Equity,11207478,11022574,10985349,10660820,10263511,10111205,9827727,9516267,9435859,9448048,9406856,6427588,6055580,4095294,4349571,3720694,3226315,2834336,2943372,2738903,Upgrade
27,Total Liabilities & Equity,14028673,12918981,12262285,11925270,11457208,10806424,10771326,11068282,10899626,11369393,11220413,11774992,10910884,10031335,9733705,6734431,6929743,6974647,6139057,5931035,Upgrade
28,Total Debt,2141000,1585000,896000,846000,892000,396000,646000,1296000,1067000,1566000,1456000,4326000,3848000,3694000,3184000,1100000,1894000,2998000,2022014,1854014,Upgrade
29,Net Cash (Debt),6684119,5757594,5783156,4909615,4992062,4804980,3383768,3206624,4312140,3507073,4871944,577117,-495193,-433024,-1118233,1069679,963811,-1305369,-567223,-615058,Upgrade
30,Net Cash Growth,33.89%,19.83%,70.91%,53.11%,15.77%,37.01%,-30.55%,455.63%,-,-,-,-46.05%,-,-,-,-,150.65%,-,-,-,Upgrade
31,Net Cash Per Share,8223.23,7093.47,7119.52,6035.33,6152.65,5920.20,4151.12,3917.75,5871.02,5467.97,11976.64,1056.61,-1218.27,-1671.55,-4111.55,3933.34,3543.27,-4798.91,-2085.33,-2264.23,Upgrade
32,Filing Date Shares Outstanding,813.16,813.16,813.16,813.16,813.16,813.16,813.16,813.16,813.16,813.16,813.16,406.58,406.58,272.04,272.04,272.04,272.04,272.04,272.04,272.04,Upgrade
33,Total Common Shares Outstanding,813.16,813.16,813.16,813.16,813.16,813.16,813.16,813.16,813.16,813.16,813.16,406.58,406.58,272.04,272.04,272.04,272.04,272.04,272.04,272.04,Upgrade
34,Working Capital,10594245,9574527,9349687,10004817,9604334,9429661,9131147,8916857,8895165,7931777,9256566,6178098,5931780,3974620,3210770,3735703,3453665,2513465,2603876,2386068,Upgrade
35,Book Value Per Share,13782.68,13555.29,13509.51,13110.41,12621.81,12434.51,12085.90,11702.87,11603.99,11618.98,11568.24,15808.86,14893.90,15054.04,15988.75,13677.04,11859.73,10418.84,10819.65,10068.03,Upgrade
36,Tangible Book Value,11186564,11002474,10971004,10647126,10247937,10092507,9805904,9491320,9408923,9418071,9373838,6394825,6020045,4058480,4310107,3678582,3181553,2787496,2893927,2686852,Upgrade
37,Tangible Book Value Per Share,13756.96,13530.57,13491.87,13093.57,12602.66,12411.51,12059.06,11672.19,11570.86,11582.11,11527.63,15728.28,14806.50,14918.71,15843.68,13522.23,11695.19,10246.66,10637.89,9876.70,Upgrade
