,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,39185,34648,37973,31342,43430,53234,39917,39532,43905,43830,39732,51252,52627,75391,75716,-,-,-,-,-,-
1,Market Cap Growth,-34.91%,-34.91%,-4.87%,-20.72%,-1.08%,21.45%,0.47%,-22.87%,-16.57%,-41.86%,-47.52%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,46988,42451,45301,38126,49292,59096,45560,44711,47882,47807,41827,52246,50690,73455,75683,-,-,-,-,-,-
3,Last Close Price,15.20,13.44,14.73,12.10,16.69,20.46,15.35,15.78,17.53,17.50,15.86,20.46,21.01,30.09,30.22,-,-,-,-,-,-
4,PE Ratio,217.14,185.46,-,210.97,209.20,-,-596.77,-404.76,-,-,45.13,45.43,43.57,59.91,71.03,-,-,-,-,-,-
5,Forward PE,70.70,44.80,66.95,43.25,123.70,78.73,66.78,59.41,36.86,39.69,31.31,32.56,29.01,43.30,42.28,-,-,-,-,-,-
6,PS Ratio,6.35,5.42,6.32,5.66,8.46,11.33,8.64,8.59,8.67,7.37,6.29,7.76,7.74,10.77,10.72,-,-,-,-,-,-
7,PB Ratio,4.55,4.55,4.99,4.04,5.50,6.76,5.02,5.03,5.64,5.55,4.95,6.39,6.75,9.99,10.50,-,-,-,-,-,-
8,P/TBV Ratio,5.07,5.07,5.56,4.22,5.72,7.02,5.21,5.23,5.85,5.74,5.12,6.59,6.97,10.32,10.79,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-10.32,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,408.19,130.53,-,-,39.01,76.74,-,98.96,-,2580.09,-,171.57,-,-,-,-,-,-,-
11,PEG Ratio,2.98,2.98,2.98,2.98,2.98,2.98,2.34,2.08,184.30,198.46,6.02,1.15,1.03,0.92,0.90,-,-,-,-,-,-
12,EV/Sales Ratio,7.35,6.64,7.54,6.89,9.60,12.58,9.87,9.72,9.46,8.04,6.62,7.91,7.46,10.49,10.72,-,-,-,-,-,-
13,EV/EBITDA Ratio,73.70,55.66,49.94,43.89,77.99,124.57,-838.80,-1064.94,617.03,-,37.49,40.62,33.00,47.58,53.01,-,-,-,-,-,-
14,EV/EBIT Ratio,325.61,-,164.86,112.73,165.07,243.30,-247.76,-,-5210.26,-,39.94,42.69,34.23,49.14,54.65,-,-,-,-,-,-
15,EV/FCF Ratio,-,-,-,-,-,-,-,-,-,-11.26,-,-,-,-,-,-,-,-,-,-,-
16,Debt / Equity Ratio,1.57,1.57,1.57,1.51,1.40,1.32,1.27,1.26,1.20,1.09,0.85,0.88,0.66,0.54,0.62,1.00,0.69,0.65,-,-,2.99
17,Debt / EBITDA Ratio,18.80,14009.39,10.54,10.10,13.60,15.00,10.29,46.58,50.80,-,6.63,10.41,3.08,3.41,2.59,2.07,1.23,2.68,-,-,0.90
18,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-2.03,-,-,-,-,-,4.69,-423.00,-2.49,-,-,-
19,Asset Turnover,-,0.32,0.28,0.25,0.29,0.26,0.23,0.19,0.31,0.30,0.39,0.50,0.53,0.58,0.94,1.27,-,-,-,-,
20,Inventory Turnover,-,-,0.90,0.87,0.78,1.07,0.78,0.98,0.60,1.59,0.78,1.30,1.28,1.48,1.35,2.00,2.48,-,-,-,-
21,Quick Ratio,-,-,0.58,0.61,0.62,0.70,0.75,0.74,0.79,0.86,0.47,0.67,0.82,1.02,1.41,1.08,0.94,0.87,-,-,-
22,Current Ratio,-,-,1.32,1.38,1.34,1.40,1.42,1.42,1.49,1.57,1.08,1.18,1.51,1.79,2.08,1.77,1.67,1.73,-,-,-
23,Return on Equity (ROE),9.39%,-3.61%,2.42%,1.53%,-0.07%,3.67%,5.44%,-6.59%,-5.86%,2.08%,13.76%,12.58%,17.61%,21.74%,43.54%,40.73%,-,-,-,-,
24,Return on Assets (ROA),-,1.80%,0.27%,0.94%,0.22%,2.81%,-0.22%,0.28%,-5.84%,3.54%,2.13%,7.19%,5.02%,9.71%,13.17%,17.11%,-,-,-,-,
25,Return on Capital (ROIC),-1.61%,2.01%,0.30%,1.03%,0.24%,3.08%,-0.24%,0.31%,-6.52%,4.04%,2.43%,8.20%,5.70%,11.30%,16.39%,21.71%,-,-,-,-,
26,Return on Capital Employed (ROCE),-,-,2.03%,2.46%,2.30%,1.84%,-1.37%,-,-0.07%,-,10.91%,13.55%,17.01%,17.96%,17.31%,29.57%,35.79%,32.52%,-,-,-
27,Earnings Yield,0.48%,0.54%,0.02%,0.47%,0.48%,0.09%,-0.17%,-0.25%,0.16%,1.00%,2.22%,2.20%,2.29%,1.67%,1.43%,-,-,-,-,-,-
28,FCF Yield,-,-3.04%,-3.19%,-1.75%,-1.43%,-1.19%,-4.89%,-7.16%,-9.69%,-16.83%,-13.19%,-10.22%,-4.48%,-1.20%,-,-,-,-,-,-,
29,Dividend Yield,0.04%,-,-,-,-,0.03%,-,-,-,0.18%,-,-,-,-,-,-,-,-,-,-,-
30,Payout Ratio,0.00%,-,-,201.21%,235.27%,-,214.83%,73.66%,-,-,113.42%,8.88%,15.16%,7.89%,14.27%,11.66%,5.21%,-,3.91%,10.68%,22.59%
31,Buyback Yield / Dilution,-10.64%,-21.86%,-,-8.45%,-16.74%,-0.58%,-3.38%,19.99%,3.70%,19.05%,-8.43%,-5.33%,-19.37%,-18.23%,-2.99%,0.52%,-18.05%,-,-,-,-
32,Total Shareholder Return,-10.60%,-21.86%,-,-8.45%,-16.74%,-0.55%,-3.38%,19.99%,3.70%,19.23%,-8.43%,-5.33%,-19.37%,-18.23%,-2.99%,0.52%,-18.05%,-,-,-,-
