,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,1835,1765,1500,1289,1447,1294,1097,853.2,1373,1276,1560,1735,1742,1572,1746,1938,1806,2208,1194,1248
1,Other Revenue,-,-0.52,0.52,-,5.66,-1.29,1.29,-,0.03,-,-,-,2.15,-2.15,2.15,-,0.36,-,-0.03,0.03
2,Revenue,1835,1764,1501,1289,1452,1293,1099,853.2,1373,1276,1560,1735,1744,1570,1749,1938,1807,2208,1194,1248
3,Revenue Growth (YoY),26.37%,36.43%,36.58%,51.13%,5.78%,1.30%,-29.55%,-50.82%,-21.28%,-18.72%,-10.81%,-10.46%,-3.46%,-28.88%,46.48%,55.30%,-,-,-,-
4,Cost of Revenue,-3490,1319,1208,963.81,1159,785.16,924.24,525.88,1463,746.9,1207,1150,1235,962.18,1192,1332,1268,1662,842.43,904.64
5,Gross Profit,5325,445.43,293.03,325.68,293.12,507.84,174.42,327.32,-90.48,529.48,352.49,585.11,508.83,608.09,556.22,605.92,538.94,545.45,351.27,343.01
6,"Selling, General & Admin",-258.45,92.84,80.31,85.3,97.04,38.01,64.33,165.37,160.76,122.65,79.46,75.42,85.68,64.7,51.85,51.69,52.84,64.07,51.39,56.7
7,Research & Development,-631.09,244.09,185.79,201.21,179.44,296.3,158.61,140.65,142.35,163.77,135.39,103.69,136.4,131.35,108.54,143.78,325.86,118.46,77.34,67.2
8,Other Operating Expenses,6343,-50.32,4.38,-37.82,-2.4,-48.65,-32.17,2.77,13.9,2.03,2.77,1.4,19.43,-4.46,2.43,-5.98,16.91,1.88,-6.72,1.73
9,Operating Expenses,5452,288.05,270.11,249.03,275.3,287.04,191.08,306.39,318.47,287.17,215.97,182.1,243.55,189.08,162.6,189.17,383.57,190.84,121.71,129.47
