,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,4181,4376,4281,4318,4251,4272,4127,4108,2870,4983,4163,4511,6374,3484,2029,1470,-,-,-
1,Short-Term Investments,-,-,-,-,5.36,-,-,-,5.29,-,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,4181,4181,4376,4281,4324,4251,4272,4127,4113,2870,4983,4163,4511,6374,3484,2029,1470,-,-,483.52
3,Cash Growth,-3.30%,-1.64%,2.44%,3.72%,5.12%,48.11%,-14.27%,-0.86%,-8.81%,-54.97%,43.02%,105.16%,206.82%,-,-,319.69%,-,-,-,-
4,Accounts Receivable,-,634.35,480.3,539.98,527.97,452.59,327.38,283.16,469.57,447.68,492.53,668.08,550.28,630.35,662.96,835.23,944.61,-,-,-
5,Other Receivables,-,25.78,0.83,25.31,5.15,49.23,6.61,85.63,6.92,85.03,112.38,91.95,1.38,186.2,196.48,178.25,20.27,-,-,-
6,Receivables,-,660.13,481.13,565.28,533.13,501.81,333.99,368.79,476.49,532.71,604.91,760.03,551.67,816.55,859.44,1014,964.94,-,-,-
7,Inventory,-,5860,5824,5267,4647,4022,3981,3579,3446,3895,3717,3693,3484,3180,2534,2227,2077,-,-,-
8,Other Current Assets,-,332.51,306.48,314.93,284.69,190.8,289.82,344.66,375.17,540.23,524.52,450.41,372.17,234.47,238.76,147.34,302.78,-,-,-
9,Total Current Assets,-,11034,10988,10428,9789,8965,8877,8420,8411,7838,9829,9067,8919,10605,7116,5417,4815,-,-,-
10,"Property, Plant & Equipment",-,9290,9239,9354,9517,9706,9540,9052,8193,7198,5408,3302,1533,863.56,692.47,479.71,297.02,-,-,-
11,Long-Term Investments,-,45.04,244.51,224.28,217.27,364.36,364.55,348.45,345.38,334.33,332.77,187.4,168.79,79.84,113.12,58.8,58.75,-,-,-
12,Other Intangible Assets,-,786.8,328.16,299.34,301.02,293.57,299.5,270.57,265.72,255.06,248.79,248.71,247.58,197.91,200.78,204.68,201.05,-,-,-
13,Long-Term Deferred Tax Assets,-,219.24,178.28,155.71,140.1,134.62,104.46,104.85,72.49,58.24,58.15,36.56,44.49,18.46,16.86,53.34,46.64,-,-,-
14,Long-Term Deferred Charges,-,4.02,4.26,3.39,3.97,4.54,5.1,5.59,4.91,5.02,5.3,5.84,6.02,5.65,4.41,3.49,2,-,-,-
15,Other Long-Term Assets,-,527.54,751.44,273.85,217.38,262.42,297.05,486.26,859.76,1185,1474,1884,2385,1328,338.2,248.19,296.19,-,-,-
16,Total Assets,-,21907,21750,20739,20203,19731,19487,18688,18152,16874,17355,14732,13304,13099,8482,6466,5716,-,-,-
17,Accounts Payable,-,610.4,668.77,685.81,788.29,531.27,563.2,399.94,410.96,478.7,442.07,630.27,634.56,710.03,735.01,954.8,1000,-,-,-
18,Accrued Expenses,-,103.88,189.6,117.01,219.41,79.29,126.87,84.98,150.3,95.74,86.41,98.98,185.27,61.97,50.25,69.47,78.65,-,-,-
19,Short-Term Debt,-,5277,4718,4349,4057,4136,4509,4260,3856,5422,5988,4205,3253,3658,2794,1860,1556,-,-,-
20,Current Portion of Long-Term Debt,-,1697,1842,2068,1334,905.65,345.56,183.72,176.76,229.58,394.25,417.91,364.9,418.84,63.99,12,12,-,-,-
21,Current Portion of Leases,-,-,39.35,-,63.81,-,76.4,-,62.45,-,66.71,-,52.17,-,-,17.03,-,-,-,-
22,Current Income Taxes Payable,-,27.02,9.23,18.25,28.02,54.32,65.27,34.73,36.29,36.37,32.33,53.39,123.06,137.71,141.52,161.8,35.3,-,-,-
23,Current Unearned Revenue,-,107,112.7,62.62,49.05,65.88,64.19,67,48.4,70.5,77.77,98.53,64.58,49.61,44.54,51.05,78.08,-,-,-
24,Other Current Liabilities,-,558.95,404.32,483.08,435.21,535.19,487.51,637.45,621.74,944.72,1239,519.72,305.53,63.6,187.35,107.79,24.93,-,-,-
25,Total Current Liabilities,-,8382,7984,7783,6974,6307,6238,5668,5362,7277,8326,6024,4983,5100,4017,3234,2785,-,-,-
26,Long-Term Debt,-,4985,5098,4642,4946,5056,4959,4828,4469,1135,555.16,492.1,352.1,359.6,589.4,197.6,200.6,-,-,-
27,Long-Term Leases,-,24.94,5.89,6.36,10.97,14.98,23.73,34.22,49.45,60.25,72.94,41.85,49.99,0.52,2.9,5.04,-,-,-,-
28,Long-Term Unearned Revenue,-,879.64,880.06,396.61,370.41,380.03,389.36,357.55,357.66,363.16,363.14,363.18,363.23,357.33,357.36,8.07,11.18,-,-,-
29,Long-Term Deferred Tax Liabilities,-,19.62,20.14,20.66,21.18,21.7,22.13,19.46,18.04,15.94,12.16,10.03,6.04,10.5,3.07,0.32,0.2,-,-,-
30,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,57.76,70.14,-,-,-,-,-
31,Total Liabilities,-,14291,13988,12848,12323,11780,11632,10907,10257,8852,9330,6931,5754,5886,5040,3445,2997,-,-,-
32,Common Stock,-,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,-,-,-
33,Additional Paid-In Capital,-,5475,5467,5460,5453,5379,5279,5278,5276,5273,5269,5265,5259,5250,1734,1724,1712,-,-,-
34,Retained Earnings,-,2699,2784,2736,2706,2708,2715,2609,2738,2854,2813,2540,2299,1974,1684,1333,1041,-,-,-
35,Treasury Stock,-,-441.89,-352.78,-175.01,-149.89,-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,-,-116.31,-137.22,-131.04,-129.09,-135.97,-139.62,-106.09,-118.24,-105.27,-56.35,-4.87,-8.22,-11.05,23.47,-36.57,-33.46,-,-,-
37,Shareholders' Equity,7616,7616,7761,7890,7880,7951,7855,7781,7895,8022,8026,7801,7550,7213,3442,3020,2719,-,-,266.22
38,Total Liabilities & Equity,-,21907,21750,20739,20203,19731,19487,18688,18152,16874,17355,14732,13304,13099,8482,6466,5716,-,-,-
39,Total Debt,11984,11984,11704,11064,10412,10113,9914,9306,8613,6847,7077,5157,4072,4437,3451,2092,1768,-,-,795.51
40,Net Cash (Debt),-7804,-7804,-7328,-6783,-6088,-5862,-5642,-5179,-4500,-3977,-2095,-993.39,438.95,1936,33.3,-62.73,-298.24,-,-,-311.99
41,Net Cash Per Share,-2.92,-,-3.41,-2.25,-2.78,-2.03,-2.85,-2.00,-2.07,-1.42,-0.85,-0.37,0.16,0.75,0.01,-0.03,-0.13,-,-,-0.16
42,Filing Date Shares Outstanding,2669,-,2578,3016,2588,2893,2599,2584,2499,2682,2499,2415,2499,2389,2499,2248,2249,2104,2364,1579
43,Total Common Shares Outstanding,2669,-,2578,3016,2592,2893,2499,2584,2499,2682,2499,2415,2499,2389,2499,2248,2249,2104,2364,1579
44,Working Capital,-,2652,3004,2645,2814,2658,2639,2752,3048,560.59,1502,3043,3936,5505,3099,2183,2029,-,-,-
45,Book Value Per Share,-,-,3.01,2.62,3.04,2.75,3.14,3.01,3.16,2.99,3.21,3.23,3.02,3.02,1.38,1.34,1.21,-,-,0.17
46,Tangible Book Value,6829,6829,7433,7591,7579,7657,7555,7511,7630,7767,7777,7552,7302,7015,3241,2816,2518,-,-,192.21
47,Tangible Book Value Per Share,-,-,2.88,2.52,2.92,2.65,3.02,2.91,3.05,2.90,3.11,3.13,2.92,2.94,1.30,1.25,1.12,-,-,0.12
48,Buildings,-,-,1956,-,1885,-,1840,-,939.64,-,196.91,-,162.1,-,-,162.1,162.1,-,-,-
49,Machinery,-,-,8133,-,7881,-,3921,-,404.95,-,357.79,-,254.13,-,-,218.17,199.34,-,-,-
50,Construction In Progress,-,-,279.33,-,397.83,-,4051,-,7046,-,5011,-,1245,-,-,198.77,48.69,-,-,-
