,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,567222,451379,376134,371815,489768,384517,317415,340455,527623,432367,372687,377524,546614,374025,308282,307504,404975,323556,229897,251633,Upgrade
1,Revenue Growth (YoY),15.81%,17.39%,18.50%,9.21%,-7.17%,-11.07%,-14.83%,-9.82%,-3.47%,15.60%,20.89%,22.77%,34.97%,15.60%,34.10%,22.20%,1.36%,-6.12%,-16.43%,-13.30%,Upgrade
2,Cost of Revenue,474401,373529,305764,298741,410436,315338,260002,269715,452748,367613,307214,320258,468788,328510,263444,259518,356476,271931,196761,204211,Upgrade
3,Gross Profit,92822,77850,70371,73074,79332,69180,57413,70740,74876,64754,65474,57267,77826,45515,44837,47986,48499,51625,33137,47422,Upgrade
4,"Selling, General & Admin",57292,46287,38936,43589,50966,42121,34435,45231,45105,36697,41081,30484,44839,31850,25773,29380,27310,22585,23319,23872,Upgrade
5,Operating Expenses,57292,46287,38936,43589,50966,42121,34435,45231,45105,36697,41081,30484,44839,31850,25773,29380,27310,22585,23319,23872,Upgrade
6,Operating Income,35530,31563,31434,29485,28366,27058,22977,25509,29770,28057,24393,26783,32987,13665,19065,18605,21189,29040,9818,23550,Upgrade
7,Interest Expense,-630.97,-538.13,-318.71,-412.01,-867.15,-748.45,-573.59,-692.33,-1857,-1523,-2352,-3118,-2017,-1963,-1470,-985.92,-1322,-1151,-1220,-1722,Upgrade
8,Interest & Investment Income,2099,3139,1975,935.25,7233,1576,1539,162.29,817.85,192.89,1020,95.71,789.11,384.67,1044,105.04,264.75,973.39,1415,477.77,Upgrade
9,Currency Exchange Gain (Loss),-,-93.47,-127.27,-16.74,-41.5,8.77,-6.62,6.62,-708.56,-338.65,435.51,-96.87,107.16,-,-,-,40.73,-,-,-,Upgrade
10,Other Non Operating Income (Expenses),241.35,606.5,117.53,214.25,-106.68,167.43,1047,0.68,312.2,148.43,681.4,-273.59,-6932,186.17,246.43,7331,297.43,2340,2.61,-208.04,Upgrade
11,EBT Excluding Unusual Items,37239,34676,33081,30205,34584,28062,24983,24986,28334,26537,24178,23390,24934,12272,18885,25056,20470,31202,10016,22098,Upgrade
12,Gain (Loss) on Sale of Assets,-,-,-,-,486.36,-,-,-,750,-,-,-,7473,-,-,-,-142.53,-,-,-,Upgrade
13,Pretax Income,37239,34676,33081,30205,35070,28062,24983,24986,29084,26537,24178,23390,32407,12272,18885,25056,20327,31202,10016,22098,Upgrade
14,Income Tax Expense,1619,6935,6616,6041,-1746,5612,4997,4997,5817,5307,4836,4678,6481,2454,3777,5011,3900,6240,2003,4420,Upgrade
