,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,139473,63232,99479,107667,119888,54316,40339,58210,109911,17544,50726,41350,53423,25967,35164,11698,62430,64106,72239,36408,Upgrade
1,Short-Term Investments,100000,120000,260000,260000,240000,251000,151000,74000,34000,27300,4000,46000,46000,14000,26000,55000,30000,9000,9000,38000,Upgrade
2,Cash & Short-Term Investments,239473,183232,359479,367667,359888,305316,191339,132210,143911,44844,54726,87350,99423,39967,61164,66698,92430,73106,81239,74408,Upgrade
3,Cash Growth,-33.46%,-39.99%,87.88%,178.09%,150.08%,580.84%,249.63%,51.36%,44.75%,12.20%,-10.53%,30.96%,7.57%,-45.33%,-24.71%,-10.36%,-11.25%,-32.87%,15.15%,-35.30%,Upgrade
4,Accounts Receivable,314290,241282,196375,203832,268187,197044,163974,210865,300581,241675,204620,224182,316249,211554,173635,196908,251950,188828,117112,168966,Upgrade
5,Other Receivables,1683,2349,898.16,1297,3684,1006,7895,8426,226.42,1826,1247,1663,1783,1179,674.15,546.24,489.2,524.25,1122,634.9,Upgrade
6,Receivables,315972,243631,197273,205129,271871,198050,171869,219291,300807,243501,205867,225845,318032,212734,174309,197454,252439,189352,118234,169601,Upgrade
7,Inventory,215206,232963,169082,116164,123739,164428,164298,162586,148672,230705,241202,238596,238412,225132,174028,140753,93822,115912,135657,115853,Upgrade
8,Prepaid Expenses,1135,1658,1111,1196,1326,768.6,564.03,571.55,615.79,1016,668.97,464.59,300.27,791.7,998.97,585.27,853.66,1415,1026,1297,Upgrade
9,Other Current Assets,23913,20182,37066,6768,12694,24784,3531,33856,4048,11912,6673,21168,56597,36564,30878,33990,6363,14721,9263,48460,Upgrade
10,Total Current Assets,795699,681667,764010,696924,769518,693346,531601,548515,598054,531978,509137,573424,712764,515188,441378,439480,445907,394507,345419,409618,Upgrade
11,"Property, Plant & Equipment",397109,419428,290683,305049,306672,313654,330218,350603,383211,393070,390477,377860,397641,355067,346232,336442,346071,359033,348194,315782,Upgrade
12,Long-Term Investments,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,-,-,-,Upgrade
13,Other Long-Term Assets,3999,5138,4080,3750,3514,3323,3631,2031,1484,552.46,1076,1477,2055,1030,577.1,974.17,575.47,990.86,1262,1476,Upgrade
14,Total Assets,1206807,1116233,1068773,1015723,1089704,1020324,875450,911149,992749,935600,910691,962761,1122460,881285,798187,786896,802554,754531,694875,726876,Upgrade
15,Accounts Payable,130789,185653,210446,165066,128691,129230,76137,105757,108418,129528,86109,101967,169232,112860,70476,89733,99717,100105,101016,56288,Upgrade
16,Accrued Expenses,180465,172917,147888,115247,153354,172864,137669,92301,132315,138959,112337,83453,132199,106224,90719,61300,85667,76207,65664,48473,Upgrade
17,Short-Term Debt,121988,51192,35680,21594,110184,77548,50548,65230,119923,77066,145559,200883,186027,122013,-,73031,89342,54383,42386,94341,Upgrade
18,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,106981,-,-,-,-,-,Upgrade
19,Current Income Taxes Payable,15614,14346,10799,6041,5771,13710,9994,4997,9404,13108,7801,4678,6587,7732,7335,14451,7683,10619,6423,4420,Upgrade
20,Other Current Liabilities,35691,5405,4954,25771,33462,5520,2024,23211,29339,6800,6370,2225,1506,5261,5227,6991,1242,10669,455.08,11791,Upgrade
21,Total Current Liabilities,484547,429512,409766,333720,431462,398872,276372,291497,399398,365461,358176,393207,495551,354090,280738,245505,283650,251983,215944,215313,Upgrade
22,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,3551,-,75600,2842,2842,2842,-,-,-,-,Upgrade
23,Other Long-Term Liabilities,1280,1280,1280,1280,1280,1280,1280,1280,1280,1280,1280,1280,1280,200,200,200,200,200,-,-,Upgrade
24,Total Liabilities,485827,430792,411046,335000,432742,400152,277652,292777,400678,366741,363007,394487,572430,357131,283779,248547,283850,252183,215944,215313,Upgrade
25,Common Stock,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,Upgrade
26,Retained Earnings,541420,505880,478166,501163,477401,440612,418258,438833,412531,389319,368144,388734,370490,344614,334868,358790,339144,322768,299351,331683,Upgrade
27,Treasury Stock,-440,-440,-440,-440,-440,-440,-460,-460,-460,-460,-460,-460,-460,-460,-460,-440,-440,-420,-420,-120,Upgrade
28,Shareholders' Equity,720980,685440,657726,680723,656961,620172,597798,618373,592071,568859,547684,568274,550030,524154,514408,538350,518704,502348,478931,511563,Upgrade
29,Total Liabilities & Equity,1206807,1116233,1068773,1015723,1089704,1020324,875450,911149,992749,935600,910691,962761,1122460,881285,798187,786896,802554,754531,694875,726876,Upgrade
