,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,6434,6482,5246,5316,6638,7955,10440,12590,10238,10413,15143,13353,19914,19946,27540,21615,19845,-,-,-
1,Market Cap Growth,-18.51%,-18.51%,-49.75%,-57.78%,-35.16%,-23.61%,-31.06%,-5.71%,-48.59%,-47.80%,-45.01%,-38.22%,0.35%,-,-,-,-,-,-,-
2,Enterprise Value,6071,6026,4476,4366,5688,7048,9415,11644,9293,9501,14166,12391,18952,19099,26606,21311,19541,-,-,-
3,Last Close Price,15.78,15.84,12.82,12.56,15.71,18.82,24.70,29.10,23.88,24.29,34.93,30.49,45.47,45.55,62.89,48.86,44.86,-,-,-
4,PE Ratio,153.74,-,34.45,22.60,26.85,25.00,33.46,41.51,32.55,32.42,40.39,34.10,53.00,50.76,75.57,65.83,72.11,-,-,-
5,Forward PE,61.19,24.37,16.71,14.20,17.43,19.43,22.24,30.47,23.63,19.56,27.60,25.66,37.14,43.30,68.00,53.84,-,-,-,-
6,PS Ratio,3.84,4.10,2.89,2.56,3.10,3.61,4.58,5.63,4.50,4.41,6.26,5.52,8.59,9.04,13.61,11.76,12.29,-,-,-
7,PB Ratio,4.53,4.56,3.63,3.15,4.03,4.82,6.72,7.41,6.22,6.71,10.14,8.69,13.48,14.51,22.18,15.56,14.75,-,-,-
8,P/TBV Ratio,4.92,4.92,3.91,3.36,4.30,5.14,7.20,7.90,6.63,7.18,10.88,9.31,14.03,15.11,23.20,16.19,15.37,-,-,-
9,P/FCF Ratio,-,-,-,-,26.58,22.59,34.98,-,266.81,79.95,62.19,-,46.56,57.77,103.79,-,77.97,-,-,-
10,P/OCF Ratio,-,-,-,-,14.93,13.58,19.28,30.18,39.49,28.18,33.79,-,32.81,39.56,60.38,-,46.50,-,-,-
11,EV/Sales Ratio,3.84,3.81,2.47,2.10,2.66,3.20,4.13,5.20,4.08,4.02,5.85,5.12,8.17,8.65,13.15,11.59,12.11,-,-,-
12,EV/EBITDA Ratio,38.24,-,16.38,11.74,14.65,17.16,23.66,29.81,23.72,22.95,29.96,25.40,40.27,38.89,57.93,50.34,55.04,-,-,-
13,EV/EBIT Ratio,174.26,-,-,16.99,20.76,23.75,32.52,41.06,32.02,29.89,37.03,30.71,48.33,45.65,68.14,59.18,66.09,-,-,-
14,EV/FCF Ratio,-45.86,-,-,-,22.77,20.02,31.54,-,242.16,72.95,58.17,-,44.31,55.31,100.27,-,76.77,-,-,-
15,Debt / Equity Ratio,0.34,0.34,0.51,0.51,0.53,0.54,0.53,0.49,0.45,0.48,0.18,0.13,0.01,-,-,-,0.04,-,0.08,0.05
16,Debt / EBITDA Ratio,3.08,-,8.54,3.53,2.65,1.88,1.68,2.67,1.79,1.74,0.59,0.65,0.03,-,-,-,0.11,-,0.14,-
17,Debt / FCF Ratio,-,-,-,-,3.47,2.54,2.74,-,19.13,5.67,1.10,-,0.03,-,-,-,0.24,-,1.61,-
18,Asset Turnover,0.49,0.47,0.43,0.68,0.66,0.75,0.51,0.81,0.87,0.90,0.74,1.27,1.31,1.16,0.67,-,-,-,-,
19,Inventory Turnover,4.20,3.91,3.51,3.45,5.16,4.62,5.32,3.37,5.23,4.89,4.61,4.14,6.88,5.92,4.78,3.59,-,-,-,-
20,Quick Ratio,2.34,2.34,1.81,1.87,1.72,1.78,1.66,1.83,2.04,1.77,1.29,1.40,1.46,1.52,1.31,1.81,1.51,-,0.69,-
21,Current Ratio,2.79,2.79,2.13,2.10,1.93,2.03,1.90,2.09,2.34,2.06,1.62,1.74,1.76,1.90,1.74,2.22,1.81,-,0.97,-
22,Return on Equity (ROE),-7.24%,0.51%,9.37%,5.77%,21.58%,21.35%,11.63%,24.01%,20.92%,20.47%,15.78%,28.54%,40.88%,28.91%,12.93%,-,-,38.89%,-,
23,Return on Assets (ROA),-3.37%,-0.71%,2.50%,3.38%,6.83%,6.76%,3.82%,5.43%,7.33%,8.10%,5.75%,10.58%,17.96%,13.06%,5.43%,-,-,-,-,
24,Return on Capital (ROIC),-4.24%,-0.89%,3.22%,4.48%,9.19%,9.02%,5.06%,7.30%,10.27%,11.80%,8.71%,16.72%,28.26%,19.67%,8.04%,-,-,28.28%,-,
25,Return on Capital Employed (ROCE),1.75%,-,-,11.46%,12.47%,13.19%,13.87%,12.90%,12.97%,15.60%,24.54%,25.44%,25.70%,29.57%,30.52%,25.25%,21.43%,-,8.22%,-
26,Earnings Yield,0.62%,0.61%,2.90%,4.43%,3.72%,4.00%,2.99%,2.41%,3.07%,3.08%,2.48%,2.93%,1.89%,1.97%,1.32%,1.52%,1.39%,-,-,-
27,FCF Yield,-2.06%,-2.04%,-0.16%,3.51%,3.76%,4.43%,2.86%,1.69%,0.37%,1.25%,1.61%,2.40%,2.15%,1.73%,0.96%,1.32%,1.28%,-,-,-
28,Dividend Yield,3.70%,-,-,-,3.82%,-,-,-,3.77%,-,1.72%,-,0.66%,-,-,-,1.34%,-,-,-
29,Payout Ratio,646.09%,-,5809.97%,7.78%,8.15%,5.89%,283.76%,3.48%,10.94%,153.14%,147.67%,1.13%,0.28%,15.04%,234.68%,1.06%,0.56%,0.45%,0.66%,-
30,Buyback Yield / Dilution,7.73%,28.60%,-129.76%,-0.64%,0.37%,-8.51%,-0.78%,-1.64%,-1.94%,-3.81%,0.87%,0.32%,-13.02%,-4.39%,-55.51%,10.04%,-,-,-,-
31,Total Shareholder Return,11.43%,28.60%,-129.76%,-0.64%,4.19%,-8.51%,-0.78%,-1.64%,1.83%,-3.81%,2.58%,0.32%,-12.36%,-4.39%,-55.51%,10.04%,1.34%,-,-,-
